Title,Year,Directors
"Monster",2023,"Hirokazu Koreeda"
"The Boy and the Heron",2023,"Hayao Miyazaki"
"Raging Grace",2023,"Paris Zarcilla"
"All Dirt Roads Taste of Salt",2023,"Raven Jackson"
"Outlaw Johnny Black",2023,"Michael Jai White"
"They Cloned Tyrone",2023,"Juel Taylor"
"A Thousand and One",2023,"A.V. Rockwell"
"Polite Society",2023,"Nida Manzoor"
"Monica",2022,"Andrea Pallaoro"
"The Eight Mountains",2022,"Felix van Groeningen, Charlotte Vandermeersch"
"Suzume",2022,"Makoto Shinkai"
"Return to Seoul",2022,"Davy Chou"
"Skinamarink",2022,"Kyle Edward Ball"
"Shin Ultraman",2022,"Shinji Higuchi"
"Piggy",2022,"Carlota Pereda"
"Nostalgia",2022,"Mario Martone"
"Cha Cha Real Smooth",2022,"Cooper Raiff"
"Funny Pages",2022,"Owen Kline"
"Petite Maman",2021,"Celine Sciamma"
"Metal Lords",2022,"Peter Sollett"
"Everything Everywhere All at Once",2022,"Daniel Kwan, Daniel Scheinert"
"Jackass Forever",2022,"Jeff Tremaine"
"Leonor Will Never Die",2022,"Martika Ramirez Escobar"
"The French Dispatch",2021,"Wes Anderson"
"Marcel the Shell with Shoes On",2021,"Dean Fleischer Camp"
"Judas and the Black Messiah",2021,"Shaka King"
"Minari",2020,"Lee Isaac Chung"
"Free Solo",2018,"Jimmy Chin, Elizabeth Chai Vasarhelyi"
"Three Billboards Outside Ebbing, Missouri",2017,"Martin McDonagh"
"Train to Busan",2016,"Yeon Sang-ho"
"The Lobster",2015,"Yorgos Lanthimos"
"The Love Witch",2016,"Anna Biller"
"Room",2015,"Lenny Abrahamson"
"Two Days, One Night",2014,"Jean-Pierre Dardenne, Luc Dardenne"
"Nightcrawler",2014,"Dan Gilroy"
"Prisoners",2013,"Denis Villeneuve"
"Before Midnight",2013,"Richard Linklater"
"Brokeback Mountain",2005,"Ang Lee"
"Before Sunset",2004,"Richard Linklater"
"Billy Elliot",2000,"Stephen Daldry"
"Fargo",1996,"Joel Coen, Ethan Coen"
"Daughters of the Dust",1991,"Julie Dash"
"Terminator 2: Judgment Day",1991,"James Cameron"
"Goodfellas",1990,"Martin Scorsese"
"The Terminator",1984,"James Cameron"
"Amadeus",1984,"Milos Forman"
