Movie_ID,Title,Year,IMDB_Score,RT_Score,MetaC_Score,Ebert_Score,anyAwesome
6,If Beale Street Could Talk,2018,0.71,0.95,0.87,4.0,1
7,Mad Max: Fury Road,2015,0.81,0.97,0.9,4.0,1
8,Babygirl,2024,0.66,0.77,0.81,3.5,0
9,Inside the Yellow Cocoon Shell,2023,0.67,0.94,0.94,3.5,1
10,Nosferatu,2024,0.76,0.85,0.78,4.0,1
11,The Seed of the Sacred Fig,2024,0.76,0.95,0.85,3.5,0
41,Saltburn,2023,0.7,0.71,0.61,3.0,1
42,Spider-Man: Into the Spider-Verse,2018,0.84,0.97,0.87,3.5,1
43,Adaptation,2002,0.77,0.9,0.83,4.0,0
44,The Mighty Ducks,1992,0.66,0.27,0.46,2.0,0
47,Kindergarten Cop,1990,0.62,0.54,0.61,3.0,0
49,The Addams Family,1991,0.69,0.67,0.57,2.0,0
50,The Santa Clause,1994,0.66,0.73,0.57,2.5,0
51,Father of the Bride,1991,0.66,0.7,0.51,3.0,0
52,Terms of Endearment,1983,0.74,0.81,0.79,4.0,0
53,Spanglish,2004,0.64,0.54,0.48,3.0,0
54,Ghost,1990,0.71,0.75,0.52,2.5,0
55,La Chimera,2023,0.73,0.94,0.91,3.0,0
56,Eyes Wide Shut,1999,0.75,0.76,0.69,3.5,0
57,Janet Planet,2023,0.61,0.85,0.83,4.0,1
58,Small Things Like These,2024,0.73,0.93,0.82,4.0,1
59,The Beast,2023,0.65,0.86,0.8,4.0,0
60,Conclave,2024,0.74,0.93,0.79,4.0,1
61,Tangerine,2015,0.71,0.96,0.86,3.0,1
62,La Cocina,2024,0.74,0.71,0.75,3.5,0
63,Bird,2024,0.72,0.85,0.74,3.5,1
64,Fish Tank,2009,0.73,0.91,0.81,4.0,1
65,Do Not Expect Too Much from the End of the World,2023,0.74,0.97,0.95,3.5,0
66,"Paris, Texas",1984,0.81,0.95,0.81,4.0,0
67,His Three Daughters,2023,0.72,0.98,0.84,4.0,0
69,Good One,2024,0.66,0.98,0.87,4.0,1
70,Sing Sing,2023,0.77,0.97,0.83,4.0,0
71,Challengers,2024,0.71,0.88,0.82,3.5,0
72,On the Count of Three,2021,0.7,0.85,0.74,4.0,0
73,The Piano,1993,0.75,0.9,0.89,4.0,1
74,Petite Maman,2021,0.74,0.97,0.93,4.0,1
75,Asteroid City,2023,0.65,0.76,0.76,4.0,0
76,Happening,2021,0.74,0.99,0.86,4.0,1
