Title,Year,Director,Rating,Reviewer,Runtime,Genre,MPA Rating,Review Page Link
Eric LaRue,2025,Michael Shannon,3.5,Sheila O'Malley,119,DRAMA,,https://www.rogerebert.com/reviews/eric-larue-judy-greer-film-review-2025
A Nice Indian Boy,2025,Roshan Sethi,3.5,Nell Minow,96,COMEDY,,https://www.rogerebert.com/reviews/a-nice-indian-boy-karan-soni-film-review-2025
Gazer,2025,Ryan J. Sloan,3.5,Isaac Feldberg,114,HORROR,R,https://www.rogerebert.com/reviews/gazer-film-review-2025
When Fall Is Coming,2025,Francois Ozon,3.5,Monica Castillo,104,COMEDY,,https://www.rogerebert.com/reviews/when-fall-is-coming-film-review-2025
Art for Everybody,2025,Miranda Yousef,3.5,Matt Zoller Seitz,98,DOCUMENTARY,,https://www.rogerebert.com/reviews/art-for-everybody-thomas-kinkade-documentary-film-review-2025
The Friend,2025,"David Siegel, Scott McGehee",4.0,Glenn Kenny,124,DRAMA,R,https://www.rogerebert.com/reviews/the-friend-film-review-2025
Việt and Nam,2025,Truong Minh Quy,4.0,Simon Abrams,129,DRAMA,,https://www.rogerebert.com/reviews/viet-and-nam-film-review-2025
Dying for Sex,2025,"Chris Teague, Shannon Murphy",3.5,Brian Tallerico,,COMEDY,,https://www.rogerebert.com/reviews/dying-for-sex-fx-tv-review-2025
Secret Mall Apartment,2025,Jeremy Workman,3.5,Matt Zoller Seitz,91,DOCUMENTARY,,https://www.rogerebert.com/reviews/secret-mall-apartment-film-review-2025
Misericordia,2025,Fernando de Miguel,3.5,Simon Abrams,,HORROR,,https://www.rogerebert.com/reviews/misericordia-film-review-2025
Good American Family,2025,Liz Garbus,3.5,Cristina Escobar,,DRAMA,,https://www.rogerebert.com/reviews/good-american-family-tv-review
Black Bag,2025,Steven Soderbergh,4.0,Monica Castillo,94,DRAMA,R,https://www.rogerebert.com/reviews/black-bag-film-review-2025
Adolescence,2025,Philip Barantini,4.0,Nandini Balial,,CRIME,,https://www.rogerebert.com/reviews/adolescence-netflix-tv-review-2025
Control Freak,2025,Shal Ngo,3.5,Matt Zoller Seitz,,HORROR,R,https://www.rogerebert.com/reviews/control-freak-hulu-movie-review-2025
On Becoming a Guinea Fowl,2025,Rungano Nyoni,4.0,Monica Castillo,99,COMEDY,PG-13,https://www.rogerebert.com/reviews/on-becoming-a-guinea-fowl
My Dead Friend Zoe,2025,Kyle Hausmann-Stokes,3.5,Christy Lemire,101,COMEDY,R,https://www.rogerebert.com/reviews/my-dead-friend-zoe-movie-review-2025
Superboys of Malegaon,2025,Reema Kagti,3.5,Matt Zoller Seitz,127,COMEDY,PG-13,https://www.rogerebert.com/reviews/superboys-of-malegaon-film-review-2025
Art Spiegelman: Disaster Is My Muse,2025,"Molly Bernstein, Philip Dolin",4.0,Glenn Kenny,98,DOCUMENTARY,,https://www.rogerebert.com/reviews/art-spiegelman-disaster-is-my-muse-documentary-film-review-2025
Compensation,2025,Zeinabu irene Davis,4.0,Robert Daniels,95,DRAMA,,https://www.rogerebert.com/reviews/compensation-film-review-1999
Universal Language,2025,Matthew Rankin,4.0,Monica Castillo,89,COMEDY,,https://www.rogerebert.com/reviews/universal-language-film-review-2025
One to One: John & Yoko,2025,Kevin MacDonald,3.5,Glenn Kenny,104,DOCUMENTARY,R,https://www.rogerebert.com/reviews/one-to-one-john-and-yoko-documentary-film-review-2025
That They May Face the Rising Sun,2025,Pat Collins,3.5,Sheila O'Malley,111,DRAMA,,https://www.rogerebert.com/reviews/that-they-may-face-the-rising-sun-film-review-2025
We Want the Funk!,2025,"Nicole London, Stanley Nelson",3.5,Robert Daniels,90,DOCUMENTARY,,https://www.rogerebert.com/reviews/we-want-the-funk-movie-review-2025
