Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
Art for Everybody,2025,Miranda Yousef,/movie/art-for-everybody/,Art for Everybody,2025,Miranda Yousef,,99,"After Thomas Kinkade's passing, his daughters uncovered a trove of unseen, dark paintings, launching a search for the true man behind the brand. It uncovers the real Thomas Kinkade.",
The Friend,2025,"David Siegel, Scott McGehee",/movie/the-friend-2024/,The Friend,2025,"Scott McGehee, David Siegel",0.73,120,"Writer and teacher Iris (Naomi Watts) finds her comfortable, solitary New York life thrown into disarray after her closest friend and mentor (Bill Murray) dies suddenly and bequeaths her his beloved 150 lb. Great Dane. The regal yet intractable beast, named Apollo, immediately creates practical problems for Iris, from furniture destructi...","Scott McGehee, David Siegel, Sigrid Nunez"
Việt and Nam,2025,Truong Minh Quy,/movie/viet-and-nam/,Viet and Nam,2025,Minh Quy Truong,0.85,129,"In the underground coal mines, Nam and Viet, young miners, face danger and darkness. One prepares to leave for a new life, but they must find Nam's father's remains, a soldier lost in a faraway forest, retracing the past through memories.",Minh Quy Truong
Secret Mall Apartment,2025,Jeremy Workman,/movie/secret-mall-apartment/,Secret Mall Apartment,2025,Jeremy Workman,0.74,91,"In 2003, eight Rhode Islanders created a secret apartment inside a busy mall and lived there for four years, filming everything along the way. Far more than a prank, the secret apartment became a deeply meaningful place for all involved.",
Black Bag,2025,Steven Soderbergh,/movie/black-bag/,Black Bag,2025,Steven Soderbergh,0.85,93,"Black Bag is a gripping spy drama about legendary intelligence agents George Woodhouse (Michael Fassbender) and his beloved wife Kathryn (Cate Blanchett). When she is suspected of betraying the nation, George faces the ultimate test – loyalty to his marriage or his country.",David Koepp
Control Freak,2025,Shal Ngo,/movie/control-freak/,Control Freak,2025,Shal Ngo,0.62,104,A motivational speaker (Kelly Marie Tran) is tormented by an unrelenting itch on the back of her head.,Shal Ngo
On Becoming a Guinea Fowl,2025,Rungano Nyoni,/movie/on-becoming-a-guinea-fowl/,On Becoming a Guinea Fowl,2025,Rungano Nyoni,0.87,95,"On an empty road in the middle of the night, Shula stumbles across the body of her uncle. As funeral proceedings begin around them, she and her cousins bring to light the buried secrets of their middle-class Zambian family.",Rungano Nyoni
My Dead Friend Zoe,2025,Kyle Hausmann-Stokes,/movie/my-dead-friend-zoe/,My Dead Friend Zoe,2025,Kyle Hausmann-Stokes,0.75,98,"Engaged in a mysterious relationship with her dead best friend from the Army, a female Afghanistan veteran comes head to head with her Vietnam vet grandfather at the family's ancestral lake house.","Kyle Hausmann-Stokes, Cherish Chen, A.J. Bermudez"
Superboys of Malegaon,2025,Reema Kagti,/movie/superboys-of-malegaon/,Superboys of Malegaon,2025,Reema Kagti,0.71,127,"The story of Nasir Shaikh's no-budget, community-sourced movies turned his hometown into an unlikely dream factory.","Varun Grover, Shoaib Nazeer, Reema Kagti"
Art Spiegelman: Disaster Is My Muse,2025,"Molly Bernstein, Philip Dolin",/movie/art-spiegelman-disaster-is-my-muse/,Art Spiegelman: Disaster Is My Muse,2025,"Molly Bernstein, Philip Dolin",,98,"Art Spiegelman: Disaster is My Muse! explores the life and career of cartoonist Art Spiegelman and the creation and ground-breaking impact of his Pulitzer Prize-winning graphic novel Maus, the story of his parents’ survival of the Holocaust and his own struggle to come to terms with this legacy.",
Compensation,2025,Zeinabu irene Davis,/movie/compensation/,Compensation,2025,Zeinabu irene Davis,1.0,95,"A landmark of independent cinema, Compensation is Zeinabu irene Davis’s moving, ambitious portrait of the struggles of Deaf African Americans and the complexities of loving relationships at the bookends of the twentieth century. In extraordinary dual performances, Michelle A. Banks and John Earl Jelks play Malindy and Arthur, a couple in...",Marc Arthur Chéry
Universal Language,2025,Matthew Rankin,/movie/universal-language/,Universal Language,2025,Matthew Rankin,0.84,89,"In a mysterious and surreal interzone somewhere between Tehran and Winnipeg, the lives of multiple characters interweave with each other in surprising and mysterious ways. Gradeschoolers Negin and Nazgol find a sum of money frozen in the winter ice and try to claim it. Meanwhile, Massoud leads a group of increasingly-befuddled tourists t...","Ila Firouzabadi, Pirouz Nemati, Matthew Rankin"
The Annihilation of Fish,2025,Charles Burnett,/movie/the-annihilation-of-fish/,The Annihilation of Fish,2025,Charles Burnett,0.63,108,"Stumbling over the obstacles they've each created in their imaginary lives, an unlikely pair finds love and fulfillment in a reality that finally transcends their fantasies.  (American Sterling Productions)",Anthony C. Winkler
Becoming Led Zeppelin,2025,Bernard MacMahon,/movie/becoming-led-zeppelin/,Becoming Led Zeppelin,2025,Bernard MacMahon,0.64,121,"With unparalleled access to the group and their personal archives, their full support and never-before-seen footage, Becoming Led Zeppelin will immerse you in the sights and sounds of their early career. For all the millions of people who will never see the band live, this is as close as you will get to being there. Before the stairway a...","Bernard MacMahon, Allison McGourty"
Heart Eyes,2025,Josh Ruben,/movie/heart-eyes/,Heart Eyes,2025,Josh Ruben,0.61,90,"For the past several years, the Heart Eyes Killer has wreaked havoc on Valentine’s Day by stalking and murdering romantic couples. This Valentine’s Day, no couple is safe.","Phillip Murphy, Christopher Landon, Michael Kennedy"
Time Passages,2025,Kyle Henry,/movie/time-passages/,Time Passages,2025,Kyle Henry,,86,"A filmmaker ""time travels"" via his family archive as his mother's health declines from dementia, racing against the clock to resolve his fraught relationship to family and nation when COVID strikes her nursing home.",Kyle Henry
