Movie_ID,Title,Year,Ebert_Score
1,Sing Sing,2023,4
2,Y Tu Mama Tambien,2001,4
3,Gasoline Rainbow,2023,4
4,Evil Does Not Exist,2023,3.5
5,Slow,2023,3.5
6,The Old Oak,2023,4
7,The Beast,2023,4
8,"Are You There God? It's Me, Margaret",2023,3.5
9,A Thousand and One,2023,3
10,Everything Everywhere All at Once,2022,3.5
11,The Nature of Love,2023,4
12,Oddity,2024,3.5
13,Challengers,2024,3.5
14,Furiosa: A Mad Max Saga,2024,4
15,Polite Society,2023,3.5
16,On the Count of Three,2021,4
17,The Piano,1993,4
18,Jackass Forever,2022,4
19,Happening,2021,4
20,Asteroid City,2023,4
21,Petite Maman,2021,4
22,They Cloned Tyrone,2023,3
23,Civil War,2024,4
24,Goodfellas,1990,4
25,All Dirt Roads Taste of Salt,2023,3.5
26,The Wonderful Story of Henry Sugar,2023,4
27,Frances Ha,2012,2.5
28,Love Lies Bleeding,2024,3.5
29,Outlaw Johnny Black,2023,2.5
30,Monica,2022,4
31,The Unbearable Weight of Massive Talent,2022,3.5
32,No Hard Feelings,2023,2
33,The Zone of Interest,2023,4
34,Society of the Snow,2023,3
35,El Conde,2023,3.5
36,Ghostlight,2024,3.5
37,Raging Grace,2023,4
38,Return to Seoul,2022,4
39,Suzume,2022,3
40,The Eight Mountains,2022,3.5
41,Anselm,2023,3
42,The Ascent,1977,
43,Election,1999,3.5
44,Sicario,2015,3
45,The French Dispatch,2021,4
46,Free Solo,2018,3
47,Prisoners,2013,2.5
48,Across the Universe,2007,4
49,Spider-man: Far from Home,2019,2.5
50,Spider-man: No Way Home,2021,3
51,Saltburn,2023,3
52,Spider-Man: Into the Spider-Verse,2018,3.5
53,Adaptation,2002,4
54,The Mighty Ducks,1992,2
55,The Next Karate Kid,1994,
56,Harry and the Hendersons,1987,
57,Kindergarten Cop,1990,3
58,Air Bud,1997,3
59,The Addams Family,1991,2
60,The Santa Clause,1994,2.5
61,Father of the Bride,1991,3
62,Terms of Endearment,1983,4
63,Spanglish,2004,3
64,Ghost,1990,2.5
65,The Teachers' Lounge,2023,3.5
66,All of Us Strangers,2023,3.5
67,Casablanca,1942,4
68,May December,2023,4
69,Anatomy of a Fall,2023,3.5
