Title,Year,Director,Rating,Watch Date,LB_Film_Link
Mishima: A Life in Four Chapters,1985,Paul Schrader,3.5,2025-03-29,https://letterboxd.com//film/mishima-a-life-in-four-chapters/
Black Bag,2025,Steven Soderbergh,0.0,2025-03-28,https://letterboxd.com//film/black-bag-2025/
On Becoming a Guinea Fowl,2024,Rungano Nyoni,4.0,2025-03-20,https://letterboxd.com//film/on-becoming-a-guinea-fowl/
Mickey 17,2025,Bong Joon Ho,2.5,2025-03-16,https://letterboxd.com//film/mickey-17/
Three Colours: Red,1994,Krzysztof Kieślowski,4.0,2025-03-13,https://letterboxd.com//film/three-colours-red/
Take Shelter,2011,Jeff Nichols,3.5,2025-03-01,https://letterboxd.com//film/take-shelter/
Universal Language,2024,Matthew Rankin,4.0,2025-02-22,https://letterboxd.com//film/universal-language/
Rashomon,1950,Akira Kurosawa,2.5,2025-02-14,https://letterboxd.com//film/rashomon/
Taxi,2015,Jafar Panahi,2.5,2025-02-11,https://letterboxd.com//film/taxi-2015/
Persepolis,2007,"Vincent Paronnaud, Marjane Satrapi",3.5,2025-02-09,https://letterboxd.com//film/persepolis/
I'm Still Here,2024,Walter Salles,2.5,2025-02-01,https://letterboxd.com//film/im-still-here-2024/
Nickel Boys,2024,RaMell Ross,4.0,2025-01-25,https://letterboxd.com//film/nickel-boys/
The Apprentice,2024,Ali Abbasi,2.5,2025-01-23,https://letterboxd.com//film/the-apprentice-2024/
I Saw the TV Glow,2024,Jane Schoenbrun,3.5,2025-01-21,https://letterboxd.com//film/i-saw-the-tv-glow/
The Brutalist,2024,Brady Corbet,4.0,2025-01-19,https://letterboxd.com//film/the-brutalist/
Hard Truths,2024,Mike Leigh,4.0,2025-01-12,https://letterboxd.com//film/hard-truths-2024/
Bluebeard's Castle,1963,Michael Powell,0.0,2025-01-11,https://letterboxd.com//film/bluebeards-castle/
If Beale Street Could Talk,2018,Barry Jenkins,3.5,2025-01-08,https://letterboxd.com//film/if-beale-street-could-talk/
Mad Max: Fury Road,2015,George Miller,4.0,2025-01-05,https://letterboxd.com//film/mad-max-fury-road/
