Title,Year,Director,Josh Larsen,Nick Davis,Link,jamie loftus,risesinthewest,crhoesing,Aria,n23haynes,Adam Kempenaar,Maia,ratbathman,Mitra Jouhari,Caitlin Durante,victoire13,Monika Kothari
Mishima: A Life in Four Chapters,1985,Paul Schrader,3.5,4.5,https://letterboxd.com//film/mishima-a-life-in-four-chapters/,,,,,,,,,,,,
Black Bag,2025,Steven Soderbergh,4.0,3.0,https://letterboxd.com//film/black-bag-2025/,3.0,4.0,4.0,,,,,,,,,
On Becoming a Guinea Fowl,2024,Rungano Nyoni,4.0,4.5,https://letterboxd.com//film/on-becoming-a-guinea-fowl/,,,,,,,,,,,,
Mickey 17,2025,Bong Joon Ho,4.0,2.0,https://letterboxd.com//film/mickey-17/,,,4.0,4.0,2.5,2.5,,,,,,
Three Colours: Red,1994,Krzysztof Kieślowski,,4.0,https://letterboxd.com//film/three-colours-red/,,,,,,,,,,,,
Take Shelter,2011,Jeff Nichols,4.5,,https://letterboxd.com//film/take-shelter/,,,,,,5.0,,,,,,
Universal Language,2024,Matthew Rankin,,4.0,https://letterboxd.com//film/universal-language/,,,,,3.0,,4.5,,,,,
,,,,,https://letterboxd.com//film/rashomon/,,,,,,,,,,,,
Taxi,2015,Jafar Panahi,,,https://letterboxd.com//film/taxi-2015/,,,,,,4.5,,,,,,
Persepolis,2007,"Vincent Paronnaud, Marjane Satrapi",,,https://letterboxd.com//film/persepolis/,,,,,,,,,,,,
I’m Still Here,2024,Walter Salles,4.0,3.0,https://letterboxd.com//film/im-still-here-2024/,,,5.0,3.0,3.5,4.0,,,,,,
Nickel Boys,2024,RaMell Ross,4.0,3.5,https://letterboxd.com//film/nickel-boys/,,,5.0,5.0,3.5,4.0,4.5,,,,,
The Apprentice,2024,Ali Abbasi,,3.5,https://letterboxd.com//film/the-apprentice-2024/,,,,2.5,,2.5,,,,,,
I Saw the TV Glow,2024,Jane Schoenbrun,4.0,4.0,https://letterboxd.com//film/i-saw-the-tv-glow/,4.5,4.0,3.5,3.0,1.0,3.5,,,,,,
The Brutalist,2024,Brady Corbet,4.0,4.5,https://letterboxd.com//film/the-brutalist/,,,5.0,3.5,4.0,5.0,3.0,,,,,
,,,,,https://letterboxd.com//film/hard-truths-2024/,,,,,,,,,,,,
Bluebeard’s Castle,1963,Michael Powell,,,https://letterboxd.com//film/bluebeards-castle/,,,,,,,,,,,,
If Beale Street Could Talk,2018,Barry Jenkins,4.0,5.0,https://letterboxd.com//film/if-beale-street-could-talk/,,,,4.0,,5.0,,,,,,
Mad Max: Fury Road,2015,George Miller,5.0,,https://letterboxd.com//film/mad-max-fury-road/,,5.0,5.0,3.5,4.0,4.5,5.0,5.0,5.0,5.0,,
Babygirl,2024,Halina Reijn,2.5,3.0,https://letterboxd.com//film/babygirl-2024/,,,3.5,1.5,2.5,2.5,4.0,,,,,
Inside the Yellow Cocoon Shell,2023,Phạm Thiên Ân,4.5,,https://letterboxd.com//film/inside-the-yellow-cocoon-shell/,,,,,,4.0,,,,,,
