Title,Showtime
DAVID LYNCH: THE ART LIFE,2025-04-18 13:00:00
THE BALLAD OF WALLIS ISLAND,2025-04-18 14:00:00
THE BALLAD OF WALLIS ISLAND,2025-04-18 18:45:00
SUNSET BOULEVARD,2025-04-18 15:00:00
SECRET MALL APARTMENT,2025-04-18 16:15:00
SECRET MALL APARTMENT,2025-04-18 21:00:00
MULHOLLAND DRIVE,2025-04-18 17:45:00
BLUE VELVET,2025-04-18 23:59:00
ON THE AIR EPISODES 1 & 7,2025-04-19 11:30:00
SECRET MALL APARTMENT,2025-04-19 11:45:00
SECRET MALL APARTMENT,2025-04-19 21:30:00
THE SHORT FILMS OF DAVID LYNCH,2025-04-19 14:15:00
RIVER'S EDGE,2025-04-19 16:30:00
THE BALLAD OF WALLIS ISLAND,2025-04-19 16:30:00
THE BALLAD OF WALLIS ISLAND,2025-04-19 18:45:00
MUSIC IN THE AIR: EXPLORING THE MUSICAL WORLDS OF DAVID LYNCH,2025-04-19 21:00:00
TWIN PEAKS: FIRE WALK WITH ME,2025-04-19 23:59:00
THE STRAIGHT STORY,2025-04-20 11:15:00
SECRET MALL APARTMENT,2025-04-20 11:45:00
SECRET MALL APARTMENT,2025-04-20 21:00:00
THE BALLAD OF WALLIS ISLAND,2025-04-20 14:00:00
THE BALLAD OF WALLIS ISLAND,2025-04-20 16:15:00
THE BALLAD OF WALLIS ISLAND,2025-04-20 18:45:00
LOST HIGHWAY,2025-04-20 14:30:00
INLAND EMPIRE,2025-04-20 17:30:00
"RABBITS, LYNCH (ONE) & MORE THINGS THAT HAPPENED…",2025-04-20 21:15:00
DAVID LYNCH: THE ART LIFE,2025-04-18 13:00:00
THE BALLAD OF WALLIS ISLAND,2025-04-18 14:00:00
THE BALLAD OF WALLIS ISLAND,2025-04-18 18:45:00
SUNSET BOULEVARD,2025-04-18 15:00:00
SECRET MALL APARTMENT,2025-04-18 16:15:00
SECRET MALL APARTMENT,2025-04-18 21:00:00
