Title,Year,Runtime,Director,Cast,Format,Writer
I DON'T KNOW JACK,2002,96,Chris Leavens,"Jack Nance, John Achorn, Leo Bulgarini",,
THE BALLAD OF WALLIS ISLAND,2025,100,James Griffiths,"Tom Basden, Tim Key, Carey Mulligan",DCP,"Tom Basden, Tim Key"
ERASERHEAD,1977,89,David Lynch,"Jack Nance, Charlotte Stewart, Allen Joseph",35mm,David Lynch
DUNE,1984,137,David Lynch,"Kyle MacLachlan, Virginia Madsen, Francesca Annis, Patrick Stewart, Sting",35mm,"Frank Herbert (novel), David Lynch (screenplay)"
BLUE VELVET REVISITED,2016,85,Peter Braatz,David Lynch,DCP,Peter Braatz
BLUE VELVET,1986,120,David Lynch,"Isabella Rossellini, Kyle MacLachlan, Dennis Hopper",35mm,David Lynch
FROM THE HEAD,2011,95,George Griffith,"George Griffith, Matthew Lillard, Jeffrey Doornbos",35mm,George Griffith
RED ROCK WEST,1993,98,John Dahl,"Nicolas Cage, Dennis Hopper, Lara Flynn Boyle",35mm,"John Dahl, Rick Dahl"
WILD AT HEART,1990,125,David Lynch,"Nicolas Cage, Laura Dern, Willem Dafoe",DCP,"Barry Gifford (novel), David Lynch (screenplay)"
TWIN PEAKS: FIRE WALK WITH ME,1992,135,David Lynch,"Sheryl Lee, Ray Wise, Mädchen Amick, Dana Ashbrook",DCP,"David Lynch, Robert Engels"
DAVID LYNCH: THE ART LIFE,2016,93,"Jon Nguyen, Rick Barnes",David Lynch,DCP,
SUNSET BOULEVARD,1950,110,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim",35mm,"Charles Brackett, Billy Wilder"
SECRET MALL APARTMENT,2024,91,Jeremy Workman,"Michael Townsend, Adriana Valdez Young, Colin Bliss",DCP,Jeremy Workman
MULHOLLAND DRIVE,2001,147,David Lynch,"Naomi Watts, Laura Harring, Justin Theroux",35mm,David Lynch
ADVENTURES OF ELECTRIC ROD BOY,1987,47,Shin'ya Tsukamoto,"Nariaki Senba, Nobu Kanaoka, Kei Fujiwara",DCP,Shin'ya Tsukamoto
ON THE AIR EPISODES 1 & 7,1992,100,"Mark Frost, David Lynch","Ian Buchanan, Nancye Ferguson, Miguel Ferrer",,
THE SHORT FILMS OF DAVID LYNCH,,85,David Lynch,,DCP,
RIVER'S EDGE,1986,99,Tim Hunter,"Crispin Glover, Keanu Reeves, Ione Skye",35mm,Neal Jimenez
MUSIC IN THE AIR: EXPLORING THE MUSICAL WORLDS OF DAVID LYNCH,,90,David Lynch,,,
TETSUO: THE IRON MAN,1989,67,Shin'ya Tsukamoto,"Tomorô Taguchi, Kei Fujiwara, Nobu Kanaoka",DCP,Shin'ya Tsukamoto
THE STRAIGHT STORY,1999,112,David Lynch,"Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz",35mm,"John Roach, Mary Sweeney"
LOST HIGHWAY,1997,134,David Lynch,"Bill Pullman, Patricia Arquette, John Roselius",DCP,"David Lynch, Barry Gifford"
INLAND EMPIRE,2006,180,David Lynch,"Laura Dern, Jeremy Irons, Justin Theroux",DCP,David Lynch
"RABBITS, LYNCH (ONE) & MORE THINGS THAT HAPPENED…",2007,84,Jason Scheunemann,David Lynch,DCP,
