Title,Year,Link,Metascore,Summary,Directors,Writers,Release Date,Runtime
EEPHUS,2024,/movie/eephus/,0.83,"Grown men's recreational baseball game stretches to extra innings on their beloved field's final day before demolition. Humor and nostalgia intertwine as daylight fades, signaling an era's end.",Carson Lund,"Michael Basta, Nate Fisher, Carson Lund",2025-03-07,98
ON BECOMING A GUINEA FOWL,2024,/movie/on-becoming-a-guinea-fowl/,0.87,"On an empty road in the middle of the night, Shula stumbles across the body of her uncle. As funeral proceedings begin around them, she and her cousins bring to light the buried secrets of their middle-class Zambian family.",Rungano Nyoni,Rungano Nyoni,2025-03-07,95
BOB TREVINO LIKES IT,2024,/movie/bob-trevino-likes-it/,0.72,"After searching for her estranged father online, a people-pleasing young woman unexpectedly forms a close bond with a grieving, childless man with the same name as her father on Facebook. Inspired by a true story.",Tracie Laymon,Tracie Laymon,2025-03-21,102
FEMALE TROUBLE,1974,/movie/female-trouble/,,A re-release of John Water's 1975 film starring Divine.,John Waters,John Waters,2002-03-15,89
BRIGHT STAR,2007,/movie/bright-star/,0.81,"London 1818: a secret love affair begins between 23 year old English poet, John Keats, and the girl next door, Fanny Brawne, and outspoken student of fashion.  This unlikely pair started at odds, he thinking her a stylish minx, she unimpressed by literature in general. It was the illness of Keats' younger brother that drew them together....",Jane Campion,"Jane Campion, Andrew Motion",2009-09-16,119
THE ROOM,2003,/movie/the-room/,0.09,"Johnny is a successful banker with great respect for and dedication to the people in his life, especially his future wife Lisa. Johnny can also be a little too trusting at times which haunts him later on. Lisa is a beautiful blonde fiancé of Johnny. She has always gotten her way and will manipulate to get what she wants. She is a taker, ...",Tommy Wiseau,Tommy Wiseau,2003-07-18,99
THE IRON GIANT,1999,/movie/the-iron-giant/,0.85,"A giant metal machine falls to Earth in 1950s Maine, frightening townspeople.  However, the robot befriends a nine-year-old boy named Hogarth who must save it from the predjudices of the townspeople and from a government agent intent on destroying the robot.",Brad Bird,"Tim McCanlies, Brad Bird, Ted Hughes, Brent Forrester",1999-08-06,86
ART SPIEGELMAN: DISASTER IS MY MUSE,2024,/movie/art-spiegelman-disaster-is-my-muse/,,"Art Spiegelman: Disaster is My Muse! explores the life and career of cartoonist Art Spiegelman and the creation and ground-breaking impact of his Pulitzer Prize-winning graphic novel Maus, the story of his parents’ survival of the Holocaust and his own struggle to come to terms with this legacy.","Molly Bernstein, Philip Dolin",,2025-02-21,98
JOINT SECURITY AREA,2000,/movie/jsa-joint-security-area/,0.58,"Joint Security Area is the ""Apocalypse Now"" of the Korean War -- a shimmering, hyper-real epic that charts the spiritual fallout of international politics.  (Subway Cinema)",Park Chan-wook,"Park Chan-wook, Hyun-seok Kim, Seong-san Jeong, Mu-yeong Lee, Myeong-chan Park, Sang-yeon Park",2005-06-15,110
THE BALLAD OF WALLIS ISLAND,2025,/movie/the-ballad-of-wallis-island/,0.78,"Charles (Tim Key), an eccentric lottery winner, lives alone on a remote island and dreams of getting his favorite musicians, McGwyer Mortimer (Tom Basden & Carey Mulligan) back together. His fantasy turns into reality when the bandmates and former lovers accept his invitation to play a private show at his home on Wallis Island. Old tensi...",James Griffiths,"Tom Basden, Tim Key",2025-03-28,100
BELLY,1998,/movie/belly/,0.36,Two young friends involved in organized crime and drug dealing find that their priorities differ.,Hype Williams,"Anthony Bodden, Nas, Hype Williams",1998-11-04,96
GREASE,1978,/movie/grease/,0.7,"Danny's the bad boy leader of the T-Bird's.  Sandy's the innocent Australian transfer.  With the debilitating shadow of 50's high school politics dooming their budding relationship, will Danny and Sandy be able to change before it is too late to end up together?",Randal Kleiser,"Jim Jacobs, Warren Casey, Bronte Woodard, Allan Carr",1978-06-16,110
OUT OF SIGHT,1998,/movie/out-of-sight/,0.84,"Based on the novel by Elmore Leonard, Out of Sight tells the story of the unlikely relationship that forms between a sexy US Marshal (Lopez) and a charming career criminal (Clooney).",Steven Soderbergh,"Elmore Leonard, Scott Frank",1998-06-26,123
ERASERHEAD,1977,/movie/eraserhead/,0.87,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.",David Lynch,David Lynch,1978-02-03,89
LOST HIGHWAY,1997,/movie/lost-highway/,0.53,This neo-noir is a mesmerizing meditation on the mysterious nature of identity from director David Lynch. [October Films],David Lynch,"David Lynch, Barry Gifford",1997-02-21,135
THE ELEPHANT MAN,1980,/movie/the-elephant-man/,0.78,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous facade, there is revealed a person of intelligence and sensitivity.",David Lynch,"Christopher De Vore, Eric Bergren, David Lynch, Frederick Treves, Ashley Montagu",1980-10-10,124
THE STRAIGHT STORY,1999,/movie/the-straight-story/,0.86,"The true story of Alvin Straight (Farnsworth) who rides his 1961 lawnmower from Laurens, Iowa, to Mt. Zion, Wisconsin, to visit his estranged brother after the latter suffers a stroke.",David Lynch,"John Roach, Mary Sweeney",1999-10-15,112
LYNCH/OZ,2022,/movie/lynchoz/,0.62,Victor Fleming's film The Wizard of Oz (1939) is one of David Lynch's most enduring obsessions. This documentary goes over the rainbow to explore this Technicolor through-line in Lynch's work.,Alexandre O. Philippe,Alexandre O. Philippe,2023-06-02,108
