Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
EEPHUS,2024,Carson Lund,2025-04-01 16:15:00,2025-04-01,16:15:00
EEPHUS,2024,Carson Lund,2025-04-01 21:15:00,2025-04-01,21:15:00
BOB TREVINO LIKES IT,2024,Tracie Laymon,2025-04-01 16:30:00,2025-04-01,16:30:00
BOB TREVINO LIKES IT,2024,Tracie Laymon,2025-04-01 19:00:00,2025-04-01,19:00:00
BOB TREVINO LIKES IT,2024,Tracie Laymon,2025-04-01 21:30:00,2025-04-01,21:30:00
STACEY AND MICHAEL'S SHOWCASE OF SHORTS IX,2025,,2025-04-01 19:00:00,2025-04-01,19:00:00
EEPHUS,2024,Carson Lund,2025-04-02 15:00:00,2025-04-02,15:00:00
EEPHUS,2024,Carson Lund,2025-04-02 19:00:00,2025-04-02,19:00:00
EEPHUS,2024,Carson Lund,2025-04-02 21:15:00,2025-04-02,21:15:00
BOB TREVINO LIKES IT,2024,Tracie Laymon,2025-04-02 16:30:00,2025-04-02,16:30:00
BOB TREVINO LIKES IT,2024,Tracie Laymon,2025-04-02 21:45:00,2025-04-02,21:45:00
EEPHUS,2024,Carson Lund,2025-04-03 16:15:00,2025-04-03,16:15:00
EEPHUS,2024,Carson Lund,2025-04-03 18:45:00,2025-04-03,18:45:00
EEPHUS,2024,Carson Lund,2025-04-03 21:15:00,2025-04-03,21:15:00
BOB TREVINO LIKES IT,2024,Tracie Laymon,2025-04-03 16:30:00,2025-04-03,16:30:00
BOB TREVINO LIKES IT,2024,Tracie Laymon,2025-04-03 19:00:00,2025-04-03,19:00:00
BOB TREVINO LIKES IT,2024,Tracie Laymon,2025-04-03 21:30:00,2025-04-03,21:30:00
MUSIC BOX BINGO,,,2025-04-03 19:00:00,2025-04-03,19:00:00
BOB TREVINO LIKES IT,2024,Tracie Laymon,2025-04-04 14:00:00,2025-04-04,14:00:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-04 14:15:00,2025-04-04,14:15:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-04 16:30:00,2025-04-04,16:30:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-04 19:15:00,2025-04-04,19:15:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-04 21:30:00,2025-04-04,21:30:00
EEPHUS,2024,Carson Lund,2025-04-04 16:15:00,2025-04-04,16:15:00
EEPHUS,2024,Carson Lund,2025-04-04 19:00:00,2025-04-04,19:00:00
EEPHUS,2024,Carson Lund,2025-04-04 21:15:00,2025-04-04,21:15:00
BELLY,1998,Hype Williams,2025-04-04 23:59:00,2025-04-04,23:59:00
BOB TREVINO LIKES IT,2024,Tracie Laymon,2025-04-05 11:15:00,2025-04-05,11:15:00
GREASE,1978,Randal Kleiser,2025-04-05 11:30:00,2025-04-05,11:30:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-05 14:15:00,2025-04-05,14:15:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-05 16:30:00,2025-04-05,16:30:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-05 19:15:00,2025-04-05,19:15:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-05 21:30:00,2025-04-05,21:30:00
EEPHUS,2024,Carson Lund,2025-04-05 16:15:00,2025-04-05,16:15:00
EEPHUS,2024,Carson Lund,2025-04-05 19:00:00,2025-04-05,19:00:00
EEPHUS,2024,Carson Lund,2025-04-05 21:15:00,2025-04-05,21:15:00
BELLY,1998,Hype Williams,2025-04-05 23:59:00,2025-04-05,23:59:00
BOB TREVINO LIKES IT,2024,Tracie Laymon,2025-04-06 11:15:00,2025-04-06,11:15:00
GREASE,1978,Randal Kleiser,2025-04-06 11:30:00,2025-04-06,11:30:00
EEPHUS,2024,Carson Lund,2025-04-06 14:00:00,2025-04-06,14:00:00
EEPHUS,2024,Carson Lund,2025-04-06 16:15:00,2025-04-06,16:15:00
EEPHUS,2024,Carson Lund,2025-04-06 18:45:00,2025-04-06,18:45:00
EEPHUS,2024,Carson Lund,2025-04-06 21:00:00,2025-04-06,21:00:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-06 14:15:00,2025-04-06,14:15:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-06 16:30:00,2025-04-06,16:30:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-06 19:15:00,2025-04-06,19:15:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-06 21:30:00,2025-04-06,21:30:00
EEPHUS,2024,Carson Lund,2025-04-07 16:15:00,2025-04-07,16:15:00
EEPHUS,2024,Carson Lund,2025-04-07 21:45:00,2025-04-07,21:45:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-07 16:30:00,2025-04-07,16:30:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-07 19:15:00,2025-04-07,19:15:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-07 21:30:00,2025-04-07,21:30:00
OUT OF SIGHT,1998,Steven Soderbergh,2025-04-07 19:00:00,2025-04-07,19:00:00
EEPHUS,2024,Carson Lund,2025-04-08 16:15:00,2025-04-08,16:15:00
EEPHUS,2024,Carson Lund,2025-04-08 18:45:00,2025-04-08,18:45:00
EEPHUS,2024,Carson Lund,2025-04-08 21:15:00,2025-04-08,21:15:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-08 16:30:00,2025-04-08,16:30:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-08 19:15:00,2025-04-08,19:15:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-08 21:30:00,2025-04-08,21:30:00
ACOUSTIC OPEN MIC NIGHT,1998,,2025-04-08 18:00:00,2025-04-08,18:00:00
EEPHUS,2024,Carson Lund,2025-04-09 16:00:00,2025-04-09,16:00:00
EEPHUS,2024,Carson Lund,2025-04-09 21:45:00,2025-04-09,21:45:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-09 16:30:00,2025-04-09,16:30:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-09 19:15:00,2025-04-09,19:15:00
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,2025-04-09 21:30:00,2025-04-09,21:30:00
EEPHUS,2024,Carson Lund,2025-04-10 16:15:00,2025-04-10,16:15:00
EEPHUS,2024,Carson Lund,2025-04-10 18:45:00,2025-04-10,18:45:00
EEPHUS,2024,Carson Lund,2025-04-10 21:15:00,2025-04-10,21:15:00
