Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
IN THE MOOD FOR LOVE,2001,Wong Kar Wai,/movie/in-the-mood-for-love/,In the Mood for Love,2001,Kar-Wai Wong,0.87,98.0,"Chow Mo-wan rents a room in a Hong Kong apartment building.  It's sheer coincidence that he moves in the same day that Su Li-zhen moves in next door.  They never have a real conversation until Mr. Chow realizes that their respective spouses are having an affair. This discovery shocks both of them. Mr. Chow, feeling hurt and wishing to un...",Kar-Wai Wong
KILL THE JOCKEY,2024,Luis Ortega,/movie/kill-the-jockey/,Kill the Jockey,2025,Luis Ortega,0.65,96.0,"Once-renowned jockey Remo Manfredi (Nahuel Pérez Biscayart) has run out of track. Perpetually inebriated, hopped up on horse drugs, and in hock to a minor mafioso, Remo seems to have a death wish. His girlfriend and fellow jockey Abril (Úrsula Corberó) is pregnant, but more invested in the libidinous equestrian underworld than in their d...","Luis Ortega, Rodolfo Palacios, Fabian Casas"
MY BEST FRIENDS WEDDING,1997,Ron BassP.J. Hogan,/movie/my-best-friends-wedding/,My Best Friend's Wedding,1997,P.J. Hogan,0.51,105.0,"Best friends since college, Jules (Roberts) and Michael (Mulroney) made a pact that if neither had found someone to love by the age of 28, they would marry each other.  Now it's their 28th year of life, and Michael just popped the question. There's only one problem: he popped it to someone else.  (Sony Pictures Entertainment)",Ron Bass
EDDINGTON,2025,Ari Aster,/movie/eddington/,Eddington,2025,Ari Aster,0.66,148.0,"In May of 2020, a standoff between a small-town sheriff (Joaquin Phoenix) and mayor (Pedro Pascal) sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.",Ari Aster
ALLIGATOR,1980,Lewis Teague,/movie/alligator/,Alligator,1980,Lewis Teague,0.62,91.0,"A baby alligator is flushed down a Chicago toilet and survives by eating discarded laboratory rats injected with growth hormones. The small reptile grows gigantic, escapes the city sewers, and goes on a rampage.","John Sayles, Frank Ray Perilli"
EEPHUS,2024,Carson Lund,/movie/eephus/,Eephus,2025,Carson Lund,0.83,98.0,"Grown men's recreational baseball game stretches to extra innings on their beloved field's final day before demolition. Humor and nostalgia intertwine as daylight fades, signaling an era's end.","Michael Basta, Nate Fisher, Carson Lund"
ROCKY HORROR PICTURE SHOW,1975,Jim Sharman,/movie/the-rocky-horror-picture-show/,The Rocky Horror Picture Show,1975,Jim Sharman,0.65,100.0,A newly engaged couple have a breakdown in an isolated area and must pay a call to the bizarre residence of Dr. Frank-N-Furter.,"Richard O'Brien, Jim Sharman"
L FOR LEISURE,2014,"Whitney Horn, Lev Kalman",/movie/l-for-leisure/,L for Leisure,2015,"Whitney Horn, Lev Kalman",0.56,74.0,"L for Leisure is an impressionistic, episodic comedy about laziness, wandering and wasting time. Hanging out with teenagers when you’re thirty, smoking nutmeg to get high and eating pie until you fall asleep. Set to the rhythm of the school-year calendar, L for Leisure tracks the changes to the collected spirit of a group of graduate stu...","Whitney Horn, Lev Kalman"
SHARK TALE,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",/movie/shark-tale/,Shark Tale,2004,"Bibo Bergeron, Vicky Jenson, Rob Letterman",0.48,90.0,"Oscar is a fast-talking little fish whose big dreams have a habit of landing him in hot water. Lenny is a great white shark with a sensitive side and a secret -- he's a vegetarian. When a great white lie turns Oscar into an improbable hero and the truth about Lenny makes him an outcast, the two become the most unlikely of friends.  (Drea...","Michael J. Wilson, Rob Letterman, Scott Aukerman, Alec Berg, Lona Williams, David Soren, David P. Smith"
AJ GOES TO THE DOG PARK,2024,Toby Jones,/movie/aj-goes-to-the-dog-park/,AJ Goes to the Dog Park,2025,Toby Jones,,79.0,"When AJ loses his favorite dog park, he must fight, fish, scrap, scrape, and sap to get it back.",Toby Jones
THE AMUSEMENT PARK,1973,George A. Romero,/movie/the-amusement-park/,The Amusement Park,2021,George A. Romero,0.77,54.0,"An elderly gentleman goes for what he assumes will be an ordinary day at the amusement park, only to find himself in the middle of hellish nightmare instead.",Walton Cook
A NIGHTMARE ON ELM STREET 3: DREAM WARRIORS,1987,Chuck Russell,/movie/a-nightmare-on-elm-street-3-dream-warriors/,A Nightmare on Elm Street 3: Dream Warriors,1987,Chuck Russell,0.49,96.0,Survivors of undead serial killer Freddy Krueger - who stalks his victims in their dreams - learn to take control of their own dreams in order to fight back.,"Wes Craven, Bruce Wagner, Frank Darabont, Chuck Russell"
JUMANJI,1995,Joe Johnston,/movie/jumanji/,Jumanji,1995,Joe Johnston,0.39,104.0,"When young Alan Parrish discovers a mysterious board game, he doesn't realize its unimaginable powers, until he is magically transported before the startled eyes of his friend, Sarah, into the untamed jungles of Jumanji. There he remains for 26 years until he is freed from the game's spell by two unsuspecting children.  [Sony]","Jonathan Hensleigh, Greg Taylor, Jim Strain, Chris Van Allsburg"
THE HIDDEN FORTRESS,1958,Akira Kurosawa,/movie/the-hidden-fortress/,The Hidden Fortress,1960,Akira Kurosawa,0.89,126.0,"Lured by gold, two greedy peasants escort a man and woman across enemy lines. However, they do not realize that their companions are actually a princess and her general.","Ryûzô Kikushima, Hideo Oguni, Shinobu Hashimoto, Akira Kurosawa"
CECIL B. DEMENTED,2000,John Waters,/movie/cecil-b-demented/,Cecil B. DeMented,2000,John Waters,0.57,87.0,A famous Hollywood actress is kidnapped and forced to star in an underground film by a lunatic director and his teenage group of film makers.,John Waters
