Title Searched,Year Searched,Director Searched,Publication,Score,Critic,Snippet,Date Written
EDDINGTON,2025,Ari Aster,The Playlist,100,Elena Lazic,"More conventional than any of Aster’s previous work, Eddington is also more rigorous and explicit in its political engagement — the work of a maturing filmmaker eager to make it clear that his dark and scathing sense of humor is anything but an empty provocation.","May 19, 2025"
EDDINGTON,2025,Ari Aster,IndieWire,91,David Ehrlich,"Aster, who’s exclusively interested in making the kind of films that should be reviewed straight onto a prescription pad, is too beholden to his neuroses for his latest movie to play like a cheap provocation. This time, however, there’s a good chance those are your neuroses, too.","May 16, 2025"
EDDINGTON,2025,Ari Aster,Paste Magazine,89,Jason Gorber,"Excoriating and exhilarating in equal measure, it is the first truly great movie to deal explicitly with the unique madness and malice that the global pandemic revealed, a kind of touchstone for a time and place that with only a few years remove feels at once as fictional and otherworldly as a sci-fi novel, and at the same time the very real-world harbinger of the political shifts that proceeded.","May 19, 2025"
EDDINGTON,2025,Ari Aster,The Globe and Mail (Toronto),89,Barry Hertz,"The result is a magnificently off-the-rails poison pill of a film, one that skitters from paranoiac thriller to reactionary satire to something far more caustic and unnerving. It is the cinematic equivalent of long COVID – lingering, haunting, and demanding rigorous, skeptical investigation.","Jul 15, 2025"
EDDINGTON,2025,Ari Aster,The Daily Beast,83,Esther Zuckerman,"Eddington isn’t a movie that moralizes, but at the same time it doesn’t take the stance that both sides make some good points. Rather it’s a period piece about recent history that articulates why everything feels so doomed right now while still finding the space to be utterly ridiculous.","May 17, 2025"
EDDINGTON,2025,Ari Aster,Collider,80,Emma Kiely,"With Joaquin Phoenix at the height of his abilities, Eddington is, if you look close enough, just as, if not more terrifying than anything Paimon or a Swedish cult could ever unleash.","May 16, 2025"
EDDINGTON,2025,Ari Aster,BBC,80,Nicholas Barber,"Its low-level strangeness jumps to surreal and gory heights – and it keeps going higher until it hits a peak of gonzo high-adrenaline fun that leaves you reeling and breathless. Many viewers will have had enough of the film long before then, but there is something heroic about Aster's uncompromising determination to go his own way.","May 16, 2025"
EDDINGTON,2025,Ari Aster,The Independent,80,Sophie Monks Kaufman,"This is Aster’s funniest film to date, and makes use of an ever expanding and shifting cast to dot the 150-minute runtime with well-observed comic details and visual payoffs.","May 16, 2025"
EDDINGTON,2025,Ari Aster,Variety,80,Owen Gleiberman,"[Aster] wants to show us the really big picture, and while “Eddington” isn’t a horror movie, it puts its finger on a kind of madness you’ll recognize with a tremor.","May 16, 2025"
EDDINGTON,2025,Ari Aster,Slashfilm,80,Bill Bria,"It's a film that never feels neutered or held back, and as such it lingers in the mind for days afterward.","Jul 3, 2025"
EDDINGTON,2025,Ari Aster,TheWrap,75,Ben Croll,"Aster has always had a knack for confrontation, while Phoenix works best as an open-nerve. That the duo should prove so adept tapping into a vein of neurotic action is one of the many brutal surprises in a social satire as blunt and broad as America itself.","May 16, 2025"
EDDINGTON,2025,Ari Aster,Slant Magazine,75,Rocco T. Thompson,Eddington is especially pointed in the way that it views our online connectedness as a social cancer rather than an engine for progress.,"Jul 10, 2025"
EDDINGTON,2025,Ari Aster,San Francisco Chronicle,75,G. Allen Johnson,Phoenix is the perfect instrument for Aster’s bleak and self-destructive view of humanity. Consider “Eddington” a warning.,"Jul 15, 2025"
EDDINGTON,2025,Ari Aster,Chicago Tribune,75,Michael Phillips,"When Aster lays off the easy comic despair in favor of more ambiguous and dimensional feelings, interactions and moments, “Eddington” becomes the movie he wanted. His script has a million problems with clarity, coincidence and the nagging drag of a protagonist set up for a long, grisly comeuppance, yet “Eddington” is probably Aster’s strongest film visually.","Jul 16, 2025"
EDDINGTON,2025,Ari Aster,Rolling Stone,70,David Fear,"The overall lack of subtlety suits the age Aster is taking to task, though it also makes everything feel slightly wobbly on its feet. The viewpoint is both-sides misanthropy. Jonathan Swift has some notes.","May 17, 2025"
EDDINGTON,2025,Ari Aster,The A.V. Club,67,Farah Cheded,"Eddington is only a partly coherent mishmash of tones and ideas: sincere and satirical, astute and self-obfuscating. The only thing it is completely is ambitious.","May 20, 2025"
EDDINGTON,2025,Ari Aster,RogerEbert.com,63,Brian Tallerico,"It’s not just about the divisiveness of 2020; it’s designed to be divisive itself in 2025. To that end, even if you hate it, it’s kind of done its job.","May 18, 2025"
EDDINGTON,2025,Ari Aster,Vanity Fair,60,Richard Lawson,"Eddington gradually shifts away from the hyper topical and into a despairing, bleakly amusing look at an America prone to violent fantasy and deed, entrenched in escalating conflict, caught in a terrible entropy. When Aster finally knuckles down and ramps up the action, Eddington takes strange flight.","May 16, 2025"
EDDINGTON,2025,Ari Aster,New York Magazine (Vulture),60,Alison Willmore,"No genre really makes more sense for this moment than horror — except, maybe, for black comedy, and Aster’s bracingly nasty but centerless new film offers plenty of both.","May 17, 2025"
EDDINGTON,2025,Ari Aster,Time,60,Stephanie Zacharek,"If this wigged-out modern Western doesn’t quite work, it’s at the very least a cry of vexation over what our country, messy at the best of times, has become, thanks to a virus that found its way not just into our lungs, but into our very lifeblood. Dr. Aster has listened in on America’s heartbeat; the diagnosis is that we’re basically a mess.","May 17, 2025"
EDDINGTON,2025,Ari Aster,Screen Rant,60,Graeme Guttmann,"At times, it can be bitterly hysterical, with Aster, who also wrote the film, further flexing his comedic muscles after his previous film with Phoenix. On the other hand, Eddington can be almost too on-the-nose, knicking the surface of complex issues but pulling the blade away before it can really draw blood.","May 18, 2025"
EDDINGTON,2025,Ari Aster,The Film Stage,58,Rory O'Connor,"The character’s thinly sketched beliefs combined with Phoenix’s uncharacteristically vague performance keep him constantly at arm’s reach. We never really get into his head, which makes his eventual downfall (or Falling Down) feel both nihilistic and dramatically undercharged.","May 18, 2025"
EDDINGTON,2025,Ari Aster,Screen Daily,50,Tim Grierson,"In certain moments, the film’s absurdism recalls that era’s paranoia and volcanic anger, but too often Aster overshoots the mark, collecting the period’s signature elements without finding much that is smart to say about them.","May 16, 2025"
EDDINGTON,2025,Ari Aster,The Associated Press,50,Lindsey Bahr,"Five years after we just went through (at least a lot of) this, “Eddington” somehow seems both too late and too soon, especially when it offers so little wisdom or insight beyond a vision of hopelessness.","Jul 14, 2025"
EDDINGTON,2025,Ari Aster,The Guardian,40,Peter Bradshaw,There is no accumulation of drama or tension or intellectual revelation and the setpiece shootout is ultimately valueless. What exactly is it saying that we didn’t know already? The wait for Aster to recover his directorial form goes on.,"May 16, 2025"
EDDINGTON,2025,Ari Aster,The Times,40,Kevin Maher,"It’s an ambitious contemporary western shot last year yet set in the summer of 2020, and ostensibly aims, in almost every scene, to analyse and ridicule the political obsessions and digital neuroses that dominated that moment. And, well, it’s quite the mess.","May 16, 2025"
EDDINGTON,2025,Ari Aster,The Hollywood Reporter,40,David Rooney,"It’s bloated, self-indulgent, rambling, crazily ambitious and commendably odd, but so overstuffed it becomes a lethal combination of baffling and boring.","May 16, 2025"
EDDINGTON,2025,Ari Aster,IGN,40,Siddhant Adlakha,"With Eddington, Ari Aster tries his hand at political satire and turns in his first bad movie.","May 20, 2025"
