Title,Release Year,Director
If Beale Street Could Talk,2018,Barry Jenkins
Mad Max: Fury Road,2015,George Miller
Babygirl,2024,Halina Reijn
Inside the Yellow Cocoon Shell,2023,Thien An Pham
Nosferatu,2024,Robert Eggers
The Seed of the Sacred Fig,2024,Mohammad Rasoulof
Saltburn,2023,Emerald Fennell
Spider-Man: Into the Spider-Verse,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman"
Adaptation,2002,Spike Jonze
The Mighty Ducks,1992,Stephen Herek
The Next Karate Kid,1994,Christopher Cain
Harry and the Hendersons,1987,William Dear
Kindergarten Cop,1990,Ivan Reitman
Air Bud,1997,Charles Martin Smith
The Addams Family,1991,Barry Sonnenfeld
The Santa Clause,1994,John Pasquin
Father of the Bride,1991,Charles Shyer
Terms of Endearment,1983,James L. Brooks
Spanglish,2004,James L. Brooks
Ghost,1990,Jerry Zucker
La Chimera,2023,Alice Rohrwacher
Eyes Wide Shut,1999,Stanley Kubrick
Janet Planet,2023,Annie Baker
Small Things Like These,2024,Tim Mielants
The Beast,2023,Bertrand Bonello
Conclave,2024,Edward Berger
Tangerine,2015,Sean Baker
La Cocina,2024,Alonso Ruizpalacios
Bird,2024,Andrea Arnold
Fish Tank,2009,Andrea Arnold
Do Not Expect Too Much from the End of the World,2023,Radu Jude
"Paris, Texas",1984,Wim Wenders
His Three Daughters,2023,Azazel Jacobs
Only the River Flows,2023,Wei Shujun
Good One,2024,India Donaldson
Sing Sing,2023,Greg Kwedar
Challengers,2024,Luca Guadagnino
On the Count of Three,2021,Jerrod Carmichael
The Piano,1993,Jane Campion
Petite Maman,2021,Céline Sciamma
Asteroid City,2023,Wes Anderson
Happening,2021,Audrey Diwan
Goodfellas,1990,Martin Scorsese
All Dirt Roads Taste of Salt,2023,Raven Jackson
Morvern Callar,2002,Lynne Ramsay
The Wonderful Story of Henry Sugar,2023,Wes Anderson
Frances Ha,2012,Noah Baumbach
Love Lies Bleeding,2024,Rose Glass
Monica,2022,Andrea Pallaoro
The Zone of Interest,2023,Jonathan Glazer
Society of the Snow,2023,J.A. Bayona
The Teachers' Lounge,2023,Ilker Çatak
All of Us Strangers,2023,Andrew Haigh
Casablanca,1942,Michael Curtiz
May December,2023,Todd Haynes
Anatomy of a Fall,2023,Justine Triet
Master Gardener,2022,Paul Schrader
The Artifice Girl,2022,Franklin Ritch
Aftersun,2022,Charlotte Wells
Rodeo,2022,Lola Quivoron
Earth Mama,2023,Savanah Leaf
Showing Up,2022,Kelly Reichardt
Oppenheimer,2023,Christopher Nolan
The Lighthouse,2019,Robert Eggers
TÃ¡r,2022,Todd Field
The Banshees of Inisherin,2022,Martin McDonagh
Thoroughbreds,2017,Cory Finley
Azor,2021,Andreas Fontana
Short Term 12,2013,Destin Daniel Cretton
Moonlight,2016,Barry Jenkins
Parasite,2019,Bong Joon Ho
Sound of Metal,2019,Darius Marder
Nomadland,2020,Chloé Zhao
The Card Counter,2021,Paul Schrader
Raw,2016,Julia Ducournau
Titane,2021,Julia Ducournau
The Power of the Dog,2021,Jane Campion
In the Cut,2003,Jane Campion
Sweetie,1989,Jane Campion
BlackBerry,2023,Matt Johnson
A Real Pain,2024,Jesse Eisenberg
The People's Joker,2022,Vera Drew
Anora,2024,Sean Baker
Thelma,2024,Josh Margolin
Hit Man,2023,Richard Linklater
Hundreds of Beavers,2022,Mike Cheslik
Polite Society,2023,Nida Manzoor
Jackass Forever,2022,Jeff Tremaine
They Cloned Tyrone,2023,Juel Taylor
Outlaw Johnny Black,2023,Michael Jai White
The Unbearable Weight of Massive Talent,2022,Tom Gormican
No Hard Feelings,2023,Gene Stupnitsky
El Conde,2023,Pablo Larraín
Drive-Away Dolls,2024,Ethan Coen
Barbie,2023,Greta Gerwig
American Fiction,2023,Cord Jefferson
Sanctuary,2022,Zachary Wigon
Werewolves Within,2021,Josh Ruben
The Holdovers,2023,Alexander Payne
7 Days,2021,Roshan Sethi
Shiva Baby,2020,Emma Seligman
Bottoms,2023,Emma Seligman
Joy Ride,2023,Adele Lim
"Confess, Fletch",2022,Greg Mottola
Inspector Ike,2020,Graham Mason
Licorice Pizza,2021,Paul Thomas Anderson
Dinner in America,2020,Adam Rehmeier
Brian and Charles,2022,Jim Archer
Borat Subsequent Moviefilm,2020,Jason Woliner
Nate - A One Man Show,2020,Phil Burgers
The Nature of Love,2023,Monia Chokri
Molli and Max in the Future,2023,Michael Lukk Litwak
Before Sunset,2004,Richard Linklater
Fallen Leaves,2023,Aki Kaurismäki
Portrait of a Lady on Fire,2019,Céline Sciamma
Before Sunrise,1995,Richard Linklater
Rye Lane,2023,Raine Allen-Miller
Past Lives,2023,Celine Song
You Hurt My Feelings,2023,Nicole Holofcener
Crazy Rich Asians,2018,Jon M. Chu
Pride & Prejudice,2005,Joe Wright
Decision to Leave,2022,Park Chan-wook
Drive My Car,2021,Ryûsuke Hamaguchi
The Worst Person in the World,2021,Joachim Trier
Your Name,2017,Luca Guadagnino
Palm Springs,2020,Max Barbakow
Gremlins,1984,Joe Dante
Mad God,2021,Phil Tippett
The Substance,2024,Coralie Fargeat
Alien: Romulus,2024,Fede Alvarez
Oddity,2024,Damian Mc Carthy
Piggy,2022,Carlota Pereda
Talk to Me,2022,"Danny Philippou, Michael Philippou"
Barbarian,2022,Zach Cregger
M3GAN,2022,Gerard Johnstone
Bodies Bodies Bodies,2022,Halina Reijn
Under the Skin,2013,Jonathan Glazer
Hellraiser,1987,Clive Barker
Possessor,2020,Brandon Cronenberg
Gladiator,2000,Ridley Scott
Godzilla Minus One,2023,Takashi Yamazaki
Furiosa: A Mad Max Saga,2024,George Miller
Civil War,2024,Alex Garland
The Killer,2023,David Fincher
RoboCop,1987,Paul Verhoeven
Violent Night,2022,Tommy Wirkola
You Were Never Really Here,2017,Lynne Ramsay
Dredd,2012,Pete Travis
Kimi,2022,Steven Soderbergh
Sisu,2022,Jalmari Helander
Emily the Criminal,2022,John Patton Ford
Nobody,2021,Ilya Naishuller
Casino Royale,2006,Martin Campbell
Flow,2024,Gints Zilbalodis
Howl's Moving Castle,2004,Hayao Miyazaki
Pokemon Detective Pikachu,2019,Rob Letterman
Pokemon 2000,2000,Richard Dipirro
The Last Unicorn,1982,"Jules Bass, Arthur Rankin Jr."
Princess Mononoke,1997,Hayao Miyazaki
Millennium Actress,2001,"Satoshi Kon, Kô Matsuo"
Akira,1988,Katsuhiro Ôtomo
All the Beauty and the Bloodshed,2022,Laura Poitras
Ex Machina,2014,Alex Garland
Harold & Kumar Go to White Castle,2004,Danny Leiner
Troll 2,1990,Claudio Fragasso
Tank Girl,1995,Rachel Talalay
Bean,1997,Mel Smith
Twilight,2008,Catherine Hardwicke
Black Dynamite,2009,Scott Sanders
Starship Troopers,1997,Paul Verhoeven
The Man from U.N.C.L.E.,2015,Guy Ritchie
Memories,1995,"Katsuhiro Ôtomo, Kôji Morimoto, Tensai Okamura"
Kiss Kiss Bang Bang,2005,Shane Black
The Boondock Saints,1999,Troy Duffy
Blade Runner 2049,2017,Denis Villeneuve
