Title Searched,Title Result,Titles Fuzzy Sim,Titles Cosine Sim,Year Searched,Year Result,Director Searched,Director Result,Directors Fuzzy Sim,Directors Cosine Sim,Link
If Beale Street Could Talk,If Beale Street Could Talk,1.0,1.0,2018,2018,Barry Jenkins,Barry Jenkins,1.0,1.0,/movie/if-beale-street-could-talk/
Mad Max: Fury Road,Mad Max: Fury Road,1.0,1.0,2015,2015,George Miller,George Miller,1.0,1.0,/movie/mad-max-fury-road/
Babygirl,Babygirl,1.0,1.0,2024,2024,Halina Reijn,Halina Reijn,1.0,1.0,/movie/babygirl-2024/
Inside the Yellow Cocoon Shell,Inside the Yellow Cocoon Shell,1.0,1.0,2023,2023,Thien An Pham,Thien An Pham,1.0,1.0,/movie/inside-the-yellow-cocoon-shell/
Nosferatu,Nosferatu,1.0,1.0,2024,2024,Robert Eggers,Robert Eggers,1.0,1.0,/movie/nosferatu-2024/
The Seed of the Sacred Fig,The Seed of the Sacred Fig,1.0,1.0,2024,2024,Mohammad Rasoulof,Mohammad Rasoulof,1.0,1.0,/movie/the-seed-of-the-sacred-fig/
Saltburn,Saltburn,1.0,1.0,2023,2023,Emerald Fennell,Emerald Fennell,1.0,1.0,/movie/saltburn/
Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,1.0,1.0,2018,2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Bob Persichetti, Peter Ramsey, Rodney Rothman",1.0,1.0,/movie/spider-man-into-the-spider-verse/
Adaptation,Adaptation.,0.95,1.0,2002,2002,Spike Jonze,Spike Jonze,1.0,1.0,/movie/adaptation/
The Mighty Ducks,The Mighty Ducks,1.0,1.0,1992,1992,Stephen Herek,Stephen Herek,1.0,1.0,/movie/the-mighty-ducks/
The Next Karate Kid,The Next Karate Kid,1.0,1.0,1994,1994,Christopher Cain,Christopher Cain,1.0,1.0,/movie/the-next-karate-kid/
Harry and the Hendersons,Harry and the Hendersons,1.0,1.0,1987,1987,William Dear,William Dear,1.0,1.0,/movie/harry-and-the-hendersons/
Kindergarten Cop,Kindergarten Cop,1.0,1.0,1990,1990,Ivan Reitman,Ivan Reitman,1.0,1.0,/movie/kindergarten-cop/
Air Bud,,,,1997,,Charles Martin Smith,,,,
The Addams Family,The Addams Family,1.0,1.0,1991,2019,Barry Sonnenfeld,"Greg Tiernan, Conrad Vernon",0.33,0.0,/movie/the-addams-family-2019/
The Addams Family,The Addams Family,1.0,1.0,1991,1991,Barry Sonnenfeld,Barry Sonnenfeld,1.0,1.0,/movie/the-addams-family/
The Santa Clause,The Santa Clause,1.0,1.0,1994,1994,John Pasquin,John Pasquin,1.0,1.0,/movie/the-santa-clause/
Father of the Bride,Father of the Bride,1.0,1.0,1991,2022,Charles Shyer,Gary Alazraki,0.31,0.0,/movie/father-of-the-bride-2022/
Father of the Bride,Father of the Bride,1.0,1.0,1991,1950,Charles Shyer,Vincente Minnelli,0.27,0.0,/movie/father-of-the-bride-1950/
Father of the Bride,Father of the Bride,1.0,1.0,1991,1991,Charles Shyer,Charles Shyer,1.0,1.0,/movie/father-of-the-bride/
Terms of Endearment,Terms of Endearment,1.0,1.0,1983,1983,James L. Brooks,James L. Brooks,1.0,1.0,/movie/terms-of-endearment/
Spanglish,Spanglish,1.0,1.0,2004,2004,James L. Brooks,James L. Brooks,1.0,1.0,/movie/spanglish/
Ghost,Ghost,1.0,1.0,1990,1990,Jerry Zucker,Jerry Zucker,1.0,1.0,/movie/ghost/
La Chimera,La Chimera,1.0,1.0,2023,2023,Alice Rohrwacher,Alice Rohrwacher,1.0,1.0,/movie/la-chimera/
Eyes Wide Shut,Eyes Wide Shut,1.0,1.0,1999,1999,Stanley Kubrick,Stanley Kubrick,1.0,1.0,/movie/eyes-wide-shut/
Janet Planet,Janet Planet,1.0,1.0,2023,2023,Annie Baker,Annie Baker,1.0,1.0,/movie/janet-planet/
Small Things Like These,Small Things Like These,1.0,1.0,2024,2024,Tim Mielants,Tim Mielants,1.0,1.0,/movie/small-things-like-these/
The Beast,The Beast,1.0,1.0,2023,2023,Bertrand Bonello,Bertrand Bonello,1.0,1.0,/movie/the-beast-2023/
Conclave,Conclave,1.0,1.0,2024,2024,Edward Berger,Edward Berger,1.0,1.0,/movie/conclave/
Tangerine,Tangerine,1.0,1.0,2015,2015,Sean Baker,Sean Baker,1.0,1.0,/movie/tangerine/
La Cocina,La Cocina,1.0,1.0,2024,2024,Alonso Ruizpalacios,Alonso Ruizpalacios,1.0,1.0,/movie/la-cocina/
Bird,Bird,1.0,1.0,2024,2024,Andrea Arnold,Andrea Arnold,1.0,1.0,/movie/bird-2024/
Fish Tank,Fish Tank,1.0,1.0,2009,2009,Andrea Arnold,Andrea Arnold,1.0,1.0,/movie/fish-tank/
Do Not Expect Too Much from the End of the World,Do Not Expect Too Much From the End of the World,1.0,1.0,2023,2023,Radu Jude,Radu Jude,1.0,1.0,/movie/do-not-expect-too-much-from-the-end-of-the-world/
"Paris, Texas","Paris, Texas",1.0,1.0,1984,1984,Wim Wenders,Wim Wenders,1.0,1.0,/movie/paris-texas/
His Three Daughters,His Three Daughters,1.0,1.0,2023,2023,Azazel Jacobs,Azazel Jacobs,1.0,1.0,/movie/his-three-daughters/
Only the River Flows,Only the River Flows,1.0,1.0,2023,2023,Wei Shujun,Wei Shujun,1.0,1.0,/movie/only-the-river-flows/
Good One,Good One,1.0,1.0,2024,2024,India Donaldson,India Donaldson,1.0,1.0,/movie/good-one/
Sing Sing,Sing Sing,1.0,1.0,2023,2023,Greg Kwedar,Greg Kwedar,1.0,1.0,/movie/sing-sing/
Challengers,Challengers,1.0,1.0,2024,2024,Luca Guadagnino,Luca Guadagnino,1.0,1.0,/movie/challengers/
On the Count of Three,On the Count of Three,1.0,1.0,2021,2021,Jerrod Carmichael,Jerrod Carmichael,1.0,1.0,/movie/on-the-count-of-three/
The Piano,The Piano,1.0,1.0,1993,1993,Jane Campion,Jane Campion,1.0,1.0,/movie/the-piano/
Petite Maman,Petite Maman,1.0,1.0,2021,2021,Céline Sciamma,Céline Sciamma,1.0,1.0,/movie/petite-maman/
Asteroid City,Asteroid City,1.0,1.0,2023,2023,Wes Anderson,Wes Anderson,1.0,1.0,/movie/asteroid-city/
Happening,Happening,1.0,1.0,2021,2021,Audrey Diwan,Audrey Diwan,1.0,1.0,/movie/happening/
Goodfellas,Goodfellas,1.0,1.0,1990,1990,Martin Scorsese,Martin Scorsese,1.0,1.0,/movie/goodfellas/
All Dirt Roads Taste of Salt,All Dirt Roads Taste of Salt,1.0,1.0,2023,2023,Raven Jackson,Raven Jackson,1.0,1.0,/movie/all-dirt-roads-taste-of-salt/
Morvern Callar,Morvern Callar,1.0,1.0,2002,2002,Lynne Ramsay,Lynne Ramsay,1.0,1.0,/movie/morvern-callar/
The Wonderful Story of Henry Sugar,The Wonderful Story of Henry Sugar,1.0,1.0,2023,2023,Wes Anderson,Wes Anderson,1.0,1.0,/movie/the-wonderful-story-of-henry-sugar/
Frances Ha,Frances Ha,1.0,1.0,2012,2012,Noah Baumbach,Noah Baumbach,1.0,1.0,/movie/frances-ha/
Love Lies Bleeding,Love Lies Bleeding,1.0,1.0,2024,2024,Rose Glass,Rose Glass,1.0,1.0,/movie/love-lies-bleeding/
Monica,Monica,1.0,1.0,2022,2022,Andrea Pallaoro,Andrea Pallaoro,1.0,1.0,/movie/monica/
The Zone of Interest,The Zone of Interest,1.0,1.0,2023,2023,Jonathan Glazer,Jonathan Glazer,1.0,1.0,/movie/the-zone-of-interest/
Society of the Snow,Society of the Snow,1.0,1.0,2023,2023,J.A. Bayona,J.A. Bayona,1.0,1.0,/movie/society-of-the-snow/
The Teachers' Lounge,The Teachers' Lounge,1.0,1.0,2023,2023,Ilker Çatak,Ilker Çatak,1.0,1.0,/movie/the-teachers-lounge/
All of Us Strangers,All of Us Strangers,1.0,1.0,2023,2023,Andrew Haigh,Andrew Haigh,1.0,1.0,/movie/all-of-us-strangers/
Casablanca,Casablanca,1.0,1.0,1942,1942,Michael Curtiz,Michael Curtiz,1.0,1.0,/movie/casablanca/
May December,May December,1.0,1.0,2023,2023,Todd Haynes,Todd Haynes,1.0,1.0,/movie/may-december/
Anatomy of a Fall,Anatomy of a Fall,1.0,1.0,2023,2023,Justine Triet,Justine Triet,1.0,1.0,/movie/anatomy-of-a-fall/
Master Gardener,Master Gardener,1.0,1.0,2022,2022,Paul Schrader,Paul Schrader,1.0,1.0,/movie/master-gardener/
The Artifice Girl,The Artifice Girl,1.0,1.0,2022,2022,Franklin Ritch,Franklin Ritch,1.0,1.0,/movie/the-artifice-girl/
Aftersun,Aftersun,1.0,1.0,2022,2022,Charlotte Wells,Charlotte Wells,1.0,1.0,/movie/aftersun/
Rodeo,Rodeo,1.0,1.0,2022,2022,Lola Quivoron,Lola Quivoron,1.0,1.0,/movie/rodeo/
Earth Mama,Earth Mama,1.0,1.0,2023,2023,Savanah Leaf,Savanah Leaf,1.0,1.0,/movie/earth-mama/
Showing Up,Showing Up,1.0,1.0,2022,2022,Kelly Reichardt,Kelly Reichardt,1.0,1.0,/movie/showing-up/
Oppenheimer,Oppenheimer,1.0,1.0,2023,2023,Christopher Nolan,Christopher Nolan,1.0,1.0,/movie/oppenheimer/
The Lighthouse,The Lighthouse,1.0,1.0,2019,2019,Robert Eggers,Robert Eggers,1.0,1.0,/movie/the-lighthouse-2019/
TÃ¡r,TÁR,0.57,0.0,2022,2022,Todd Field,Todd Field,1.0,1.0,/movie/tar-2022/
TÃ¡r,Hotel Transylvania: Transformania,0.11,0.0,2022,2022,Todd Field,"Derek Drymon, Jennifer Kluska",0.31,0.0,/movie/hotel-transylvania-transformania/
The Banshees of Inisherin,The Banshees of Inisherin,1.0,1.0,2022,2022,Martin McDonagh,Martin McDonagh,1.0,1.0,/movie/the-banshees-of-inisherin/
Thoroughbreds,Thoroughbreds,1.0,1.0,2017,2017,Cory Finley,Cory Finley,1.0,1.0,/movie/thoroughbreds/
Azor,Azor,1.0,1.0,2021,2021,Andreas Fontana,Andreas Fontana,1.0,1.0,/movie/azor/
Short Term 12,Short Term 12,1.0,1.0,2013,2013,Destin Daniel Cretton,Destin Daniel Cretton,1.0,1.0,/movie/short-term-12/
Moonlight,Moonlight,1.0,1.0,2016,2016,Barry Jenkins,Barry Jenkins,1.0,1.0,/movie/moonlight-2016/
Parasite,Parasite,1.0,1.0,2019,2019,Bong Joon Ho,Bong Joon Ho,1.0,1.0,/movie/parasite/
Sound of Metal,Sound of Metal,1.0,1.0,2019,2019,Darius Marder,Darius Marder,1.0,1.0,/movie/sound-of-metal/
Nomadland,Nomadland,1.0,1.0,2020,2020,Chloé Zhao,Chloé Zhao,1.0,1.0,/movie/nomadland/
The Card Counter,The Card Counter,1.0,1.0,2021,2021,Paul Schrader,Paul Schrader,1.0,1.0,/movie/the-card-counter/
Raw,Raw,1.0,1.0,2016,2016,Julia Ducournau,Julia Ducournau,1.0,1.0,/movie/raw/
Titane,Titane,1.0,1.0,2021,2021,Julia Ducournau,Julia Ducournau,1.0,1.0,/movie/titane/
The Power of the Dog,The Power of the Dog,1.0,1.0,2021,2021,Jane Campion,Jane Campion,1.0,1.0,/movie/the-power-of-the-dog/
In the Cut,In the Cut,1.0,1.0,2003,2003,Jane Campion,Jane Campion,1.0,1.0,/movie/in-the-cut/
Sweetie,Sweetie,1.0,1.0,1989,1989,Jane Campion,Jane Campion,1.0,1.0,/movie/sweetie/
BlackBerry,BlackBerry,1.0,1.0,2023,2023,Matt Johnson,Matt Johnson,1.0,1.0,/movie/blackberry/
A Real Pain,A Real Pain,1.0,1.0,2024,2024,Jesse Eisenberg,Jesse Eisenberg,1.0,1.0,/movie/a-real-pain/
The People's Joker,The People's Joker,1.0,1.0,2022,2022,Vera Drew,Vera Drew,1.0,1.0,/movie/the-peoples-joker/
Anora,Anora,1.0,1.0,2024,2024,Sean Baker,Sean Baker,1.0,1.0,/movie/anora/
Thelma,Thelma,1.0,1.0,2024,2024,Josh Margolin,Josh Margolin,1.0,1.0,/movie/thelma-2024/
Hit Man,Hit Man,1.0,1.0,2023,2023,Richard Linklater,Richard Linklater,1.0,1.0,/movie/hit-man/
Hundreds of Beavers,Hundreds of Beavers,1.0,1.0,2022,2022,Mike Cheslik,Mike Cheslik,1.0,1.0,/movie/hundreds-of-beavers/
Polite Society,Polite Society,1.0,1.0,2023,2023,Nida Manzoor,Nida Manzoor,1.0,1.0,/movie/polite-society/
Jackass Forever,Jackass Forever,1.0,1.0,2022,2022,Jeff Tremaine,Jeff Tremaine,1.0,1.0,/movie/jackass-forever/
They Cloned Tyrone,They Cloned Tyrone,1.0,1.0,2023,2023,Juel Taylor,Juel Taylor,1.0,1.0,/movie/they-cloned-tyrone/
Outlaw Johnny Black,Outlaw Johnny Black,1.0,1.0,2023,2023,Michael Jai White,Michael Jai White,1.0,1.0,/movie/outlaw-johnny-black/
The Unbearable Weight of Massive Talent,The Unbearable Weight of Massive Talent,1.0,1.0,2022,2022,Tom Gormican,Tom Gormican,1.0,1.0,/movie/the-unbearable-weight-of-massive-talent/
No Hard Feelings,No Hard Feelings,1.0,1.0,2023,2023,Gene Stupnitsky,Gene Stupnitsky,1.0,1.0,/movie/no-hard-feelings/
El Conde,El Conde,1.0,1.0,2023,2023,Pablo Larraín,Pablo Larraín,1.0,1.0,/movie/el-conde/
Drive-Away Dolls,Drive-Away Dolls,1.0,1.0,2024,2024,Ethan Coen,Ethan Coen,1.0,1.0,/movie/drive-away-dolls/
Barbie,Barbie,1.0,1.0,2023,2023,Greta Gerwig,Greta Gerwig,1.0,1.0,/movie/barbie/
American Fiction,American Fiction,1.0,1.0,2023,2023,Cord Jefferson,Cord Jefferson,1.0,1.0,/movie/american-fiction/
Sanctuary,Sanctuary,1.0,1.0,2022,2022,Zachary Wigon,Zachary Wigon,1.0,1.0,/movie/sanctuary/
Werewolves Within,Werewolves Within,1.0,1.0,2021,2021,Josh Ruben,Josh Ruben,1.0,1.0,/movie/werewolves-within/
The Holdovers,The Holdovers,1.0,1.0,2023,2023,Alexander Payne,Alexander Payne,1.0,1.0,/movie/the-holdovers/
7 Days,7 Days,1.0,1.0,2021,2021,Roshan Sethi,Roshan Sethi,1.0,1.0,/movie/7-days/
Shiva Baby,Shiva Baby,1.0,1.0,2020,2020,Emma Seligman,Emma Seligman,1.0,1.0,/movie/shiva-baby/
Bottoms,Bottoms,1.0,1.0,2023,2023,Emma Seligman,Emma Seligman,1.0,1.0,/movie/bottoms/
Joy Ride,Joy Ride,1.0,1.0,2023,2001,Adele Lim,John Dahl,0.22,0.0,/movie/joy-ride/
Joy Ride,Joy Ride,1.0,1.0,2023,2023,Adele Lim,Adele Lim,1.0,1.0,/movie/joy-ride-2023/
"Confess, Fletch","Confess, Fletch",1.0,1.0,2022,2022,Greg Mottola,Greg Mottola,1.0,1.0,/movie/confess-fletch/
Inspector Ike,Inspector Ike,1.0,1.0,2020,2020,Graham Mason,Graham Mason,1.0,1.0,/movie/inspector-ike/
Licorice Pizza,Licorice Pizza,1.0,1.0,2021,2021,Paul Thomas Anderson,Paul Thomas Anderson,1.0,1.0,/movie/licorice-pizza/
Dinner in America,Dinner in America,1.0,1.0,2020,2020,Adam Rehmeier,Adam Rehmeier,1.0,1.0,/movie/dinner-in-america/
Brian and Charles,Brian and Charles,1.0,1.0,2022,2022,Jim Archer,Jim Archer,1.0,1.0,/movie/brian-and-charles/
Borat Subsequent Moviefilm,Borat Subsequent Moviefilm,1.0,1.0,2020,2020,Jason Woliner,Jason Woliner,1.0,1.0,/movie/borat-subsequent-moviefilm-delivery-of-prodigious-bribe-to-american-regime-for-make-benefit-once-glo/
Nate - A One Man Show,Birds of Prey (And the Fantabulous Emancipation of One Harley Quinn),0.29,0.139,2020,2020,Phil Burgers,Cathy Yan,0.19,0.0,/movie/birds-of-prey-and-the-fantabulous-emancipation-of-one-harley-quinn/
Nate - A One Man Show,,,,2020,,Phil Burgers,,,,
The Nature of Love,The Nature of Love,1.0,1.0,2023,2023,Monia Chokri,Monia Chokri,1.0,1.0,/movie/the-nature-of-love/
Molli and Max in the Future,Molli and Max in the Future,1.0,1.0,2023,2023,Michael Lukk Litwak,Michael Lukk Litwak,1.0,1.0,/movie/molli-and-max-in-the-future/
Before Sunset,Before Sunset,1.0,1.0,2004,2004,Richard Linklater,Richard Linklater,1.0,1.0,/movie/before-sunset/
