Title Searched,Year Searched,Director Searched,Publication,Score,Critic,Snippet,Date Written
ERIC LARUE,2024,Michael Shannon,The Hollywood Reporter,80,David Rooney,"There’s no escaping the fact that Eric Larue is a downer, but it’s a work of thoughtful intelligence and restraint, elegantly shot and graced by a striking score from Jonathan Mastro full of dissonant strings that often evoke a sense of nerves about to shatter. Most of all, it’s beautifully acted.","Mar 25, 2025"
ERIC LARUE,2024,Michael Shannon,IndieWire,75,Samantha Bergeson,"Playwright and frequent Shannon collaborator Neveu adapted his own play for the screen, and Shannon’s sensitive direction makes Eric LaRue a haunting, standout film with a career-best performance from Greer.","Jun 12, 2023"
ERIC LARUE,2024,Michael Shannon,Screen Rant,70,Patrice Witherspoon,Shannon and Neveu’s compassionate display of understanding different perspectives when it comes to something as tragic as a school shooting is simply beautiful storytelling.,"Jun 22, 2023"
ERIC LARUE,2024,Michael Shannon,The Playlist,67,Marshall Shaffer,"Shannon’s first feature might begin to sag under the weight of this stilted dialogue and stunted duration, but there is still a lot to admire in Eric Larue. Those qualities are not necessarily all concentrated in Judy Greer, either. Even if the film moves in circles, at least it’s circling something honest and true about spirituality and society alike.","Jun 12, 2023"
ERIC LARUE,2024,Michael Shannon,LarsenOnFilm,63,Josh Larsen,"At its best, Eric LaRue interrogates the rush to healing and forgiveness that can sometimes follow tragedy in Christian communities.","Apr 2, 2025"
ERIC LARUE,2024,Michael Shannon,The A.V. Club,58,Brianna Zigler,"Though carried by a subtle and strenuous performance from Greer, Eric LaRue‘s intentionally unanswered questions do less to provoke than render the film a collage of well-meaning, half-finished sentiments.","Apr 2, 2025"
ERIC LARUE,2024,Michael Shannon,Collider,50,Taylor Gates,"There are several interesting ideas and stories floating around Eric LaRue, but Shannon can’t seem to decide which ones to focus on. While there are some genuinely fantastic, inspired moments, they frustratingly never quite come together, leading to a baffling viewing experience. Hopefully, Greer will get another chance in the spotlight of a more worthy film.","Jun 15, 2023"
ERIC LARUE,2024,Michael Shannon,Slant Magazine,50,Pat Brown,"While the film features a strong performance from Judy Greer, it’s essentially a patchwork of broad strokes that rarely feel like they’re bringing its world to credible life.","Apr 1, 2025"
MISERICORDIA,2024,Alain Guiraudie,The Playlist,100,Ankit Jhunjhunwala,"This is rigorous filmmaking of the highest order, controlled and precise to the exclusion of anything extraneous —evidenced by its taut 100-minute runtime.","May 27, 2024"
MISERICORDIA,2024,Alain Guiraudie,The Globe and Mail (Toronto),100,Saffron Maeve,"With Misericordia, Guiraudie deftly strikes the balance between the playfully sacrilegious and the sociopathic, rounded out by a seductively bizarre cast of dwellers and clusters of puckered, corpse-fed mushrooms.","Mar 26, 2025"
MISERICORDIA,2024,Alain Guiraudie,The Film Stage,91,Leonardo Goi,"For all its morbid undertones and philosophical ruminations, Misericordia is neither a dirge nor a lofty symposium. Strange as it may be to say for a story that begins with a burial and then shatters after a heinous death, this is a supremely and surprisingly funny film, where humor gradually accrues a subversiveness not unlike desire’s own.","May 27, 2024"
MISERICORDIA,2024,Alain Guiraudie,IndieWire,91,Ryan Lattanzio,What a miracle of a movie.,"Mar 21, 2025"
MISERICORDIA,2024,Alain Guiraudie,Variety,90,Jessica Kiang,"Instead it’s a slippery, changeable parable about a particularly amoral cuckoo looking to feather a new nest.","May 27, 2024"
MISERICORDIA,2024,Alain Guiraudie,The New York Times,90,Wesley Morris,"Misericordia is film noir with the lights turned on. Even when its characters are working your nerves, it tickles. Guiraudie is playing those nerves like a harp.","Mar 20, 2025"
MISERICORDIA,2024,Alain Guiraudie,The Daily Beast,88,Nick Schager,"A superb thriller that employs common genre devices for a canny and caustic rumination on right and wrong, love and lust, virtue and vice.","Mar 18, 2025"
MISERICORDIA,2024,Alain Guiraudie,RogerEbert.com,88,Simon Abrams,"It’s not a hard movie to follow or fall for, as fans of Guiraudie’s earlier movies already know. He commands our attention even when his characters are either too ridiculous or too petty to be taken seriously.","Mar 21, 2025"
MISERICORDIA,2024,Alain Guiraudie,Screen Daily,80,Jonathan Romney,"This might suggest that Misericordia is ultimately a film with a message, and a more solemn one than we’re used to with Guiraudie. But any apparent clarity should be taken with a pinch of salt, the film’s meanings shifting as constantly as the erotic drives between the various male (and occasionally female) characters.","May 27, 2024"
MISERICORDIA,2024,Alain Guiraudie,Collider,80,Jeff Ewing,It's a strong and highly watchable thriller that shouldn't be missed.,"Mar 20, 2025"
MISERICORDIA,2024,Alain Guiraudie,Los Angeles Times,80,Joshua Rothkopf,"This isn’t the kind of puzzle thriller in which all the elements click into place with a thudding literalism that compliments an attentive eye. It’s one that accommodates the vagaries of human behavior, leaving punishment aside as a secondary concern.","Mar 21, 2025"
