Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
MISERICORDIA,2024,Alain Guiraudie,/movie/misericordia/,Misericordia,2025,Alain Guiraudie,0.83,102,"Jérémie returns to his hometown for the funeral of his former boss, the village baker. He decides to stay for a few days with Martine, the man’s widow. A mysterious disappearance, a threatening neighbor and a priest with strange intentions make Jérémie’s short stay in the village take an unexpected turn.",Alain Guiraudie
JULIE KEEPS QUIET,2024,Leonardo Van Dijl,/movie/julie-keeps-quiet/,Julie Keeps Quiet,2025,Leonardo Van Dijl,,97,"As the star player at an elite youth tennis academy, Julie’s life revolves around the game she loves. She trains hard, pausing only for class or physical therapy before returning to the gym fixated on making it into the Belgian Tennis Federation. When her coach Jérémy is suddenly suspended following the suicide of one of his female proté...","Ruth Becquart, Leonardo Van Dijl"
FIRST REFORMED,2018,Paul Schrader,/movie/first-reformed/,First Reformed,2018,Paul Schrader,0.86,113,"Reverend Ernst Toller (Ethan Hawke) is a solitary, middle-aged parish pastor at a small Dutch Reform church in upstate New York on the cusp of celebrating its 250th anniversary. Once a stop on the Underground Railroad, the church is now a tourist attraction catering to a dwindling congregation, eclipsed by its nearby parent church, Abund...",Paul Schrader
LATE SPRING,1949,Yasujirô Ozu,/movie/late-spring-1949/,Late Spring (1949),1972,Yasujirô Ozu,0.93,108,"Several people try to talk 27-year-old Noriko into marrying, but all she wants is to keep on caring for her widowed father.","Kazuo Hirotsu, Kôgo Noda, Yasujirô Ozu"
ERIC LARUE,2024,Michael Shannon,/movie/eric-larue/,Eric Larue,2025,Michael Shannon,0.64,119,"Janice (Judy Greer) is struggling; she moves through life as if in a haze, unable to let go of her anger and frustration. While her husband (Alexander Skarsgård) has found refuge at a new church, Janice finds it hard to seek solace in her faith despite her pastor’s pleas to heal her wounds by meeting with the mothers of her son’s victims...",Brett Neveu
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,/movie/mishima-a-life-in-four-chapters/,Mishima: A Life in Four Chapters,1985,Paul Schrader,0.84,120,A fictionalized account in four chapters of the life of celebrated Japanese writer Yukio Mishima.,"Chieko Schrader, Paul Schrader, Leonard Schrader, Jun Shiragi, Yukio Mishima"
AMERICAN GIGOLO,1980,Paul Schrader,/movie/american-gigolo/,American Gigolo,1980,Paul Schrader,0.57,117,"A Los Angeles male escort (Richard Gere), who mostly caters to an older female clientèle, is accused of a murder he didn't commit.",Paul Schrader
GRAND TOUR,2024,Miguel Gomes,/movie/grand-tour/,Grand Tour,2025,Miguel Gomes,0.8,128,"Rangoon, Burma, 1917. Edward, a civil servant for the British Empire, runs away from his fiancée Molly the day she arrives to get married. During his travels, however, panic gives way to melancholy. Contemplating the emptiness of his existence, the cowardly Edward wonders what has become of Molly.  Determined to get married and amused by...","Telmo Churro, Maureen Fazendeiro, Miguel Gomes, Mariana Ricardo, Babu Targino"
THE MISSING PICTURE,2013,Rithy Panh,/movie/the-missing-picture/,The Missing Picture,2013,Rithy Panh,0.87,92,"Rithy Panh uses clay figures, archival footage, and narration to revisit the atrocities committed by Cambodia's Khmer Rouge between 1975 and 1979.","Rithy Panh, Christophe Bataille"
BOWLING FOR COLUMBINE,2002,Michael Moore,/movie/bowling-for-columbine/,Bowling for Columbine,2002,Michael Moore,0.72,120,"Famed documentarian Michael Moore returns with his first feature film in five years, as he tackles the issue of America's unique obsession with firearms.",Michael Moore
TO A LAND UNKNOWN,2024,Mahdi Fleifel,/movie/to-a-land-unknown/,To a Land Unknown,,Mahdi Fleifel,0.86,105,A Palestinian refugee living on the fringes of society in Athens gets ripped off by a smuggler and sets out to seek revenge.,"Fyzal Boulifa, Mahdi Fleifel, Jason McColgan"
DOC 10: THE INFILTRATORS,2019,"Cristina Ibarra, Alex Rivera",/movie/the-infiltrators/,The Infiltrators,2020,"Cristina Ibarra, Alex Rivera",0.74,95,"The Infiltrators is a docu-thriller that tells the true story of young immigrants who are detained by Border Patrol and thrown into a shadowy for-profit detention center—on purpose. Marco and Viri are members of the National Immigrant Youth Alliance, a group of radical DREAMers who are on a mission to stop unjust deportations. And the be...","Cristina Ibarra, Alex Rivera, Aldo Velasco"
DOC10: 2000 METERS TO ANDRIIVKA,2025,Mstyslav Chernov,/movie/2000-meters-to-andriivka/,2000 Meters to Andriivka,,Mstyslav Chernov,0.85,106,"Amid a failing counteroffensive, a journalist follows a Ukrainian platoon on their mission to traverse one mile of heavily fortified forest and liberate a strategic village from Russian occupation. But the farther they advance through their destroyed homeland, the more they realize that this war may never end.",
