Title Searched,Year Searched,Director Searched,Publication,Score,Critic,Snippet,Date Written
MISERICORDIA,2024,Alain Guiraudie,The Playlist,100,Ankit Jhunjhunwala,"This is rigorous filmmaking of the highest order, controlled and precise to the exclusion of anything extraneous —evidenced by its taut 100-minute runtime.","May 27, 2024"
MISERICORDIA,2024,Alain Guiraudie,The Globe and Mail (Toronto),100,Saffron Maeve,"With Misericordia, Guiraudie deftly strikes the balance between the playfully sacrilegious and the sociopathic, rounded out by a seductively bizarre cast of dwellers and clusters of puckered, corpse-fed mushrooms.","Mar 26, 2025"
MISERICORDIA,2024,Alain Guiraudie,The Film Stage,91,Leonardo Goi,"For all its morbid undertones and philosophical ruminations, Misericordia is neither a dirge nor a lofty symposium. Strange as it may be to say for a story that begins with a burial and then shatters after a heinous death, this is a supremely and surprisingly funny film, where humor gradually accrues a subversiveness not unlike desire’s own.","May 27, 2024"
MISERICORDIA,2024,Alain Guiraudie,IndieWire,91,Ryan Lattanzio,What a miracle of a movie.,"Mar 21, 2025"
MISERICORDIA,2024,Alain Guiraudie,Variety,90,Jessica Kiang,"Instead it’s a slippery, changeable parable about a particularly amoral cuckoo looking to feather a new nest.","May 27, 2024"
MISERICORDIA,2024,Alain Guiraudie,The New York Times,90,Wesley Morris,"Misericordia is film noir with the lights turned on. Even when its characters are working your nerves, it tickles. Guiraudie is playing those nerves like a harp.","Mar 20, 2025"
MISERICORDIA,2024,Alain Guiraudie,The Daily Beast,88,Nick Schager,"A superb thriller that employs common genre devices for a canny and caustic rumination on right and wrong, love and lust, virtue and vice.","Mar 18, 2025"
MISERICORDIA,2024,Alain Guiraudie,RogerEbert.com,88,Simon Abrams,"It’s not a hard movie to follow or fall for, as fans of Guiraudie’s earlier movies already know. He commands our attention even when his characters are either too ridiculous or too petty to be taken seriously.","Mar 21, 2025"
MISERICORDIA,2024,Alain Guiraudie,Screen Daily,80,Jonathan Romney,"This might suggest that Misericordia is ultimately a film with a message, and a more solemn one than we’re used to with Guiraudie. But any apparent clarity should be taken with a pinch of salt, the film’s meanings shifting as constantly as the erotic drives between the various male (and occasionally female) characters.","May 27, 2024"
MISERICORDIA,2024,Alain Guiraudie,Collider,80,Jeff Ewing,It's a strong and highly watchable thriller that shouldn't be missed.,"Mar 20, 2025"
MISERICORDIA,2024,Alain Guiraudie,Los Angeles Times,80,Joshua Rothkopf,"This isn’t the kind of puzzle thriller in which all the elements click into place with a thudding literalism that compliments an attentive eye. It’s one that accommodates the vagaries of human behavior, leaving punishment aside as a secondary concern.","Mar 21, 2025"
