,Title,Year,Director,Runtime,Series,Tags,Country,Meta,Link,Show,Description
0,MISERICORDIA,2024,Alain Guiraudie,102,New Releases & Restorations,Now Playing,France/Spain/Portugal,In French with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//misericordia,MISERICORDIA,"Jérémie returns to his hometown in southern France after the death of his former boss, the local bakery owner. Once there, he becomes a fixture in the community: cozying up to the baker’s wife, clashing with his volatile son Vincent, who is threatened by Jérémie’s lingering presence, and forming a bond with the cheerful local priest. But the tantalizing themes of love and death that fascinate Alain Guiraudie (STRANGER BY THE LAKE) are roiling under the placid surface, and when a moment of violence occurs, Guiraudie upends all genre expectations, revealing MISERICORDIA to be a darkly clever and unexpectedly humorous thriller."
1,JULIE KEEPS QUIET,2024,Leonardo Van Dijl,100,New Releases & Restorations,"Now Playing, Exclusive",Belgium/Sweden,In Dutch and French with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//julie-keeps-quiet,JULIE KEEPS QUIET,"Julie, the star player at an elite youth tennis academy, is laser-focused on making it into the Belgian Tennis Federation. When her coach, Jérémy, is suspended after one of his protégées dies by suicide, the academy urges players to speak up about their experience with him. Julie keeps quiet. As suspicions mount about the nature of Jérémy and Julie’s relationship, her silence deepens, fueling anxiety that shifts her focus inward, undermining her confidence, concentration, and performance. Executive produced by tennis champion Naomi Osaka, JULIE KEEPS QUIET is a powder keg of a movie, a tense and taut study of the illusion of control."
2,FIRST REFORMED,2018,Paul Schrader,113,"Paul Schrader, Directed by Paul Schrader",,USA/UK/Australia,In English | Format: Digital,https://www.siskelfilmcenter.org//first-reformed,FIRST REFORMED,"In Schrader’s revelatory tour de force, Reverend Ernest Toller (Ethan Hawke, never better) is the pastor at a small, dwindling Dutch Reformed church in upstate New York preparing to celebrate its 250th anniversary. He is troubled, haunted by the death of his son in the Iraq War, and suffering from chronic pain that he dulls with alcohol. When a pregnant parishioner asks him to counsel her husband, a radical environmentalist, Toller is plunged into a crisis of faith that leads to a stunning climax. An austere, laser-focused vision stylistically influenced by the director’s beloved Robert Bresson, FIRST REFORMED is all Schrader: a potent and provocative exploration of redemption."
3,LATE SPRING,1949,Yasujirô Ozu,108,"Paul Schrader, Curated by Paul Schrader",,Japan,In Japanese with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//late-spring,LATE SPRING,“Simplicity at its most heartbreaking.” -Paul Schrader
4,ERIC LARUE,2024,Michael Shannon,119,New Releases & Restorations,Opens 4/4,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//eric-larue,ERIC LARUE,"In acclaimed actor Michael Shannon’s deft directorial debut, middle-aged mother Janice LaRue (Judy Greer) is adrift after her son Eric killed three classmates in a school shooting. As she grapples with her grief and guilt, her fragile husband Ron (Alexander Skarsgård) has devoted himself to the local evangelical church, while Janice’s Presbyterian pastor urges her to meet with the victims’ mothers for closure. Led by Greer’s nuanced performance and Shannon’s intentional pacing and confident eye, ERIC LARUE, adapted from Brett Neveu’s 2002 play, which debuted at A Red Orchid Theatre in Chicago, is a captivating portrait of faith, blame, and atonement."
5,VIET AND NAM,2024,Trương Minh Quý,129,New Releases & Restorations,"Opens 4/4, Exclusive",Vietnam/Philippines/Singapore/France/Netherlands/Germany/USA,In Vietnamese with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//viet-and-nam,VIET AND NAM,"In the dark coal mines, thousands of feet underground, two young miners, Viêt and Nam, cherish tender, intimate moments together that they cannot share in public. Soon, Nam will move abroad for better opportunities, and the men will be separated. But before he leaves, Nam will accompany his mother into the forest to find the remains of his father, a soldier who never returned from the war. Banned in Vietnam for its “negative portrayal of the country,” VIET AND NAM, stunningly shot on 16mm, is a spellbinding, slow-cinema exploration of the legacies of a nation, anchored by an achingly beautiful love story."
6,MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,120,"Paul Schrader, Directed by Paul Schrader",,USA/Japan,In English and Japanese with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//mishima,MISHIMA: A LIFE IN FOUR CHAPTERS,"MISHIMA: A LIFE IN FOUR CHAPTERS might seem like a departure for Schrader, but this haunting, surreal portrait of acclaimed Japanese author and poet Yujio Mishima is a study of a man defined by his contradictions—right up Schrader’s alley. Taking place on Mishima’s last day alive, when he famously committed public seppuku, Schrader interweaves four thematic chapters—Mishima’s early life, his literary career, his personal struggles, and his dramatic death—in a striking narrative, set to an unforgettable score by Philip Glass, blending reality and fantasy. Called “one of the most gorgeous and sophisticated portraits of an artist ever put on film” by The New Yorker, Schrader considers MISHIMA to be the best film he’s directed."
7,AMERICAN GIGOLO,1980,Paul Schrader,117,"Paul Schrader, Directed by Paul Schrader",,USA,"In English, and Swedish, French, and German with English subtitles | Format: DIgital",https://www.siskelfilmcenter.org//american-gigolo,AMERICAN GIGOLO,"In Schrader’s stylish neo-noir, Richard Gere stars as Julian, a high-end male escort in Los Angeles who lives a lavish but emotionally unattached lifestyle. Just as he begins a relationship with Michelle (Lauren Hutton), the wife of a politician, Julian learns that a recent client had been found dead, and he is the prime suspect. Set against a backdrop of slick and superficial luxury, with a star-making performance by Gere (and all those incredible Armani suits) AMERICAN GIGOLO is an intelligent thriller ahead of its time, and a profound exploration of the commodification of love and desire. Of his third feature, Schrader said he felt he had arrived as a director."
8,An Evening with Paul Schrader,2025,Paul Schrader,120,Paul Schrader,Sold Out,USA,In English,https://www.siskelfilmcenter.org//schrader-evening,An Evening with Paul Schrader,"The Gene Siskel Film Center is honored to present legendary screenwriter, director, and producer Paul Schrader with the Renaissance Award. Join us for a wide-ranging conversation about his career, spanning films from TAXI DRIVER to AMERICAN GIGOLO to OH, CANADA, moderated by Director of Programming Rebecca Fons. Time will be allotted for audience questions."
9,DRUMMING AND DUBBING WITH ALEE PEOPLES,2008,Alee Peoples,70,OFF CENTER,"16mm, Artist In Attendance",USA,"In English | Format: 16mm, Digital",https://www.siskelfilmcenter.org//drumming-dubbing,OFF CENTER: DRUMMING AND DUBBING WITH ALEE PEOPLES,"Multidisciplinary artist Alee Peoples visits the Film Center from Los Angeles to present a selection of her 16mm films followed by a performance in collaboration with Jesse Malmed. Peoples' films are playful yet poised, full of U-turns, dry humor, and cinematic magic tricks. Her filmmaking is sculptural, using a DIY approach to reshape pedestrian images into powerful symbols. Come watch her transform words into smoke, fences into flags, and a pane of glass into almost anything you can imagine. Artist in attendance for live performance."
