Title Searched,Year Searched,Director Searched,Publication,Score,Critic,Snippet,Date Written
MARLEE MATLIN: NOT ALONE ANYMORE,2025,Shoshannah Stern,The Playlist,91,Brian Farvour,"It’s a unique profile of Matlin, and by incorporating a wealth of her similarly deaf friends, the film sits in stark contrast to its contemporaries; when any interviewee uses sign language, and the sound drops to near zero, it’s hard not to feel all the more engaged.","Jan 31, 2025"
MARLEE MATLIN: NOT ALONE ANYMORE,2025,Shoshannah Stern,RogerEbert.com,88,Peyton Robinson,"Stern, herself deaf, crafts an intimate and moving documentary that takes us through the legendary life of Marlee Matlin, uncovering a legacy of advocacy, activism, and perseverance.","Jun 20, 2025"
MARLEE MATLIN: NOT ALONE ANYMORE,2025,Shoshannah Stern,IndieWire,83,Kate Erbland,"There’s something quite moving about watching Matlin tell her own story, on her own terms.","Jan 31, 2025"
MARLEE MATLIN: NOT ALONE ANYMORE,2025,Shoshannah Stern,The Hollywood Reporter,80,Leslie Felperin,"Marlee Matlin: Not Alone Anymore does offer an engaging, exuberant portrait of the relentlessly likeable Matlin.","Jan 31, 2025"
MARLEE MATLIN: NOT ALONE ANYMORE,2025,Shoshannah Stern,Screen Daily,80,Allan Hunter,"On the surface, Not Alone Anymore is a solid, sweet-natured celebration of a unique artist, but it gradually provides a deeper perspective.","Jan 31, 2025"
MARLEE MATLIN: NOT ALONE ANYMORE,2025,Shoshannah Stern,Variety,80,Lisa Kennedy,"Directed by Shoshannah Stern, who is hearing impaired, the documentary — made for the “American Masters” series and premiering at Sundance — is both straightforward and subtle.","Jan 31, 2025"
MARLEE MATLIN: NOT ALONE ANYMORE,2025,Shoshannah Stern,Los Angeles Times,80,Tim Grierson,"The 59-year-old actor’s legacy may indeed be one of perseverance, but “Not Alone Anymore” touchingly details just how much more challenging her battles with addiction and sexual abuse have been than those of other famous people.","Jun 27, 2025"
MARLEE MATLIN: NOT ALONE ANYMORE,2025,Shoshannah Stern,San Francisco Chronicle,75,G. Allen Johnson,"There are painful moments in “Marlee Matlin: Not Alone Anymore,” and there are triumphs. But mostly, it is a film of grace and acceptance — a necessary portrait of a groundbreaking artist.","Jun 25, 2025"
MARLEE MATLIN: NOT ALONE ANYMORE,2025,Shoshannah Stern,Washington Post,75,Ty Burr,The star is so engaging and her story so compelling that this well-edited profile easily hangs together.,"Jul 11, 2025"
MARLEE MATLIN: NOT ALONE ANYMORE,2025,Shoshannah Stern,Collider,70,Therese Lacson,"By the end of Not Alone Anymore, it's clear that Matlin is far from a star who burned too bright once, and her light has not dimmed at all. If anything, she's been working steadily and surely and despite the years of solitude, thanks to her creating the path forward, she is not alone anymore and won't ever be again.","Feb 5, 2025"
MARLEE MATLIN: NOT ALONE ANYMORE,2025,Shoshannah Stern,TheWrap,65,Elizabeth Weitzman,It’s a testament to both Matlin and the movie that we leave already anticipating the chapters still to come.,"Jan 30, 2025"
3 WOMEN,1977,Robert Altman,Christian Science Monitor,100,David Sterritt,"Written and directed by a brilliant screen artist at the peak of his powers, it's an utterly original comedy-drama.",
3 WOMEN,1977,Robert Altman,Slant Magazine,100,Eric Henderson,3 Women is a daring piece of cinema that glides along the edge of weirdness and somehow manages not to fall off.,
3 WOMEN,1977,Robert Altman,TV Guide Magazine,80,Staff (Not credited),"A film such as this, which relies on mood, atmosphere, and ideas, rather than plot, depends on its acting to be effective, and the entire cast is extraordinary, with Shelley Duvall and Sissy Spacek both giving their finest performance ever.",
3 WOMEN,1977,Robert Altman,Variety,80,Staff (Not Credited),Absorbing moody and often compelling story.,
3 WOMEN,1977,Robert Altman,Village Voice,50,Michael Atkinson,"Today, the movie doesn't portend Altman's subsequent tailspin into irrelevance as much as it suggests a restlessness with the comic realism he had mastered.",
DON’T LET'S GO TO THE DOGS TONIGHT,2024,Embeth Davidtz,The Hollywood Reporter,90,Caryn James,There is more of Fuller’s memoir that might be a source for other adaptations. It is hard to imagine any would be more beautifully realized than this.,"Oct 9, 2024"
DON’T LET'S GO TO THE DOGS TONIGHT,2024,Embeth Davidtz,Wall Street Journal,90,Kyle Smith,"“Dogs” is a beguiling recreation of one irrepressible childhood. The movie is sometimes funny, sometimes heartrending, but always invitingly candid and relatable. In its specificity it winds up being universal: As children, we really were odd little beasts, weren’t we?","Jul 10, 2025"
DON’T LET'S GO TO THE DOGS TONIGHT,2024,Embeth Davidtz,Los Angeles Times,80,Amy Nicholson,The pull of the film lies in how Davidtz allows Bobo to bob on the surface of things while we feel the dark undertow,"Jul 10, 2025"
DON’T LET'S GO TO THE DOGS TONIGHT,2024,Embeth Davidtz,Screen Rant,80,Mary Kassel,"The movie is Davidtz's feature debut. What she crafts is something imperfect, but as nuanced as a discussion of this topic from the white perspective can be.","Jul 10, 2025"
DON’T LET'S GO TO THE DOGS TONIGHT,2024,Embeth Davidtz,The Seattle Times,75,Gemma Wilson,"Parts of that story may be hard to watch, but, anchored by Venter’s extraordinary performance, it’s not hard to enjoy.","Jul 9, 2025"
DON’T LET'S GO TO THE DOGS TONIGHT,2024,Embeth Davidtz,The Associated Press,75,Jocelyn Noveck,"Nobody’s perfect, though Bobo may think she is. But in Venter’s performance, Davidtz has found something pretty close: a child actor who can carry an entire film and never seem like she’s acting.","Jul 9, 2025"
DON’T LET'S GO TO THE DOGS TONIGHT,2024,Embeth Davidtz,IndieWire,75,Ryan Lattanzio,"The grand takeaway is Venter’s astonishing turn. That kid’s got a future, and it began with a filmmaker who knew how to direct her: with patient energy while also encouraging the freedom to play and seek and explore as Bobo does within her little big world.","Jul 14, 2025"
DON’T LET'S GO TO THE DOGS TONIGHT,2024,Embeth Davidtz,RogerEbert.com,63,Peyton Robinson,"Don’t Let’s Go to the Dogs Tonight is inherently bound by its white perspective, but at the same time, it would simply be a different story if not through Bobo’s eyes.","Jul 11, 2025"
DON’T LET'S GO TO THE DOGS TONIGHT,2024,Embeth Davidtz,Collider,60,Anna Miller,"Don’t Let’s Go to the Dogs Tonight is a fascinating indie flick with enough pull to find its audience. Davidtz does well enough with her first feature, and the story, along with Venter’s incredible performance, is more than enough to pique the audience’s interest enough to perhaps pick up the memoir.","Sep 24, 2024"
DON’T LET'S GO TO THE DOGS TONIGHT,2024,Embeth Davidtz,Screen Daily,60,Robert Daniels,Don’t Let’s Go to the Dogs Tonight is the kind of bold swing with difficult material that does manage to earn your respect.,"Oct 9, 2024"
DON’T LET'S GO TO THE DOGS TONIGHT,2024,Embeth Davidtz,The New York Times,60,Natalia Winkelman,"Because she lacks a conception of colonialism, Davidtz sometimes struggles to negotiate the film’s fidelity to her point of view with a more complete picture of the war.","Jul 10, 2025"
