Title,Year,Director,Runtime,Series,Tags,Country,Meta,Link,Show,Description
YOUNG HEARTS,2024,Anthony Schatteman,99,New Releases & Restorations,"Now Playing, Exclusive",Belgium/Netherlands,In Dutch and French with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//young-hearts,YOUNG HEARTS,"14-year-old Elias feels attracted to his new teenage neighbor Alexander. Soon he realizes that he’s truly in love for the first time. The interactions with his friends and family bring more questions than answers. Confused by his burgeoning feelings, Elias tries to sort out his inner chaos to prove that he is worth Alexander’s heart. (Strand Releasing)"
LOVE HOTEL,1985,Shinji Somai,88,New Releases & Restorations,"Now Playing, 2K Digital Restoration",Japan,In Japanese with English subtitles | Format: 2K Digital Restoration,https://www.siskelfilmcenter.org//love-hotel,LOVE HOTEL,"In Shinji Sômai’s tale of two broken people, a call girl named Yumi and a grieving man named Tetsuro have a violent rendezvous in a cheap hotel. Years later, they meet again and begin a strange affair. An unnerving work of erotica, Sômai explores how two souls are intrinsically linked. With long takes and a sparing use of music, LOVE HOTEL is a haunting, voyeuristic viewing experience. As Ryusuke Hamaguchi (DRIVE MY CAR) declared, “For anyone who wants to see a movie that has the power to change and sustain your life, I urge you to see Sômai’s films.” Content consideration: contains scenes of sexual violence."
DOC10 SHORTS PROGRAM,2024,Various directors,112,Doc10,Post-Screening Discussion,USA/France/Mauritius/Germany/UK,In English and Creole and Chinese with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//doc10-shorts-program,DOC10 SHORTS PROGRAM,"The Doc10 Film Festival presents the Chicago premieres of eight acclaimed nonfiction short films, of all varieties and sizes: In HOW THE WEST WAS FUN (dirs. Sarah Garrahan, Sue Ding, 14 min., pictured), a diverse group of Wild West theme park visitors reimagine themselves in the American West; THE PEOPLE COULD FLY (Imani Dennison, 21 min.) is a poetic look at roller skating rinks as a sanctuary for the Black community; the lyrical, beautifully animated BLACK TIDE (dir. Kim Yip Tong, 14 min.) retells a 2020 ecological disaster off the coast of Mauritius; filmmaker Hao Zhou searches for reconciliation between their gender identity and their family’s beliefs in CORRECT ME IF I'M WRONG (21 min.); a lifelong hobby becomes both a lifeline and a pathway to Twitch fame in LIVESTREAMS WITH GRANDMAPUZZLES (dir. Emily Sheskin, 6 min.); NORMAN TEAGUE: LOVE REIGNS SUPREME (dir. Adewole Abioye, 16 min.) is a portrait of the acclaimed Chicago furniture maker and conceptual artist; MAN NUMBER 4 (dir. Miranda Pennell, 10 min.) is a provocative essay on what it means to look at images of war; and in SHANTI RIDES SHOTGUN (8 min.), Charles Frank follows New York City’s most iconic driving instructor."
REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,1972,Various directors,45,Chicago Palestine Film Festival,Encore Added,Palestine/USA,In English | Format: Digital,https://www.siskelfilmcenter.org//revolution-until-victory,REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,"Made by a breakaway faction of the US Newsreel collective Pacific Newsreel, REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE edits archival footage into a detailed, historical reconstruction of Palestinian history. Great attention is paid to the political genesis of Zionism, the refugee camps of the Middle East, the rise of the Palestinian Liberation Movement, and Israel's relationship to Western imperialism. Preceded by ABU SALMA (2024, dir. Asil Alwadiya, 7 min.), HIDE & SEEK (2024, dir. Rami Abbas, 8 min.), WHEN WEATHER PERMITS (2024, dir. Hareth Yousef, 10 min.), and SHATTERED MEMORY (2023, dir. Hayat Laban, 14 min.)."
DOC 10: THE INFILTRATORS,2019,"Cristina Ibarra, Alex Rivera",95,Doc10,Post-Screening Discussion,USA,In English and Spanish with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//doc-10-infiltrators,DOC 10: THE INFILTRATORS,"With ripped-from-the-headlines relevance, though set during the Obama years, THE INFILTRATORS chronicles the riveting, unbelievably true story of a group of activist Dreamers who slipped undercover into ICE detention centers to stop those inside from being deported. With a “formally daring” (Indiewire) mix of fiction and documentary, filmmakers Ibarra and Rivera track young Marco Saavedra as he gets himself arrested in order to save a Mexican father from getting thrown out of the country. Once inside the facility, Saavedra, along with another covert counterpart, Viridiana Martinez, expand their mission to give aid to a wide range of multinational immigrants—until ICE officials stumble onto their schemes. “Like watching a classic prison film” (The Boston Globe), THE INFILTRATORS is a “thrill…. In gripping fashion, Ibarra and Rivera maintain an effortless balance between genre-rooted entertainment and concern for real human suffering” (The Hollywood Reporter). Winner of the Audience Award and Innovator Award, 2019 Sundance Film Festival’s NEXT section."
KILLER OF SHEEP,1978,Charles Burnett,80,New Releases & Restorations,"Now Playing, 4K Digital Restoration",USA,In English | Format: 4K Digital Restoration,https://www.siskelfilmcenter.org//killer-sheep,KILLER OF SHEEP,"Charles Burnett’s landmark film, submitted as his UCLA Master’s thesis, is a quietly powerful exploration of Black working-class life in Los Angeles. Stan works at a slaughterhouse in Watts, labor he abhors. The burden of his work mirrors his strained marriage and the stress of the daily grind, causing Stan to question whether a better way of life is possible. Burnett’s minimalist style creates a deeply resonant portrait of hardship and resilience in a tough, unforgiving world. Of his first feature, Burnett explained, “You don’t necessarily win battles; you survive.” Restored and remastered by UCLA Film & Television Archive, Milestone Films, and the Criterion Collection. Restoration supervised by Ross Lipman and Jillian Borders in consultation with Charles Burnett."
AT THE RISK OF SEEMING RIDICULOUS,1994,Mary Patten,75,Conversations at the Edge,Artist Dialogue,USA,In English | Format: Digital,https://www.siskelfilmcenter.org//mary-patten,Mary Patten: AT THE RISK OF SEEMING RIDICULOUS,"The work of Chicago-based artist and activist Mary Patten operates between the realms of poetry and politics, posing expansive questions drawn from a life deeply engaged with social and political movements. In a program wryly titled after a truncated quote by Che Guevara, she presents a selection of readings and videos spanning from the mid-1990s to the present. These include video essays, diaries, and documentation of the fight against the AIDS epidemic, struggles to free political prisoners, and anti-imperialist movements. Often assembled from the fragments of everyday life—newspaper clippings, letters, snapshots, half-remembered conversations, found objects, and other ephemera—these works embody Patten’s project to face as well as fictionalize her “checkered biography” and its contradictory entanglements between the call to respond to political urgencies and the desire to live an “artist’s life.” Followed by a conversation with the artist."
"JANIN, JENIN",2024,Mohammad Bakri,60,Chicago Palestine Film Festival,"Filmmaker Q&A, Encore Added",Palestine,In English and Arabic with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//janin-jenin,"JANIN, JENIN","Building on his 2002 film JENIN, JENIN, Mohammad Bakri revisits the Jenin refugee camp, reflecting on the devastation caused by Israel’s 2023 invasion. Divided into four parts, JANIN, JENIN reveals the personal toll of continuous conflict and challenges audiences to consider the deeper, human implications of enduring political struggle. Preceded by $17.74 (2024, dir. Justin Mashouf, 13 min.) and UPSHOT (2024, dir. Maha El Haj, 34 min.). The Saturday, April 26, 7:00 p.m. presentation will include a filmmaker Q&A."
MAGIC FARM,2025,Amalia Ulman,93,New Releases & Restorations,"Opens 5/2, Director In Attendance",USA/Argentina,In English and Spanish and French with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//magic-farm,MAGIC FARM,"In Amalia Ulman’s (EL PLANETA) sophomore feature, a disorganized American television crew for a show that chronicles bizarre cultural trends heads to Argentina to find a rabbit-suit-wearing musician. When they arrive and realize they are in the wrong country, they decide to fabricate a new story using the locals as their subjects. As the crew, led by show host Edna (Chloë Sevigny), fumble their way through their plan, unexpected connections blossom. MAGIC FARM is a hilariously biting commentary on ethnographic exploitation, with Ulman cleverly reminding the audience that try as they might to integrate, Edna and her crew are just tourists. Siskel Film Center exclusive. Dialogue: Q&A with director Amalia Ulman following the Friday, May 2, 6:00PM screening and Saturday, May 3, 6:00PM screening."
DOC10: 2000 METERS TO ANDRIIVKA,2025,Mstyslav Chernov,107,Doc10,Post-Screening Discussion,Ukraine,In English and Ukrainian with English subtitles | Format: Digital,https://www.siskelfilmcenter.org//doc10-2000-meters-andriivka,DOC10: 2000 METERS TO ANDRIIVKA,"As enthralling and haunting as war cinema classics ALL QUIET ON THE WESTERN FRONT and APOCALYPSE NOW, the new film from the Oscar-winning director of 20 DAYS IN MARIUPOL plunges the viewer into the trenches of Eastern Ukraine. It is 2023. Amid Ukraine’s brutalizing counteroffensive, the film follows Ukrainian platoons as they traverse a thin corridor of decimated forest, fighting for every inch of their land and creeping ever closer—2000 meters, 1000 meters, 500 meters—to retake the town of Andriivka. Mstyslav Chernov skillfully balances heart-stopping helmet-cam combat footage with profoundly intimate moments with the soldiers, revealing their vulnerability and humanity. Still as timely as ever, with stakes that couldn’t be higher for the Ukrainian people, or for Chernov himself. Winner of a Sundance Directing Award, 2000 METERS TO ANDRIIKVA is “gut wrenching” (Toronto Star), “pensively devastating” (Variety), and “the most unbearably intense war documentary you’ll ever see” (The Daily Beast)"
