Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
MAGIC FARM,2025,Amalia Ulman,2025-05-02 18:00:00-05:00,2025-05-02,18:00:00
LOVE HOTEL,1985,Shinji Somai,2025-05-02 18:15:00-05:00,2025-05-02,18:15:00
LOVE HOTEL,1985,Shinji Somai,2025-05-02 20:15:00-05:00,2025-05-02,20:15:00
MAGIC FARM,2025,Amalia Ulman,2025-05-02 20:30:00-05:00,2025-05-02,20:30:00
YOUNG HEARTS,2024,Anthony Schatteman,2025-05-03 12:45:00-05:00,2025-05-03,12:45:00
MAGIC FARM,2025,Amalia Ulman,2025-05-03 13:00:00-05:00,2025-05-03,13:00:00
LOVE HOTEL,1985,Shinji Somai,2025-05-03 15:00:00-05:00,2025-05-03,15:00:00
MAGIC FARM,2025,Amalia Ulman,2025-05-03 15:15:00-05:00,2025-05-03,15:15:00
YOUNG HEARTS,2024,Anthony Schatteman,2025-05-03 17:15:00-05:00,2025-05-03,17:15:00
MAGIC FARM,2025,Amalia Ulman,2025-05-03 18:00:00-05:00,2025-05-03,18:00:00
LOVE HOTEL,1985,Shinji Somai,2025-05-03 19:45:00-05:00,2025-05-03,19:45:00
MAGIC FARM,2025,Amalia Ulman,2025-05-03 20:30:00-05:00,2025-05-03,20:30:00
DOC10: 2000 METERS TO ANDRIIVKA,2025,Mstyslav Chernov,2025-05-04 13:30:00-05:00,2025-05-04,13:30:00
MAGIC FARM,2025,Amalia Ulman,2025-05-04 14:00:00-05:00,2025-05-04,14:00:00
DOC10: MISTRESS DISPELLER,2024,Elizabeth Lo,2025-05-04 16:00:00-05:00,2025-05-04,16:00:00
MAGIC FARM,2025,Amalia Ulman,2025-05-04 16:15:00-05:00,2025-05-04,16:15:00
YOUNG HEARTS,2024,Anthony Schatteman,2025-05-04 18:30:00-05:00,2025-05-04,18:30:00
MAGIC FARM,2025,Amalia Ulman,2025-05-04 18:45:00-05:00,2025-05-04,18:45:00
LOVE HOTEL,1985,Shinji Somai,2025-05-05 18:00:00-05:00,2025-05-05,18:00:00
MAGIC FARM,2025,Amalia Ulman,2025-05-05 18:15:00-05:00,2025-05-05,18:15:00
YOUNG HEARTS,2024,Anthony Schatteman,2025-05-05 20:15:00-05:00,2025-05-05,20:15:00
MAGIC FARM,2025,Amalia Ulman,2025-05-05 20:30:00-05:00,2025-05-05,20:30:00
FORGETTING VIETNAM,2016,Trinh T. Minh-ha,2025-05-06 18:00:00-05:00,2025-05-06,18:00:00
MAGIC FARM,2025,Amalia Ulman,2025-05-06 18:15:00-05:00,2025-05-06,18:15:00
MAGIC FARM,2025,Amalia Ulman,2025-05-06 20:30:00-05:00,2025-05-06,20:30:00
MAGIC FARM,2025,Amalia Ulman,2025-05-07 17:45:00-05:00,2025-05-07,17:45:00
"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-07 18:00:00-05:00,2025-05-07,18:00:00
MAGIC FARM,2025,Amalia Ulman,2025-05-07 20:15:00-05:00,2025-05-07,20:15:00
"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-07 20:30:00-05:00,2025-05-07,20:30:00
"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-08 18:00:00-05:00,2025-05-08,18:00:00
MAGIC FARM,2025,Amalia Ulman,2025-05-08 18:15:00-05:00,2025-05-08,18:15:00
"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-08 20:15:00-05:00,2025-05-08,20:15:00
MAGIC FARM,2025,Amalia Ulman,2025-05-08 20:30:00-05:00,2025-05-08,20:30:00
LILLY,2024,Rachel Feldman,2025-05-09 17:45:00-05:00,2025-05-09,17:45:00
"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-09 18:00:00-05:00,2025-05-09,18:00:00
APRIL,2025,Dea Kulumbegashvili,2025-05-09 19:45:00-05:00,2025-05-09,19:45:00
"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-09 20:15:00-05:00,2025-05-09,20:15:00
"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-10 11:00:00-05:00,2025-05-10,11:00:00
LILLY,2024,Rachel Feldman,2025-05-10 11:30:00-05:00,2025-05-10,11:30:00
"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-10 13:15:00-05:00,2025-05-10,13:15:00
APRIL,2025,Dea Kulumbegashvili,2025-05-10 13:30:00-05:00,2025-05-10,13:30:00
"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-10 15:30:00-05:00,2025-05-10,15:30:00
LILLY,2024,Rachel Feldman,2025-05-10 16:15:00-05:00,2025-05-10,16:15:00
"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-10 17:45:00-05:00,2025-05-10,17:45:00
LILLY,2024,Rachel Feldman,2025-05-10 18:15:00-05:00,2025-05-10,18:15:00
