,Title,Year,Director,Showtime
0,GRAND TOUR,2024,Miguel Gomes,2025-04-18T22:45:00+00:00
1,KILLER OF SHEEP,1978,Charles Burnett,2025-04-18T23:00:00+00:00
2,A FIDAI FILM,2024,Kamal Aljafari,2025-04-19T01:00:00+00:00
3,KILLER OF SHEEP,1978,Charles Burnett,2025-04-19T01:30:00+00:00
4,KILLER OF SHEEP,1978,Charles Burnett,2025-04-19T17:30:00+00:00
5,THE PALESTINE EXCEPTION,2024,"Jan Haaken, Jennifer Ruth",2025-04-19T18:00:00+00:00
6,GRAND TOUR,2024,Miguel Gomes,2025-04-19T19:30:00+00:00
7,KILLER OF SHEEP,1978,Charles Burnett,2025-04-19T21:00:00+00:00
8,GRAND TOUR,2024,Miguel Gomes,2025-04-19T22:15:00+00:00
9,YALLA PARKOUR,2025,Areeb Zuaiter,2025-04-19T23:00:00+00:00
10,KILLER OF SHEEP,1978,Charles Burnett,2025-04-20T01:00:00+00:00
11,KILLER OF SHEEP,1978,Charles Burnett,2025-04-20T17:00:00+00:00
12,GRAND TOUR,2024,Miguel Gomes,2025-04-20T17:15:00+00:00
13,GRAND TOUR,2024,Miguel Gomes,2025-04-20T19:30:00+00:00
14,KILLER OF SHEEP,1978,Charles Burnett,2025-04-20T20:00:00+00:00
15,GRAND TOUR,2024,Miguel Gomes,2025-04-20T22:00:00+00:00
16,KILLER OF SHEEP,1978,Charles Burnett,2025-04-20T22:15:00+00:00
17,KILLER OF SHEEP,1978,Charles Burnett,2025-04-21T22:45:00+00:00
18,BONA,1980,Lino Brocka,2025-04-21T23:00:00+00:00
19,GRAND TOUR,2024,Miguel Gomes,2025-04-22T00:45:00+00:00
20,KILLER OF SHEEP,1978,Charles Burnett,2025-04-22T01:15:00+00:00
21,KILLER OF SHEEP,1978,Charles Burnett,2025-04-22T22:45:00+00:00
22,BOWLING FOR COLUMBINE,2002,Michael Moore,2025-04-22T23:00:00+00:00
23,GRAND TOUR,2024,Miguel Gomes,2025-04-23T00:45:00+00:00
24,KILLER OF SHEEP,1978,Charles Burnett,2025-04-23T22:45:00+00:00
25,SPACES OF EXCEPTION,2023,"Matt Peterson, Malek Rasamny",2025-04-23T23:00:00+00:00
26,GRAND TOUR,2024,Miguel Gomes,2025-04-24T00:45:00+00:00
27,KILLER OF SHEEP,1978,Charles Burnett,2025-04-24T01:30:00+00:00
28,KILLER OF SHEEP,1978,Charles Burnett,2025-04-24T22:45:00+00:00
29,ROUNDABOUT,2025,Various directors,2025-04-24T23:00:00+00:00
30,GRAND TOUR,2024,Miguel Gomes,2025-04-25T00:45:00+00:00
31,KILLER OF SHEEP,1978,Charles Burnett,2025-04-25T01:30:00+00:00
32,LOVE HOTEL,1985,Shinji Somai,2025-04-25T23:00:00+00:00
33,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-25T23:15:00+00:00
34,TO A LAND UNKNOWN,2024,Mahdi Fleifel,2025-04-26T01:00:00+00:00
35,LOVE HOTEL,1985,Shinji Somai,2025-04-26T01:30:00+00:00
36,LOVE HOTEL,1985,Shinji Somai,2025-04-26T17:00:00+00:00
37,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-26T17:30:00+00:00
38,THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-04-26T19:00:00+00:00
39,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-26T19:45:00+00:00
40,KILLER OF SHEEP,1978,Charles Burnett,2025-04-26T22:30:00+00:00
41,"JANIN, JENIN",2024,Mohammad Bakri,2025-04-27T00:00:00+00:00
42,LOVE HOTEL,1985,Shinji Somai,2025-04-27T00:30:00+00:00
43,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-27T17:00:00+00:00
44,LOVE HOTEL,1985,Shinji Somai,2025-04-27T17:30:00+00:00
45,THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-04-27T19:00:00+00:00
46,LOVE HOTEL,1985,Shinji Somai,2025-04-27T19:30:00+00:00
47,DOC10 SHORTS PROGRAM,2024,Various directors,2025-04-27T22:00:00+00:00
48,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-27T22:30:00+00:00
49,REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,1972,Various directors,2025-04-28T23:00:00+00:00
50,LOVE HOTEL,1985,Shinji Somai,2025-04-28T23:15:00+00:00
51,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-29T01:15:00+00:00
52,LOVE HOTEL,1985,Shinji Somai,2025-04-29T01:30:00+00:00
53,DOC 10: THE INFILTRATORS,2019,"Cristina Ibarra, Alex Rivera",2025-04-29T23:00:00+00:00
54,KILLER OF SHEEP,1978,Charles Burnett,2025-04-29T23:15:00+00:00
55,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-30T01:15:00+00:00
56,LOVE HOTEL,1985,Shinji Somai,2025-04-30T01:30:00+00:00
57,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-30T23:00:00+00:00
58,LOVE HOTEL,1985,Shinji Somai,2025-04-30T23:15:00+00:00
59,KILLER OF SHEEP,1978,Charles Burnett,2025-05-01T01:15:00+00:00
60,LOVE HOTEL,1985,Shinji Somai,2025-05-01T01:30:00+00:00
61,AT THE RISK OF SEEMING RIDICULOUS,1994,Mary Patten,2025-05-01T23:00:00+00:00
62,LOVE HOTEL,1985,Shinji Somai,2025-05-01T23:15:00+00:00
63,YOUNG HEARTS,2024,Anthony Schatteman,2025-05-02T01:15:00+00:00
64,"JANIN, JENIN",2024,Mohammad Bakri,2025-05-02T01:30:00+00:00
65,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-27T17:00:00+00:00
66,LOVE HOTEL,1985,Shinji Somai,2025-04-27T17:30:00+00:00
67,THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-04-27T19:00:00+00:00
68,LOVE HOTEL,1985,Shinji Somai,2025-04-27T19:30:00+00:00
69,DOC10 SHORTS PROGRAM,2024,Various directors,2025-04-27T22:00:00+00:00
70,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-27T22:30:00+00:00
71,REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,1972,Various directors,2025-04-28T23:00:00+00:00
72,LOVE HOTEL,1985,Shinji Somai,2025-04-28T23:15:00+00:00
73,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-29T01:15:00+00:00
74,LOVE HOTEL,1985,Shinji Somai,2025-04-29T01:30:00+00:00
75,DOC 10: THE INFILTRATORS,2019,"Cristina Ibarra, Alex Rivera",2025-04-29T23:00:00+00:00
76,KILLER OF SHEEP,1978,Charles Burnett,2025-04-29T23:15:00+00:00
77,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-30T01:15:00+00:00
78,LOVE HOTEL,1985,Shinji Somai,2025-04-30T01:30:00+00:00
79,YOUNG HEARTS,2024,Anthony Schatteman,2025-04-30T23:00:00+00:00
80,LOVE HOTEL,1985,Shinji Somai,2025-04-30T23:15:00+00:00
81,KILLER OF SHEEP,1978,Charles Burnett,2025-05-01T01:15:00+00:00
82,LOVE HOTEL,1985,Shinji Somai,2025-05-01T01:30:00+00:00
83,AT THE RISK OF SEEMING RIDICULOUS,1994,Mary Patten,2025-05-01T23:00:00+00:00
84,LOVE HOTEL,1985,Shinji Somai,2025-05-01T23:15:00+00:00
85,YOUNG HEARTS,2024,Anthony Schatteman,2025-05-02T01:15:00+00:00
86,"JANIN, JENIN",2024,Mohammad Bakri,2025-05-02T01:30:00+00:00
87,DOC10: 2000 METERS TO ANDRIIVKA,2025,Mstyslav Chernov,2025-05-04T18:30:00+00:00
88,DOC10: MISTRESS DISPELLER,2024,Elizabeth Lo,2025-05-04T21:00:00+00:00
89,FORGETTING VIETNAM,2016,Trinh T. Minh-ha,2025-05-06T23:00:00+00:00
90,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-07T23:00:00+00:00
91,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-08T01:30:00+00:00
92,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-08T23:00:00+00:00
93,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-09T01:15:00+00:00
94,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-09T23:00:00+00:00
95,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-10T01:15:00+00:00
96,"SAIC FILM, VIDEO, NEW MEDIA, ANIMATION, AND SOUND FESTIVAL",2025,Various directors,2025-05-10T16:00:00+00:00
