Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
GODZILLA MINUS ONE,2023,Takashi Yamazaki,2025-04-01 18:00:00,2025-04-01,18:00:00
MISERICORDIA,2024,Alain Guiraudie,2025-04-01 18:15:00,2025-04-01,18:15:00
MISERICORDIA,2024,Alain Guiraudie,2025-04-01 20:30:00,2025-04-01,20:30:00
MISERICORDIA,2024,Alain Guiraudie,2025-04-02 18:00:00,2025-04-02,18:00:00
MISERICORDIA,2024,Alain Guiraudie,2025-04-02 20:15:00,2025-04-02,20:15:00
JULIE KEEPS QUIET,2024,Leonardo Van Dijl,2025-04-02 18:15:00,2025-04-02,18:15:00
JULIE KEEPS QUIET,2024,Leonardo Van Dijl,2025-04-02 20:30:00,2025-04-02,20:30:00
FIRST REFORMED,2018,Paul Schrader,2025-04-03 18:00:00,2025-04-03,18:00:00
MISERICORDIA,2024,Alain Guiraudie,2025-04-03 18:15:00,2025-04-03,18:15:00
MISERICORDIA,2024,Alain Guiraudie,2025-04-03 20:15:00,2025-04-03,20:15:00
JULIE KEEPS QUIET,2024,Leonardo Van Dijl,2025-04-03 20:30:00,2025-04-03,20:30:00
MISERICORDIA,2024,Alain Guiraudie,2025-04-04 17:45:00,2025-04-04,17:45:00
LATE SPRING,1949,Yasujiro Ozu,2025-04-04 18:00:00,2025-04-04,18:00:00
ERIC LARUE,2025,Michael Shannon,2025-04-04 20:00:00,2025-04-04,20:00:00
VIET AND NAM,2024,Truong Minh Quy,2025-04-04 20:15:00,2025-04-04,20:15:00
VIET AND NAM,2024,Truong Minh Quy,2025-04-05 11:30:00,2025-04-05,11:30:00
VIET AND NAM,2024,Truong Minh Quy,2025-04-05 20:00:00,2025-04-05,20:00:00
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,Paul Schrader,2025-04-05 12:00:00,2025-04-05,12:00:00
ERIC LARUE,2025,Michael Shannon,2025-04-05 14:00:00,2025-04-05,14:00:00
AMERICAN GIGOLO,1980,Paul Schrader,2025-04-05 14:30:00,2025-04-05,14:30:00
AN EVENING WITH PAUL SCHRADER,,,2025-04-05 19:00:00,2025-04-05,19:00:00
VIET AND NAM,2024,Truong Minh Quy,2025-04-06 12:00:00,2025-04-06,12:00:00
VIET AND NAM,2024,Truong Minh Quy,2025-04-06 17:15:00,2025-04-06,17:15:00
ERIC LARUE,2025,Michael Shannon,2025-04-06 12:15:00,2025-04-06,12:15:00
ERIC LARUE,2025,Michael Shannon,2025-04-06 14:45:00,2025-04-06,14:45:00
MISERICORDIA,2024,Alain Guiraudie,2025-04-06 15:00:00,2025-04-06,15:00:00
MISERICORDIA,2024,Alain Guiraudie,2025-04-06 17:30:00,2025-04-06,17:30:00
ERIC LARUE,2025,Michael Shannon,2025-04-07 17:45:00,2025-04-07,17:45:00
ERIC LARUE,2025,Michael Shannon,2025-04-07 20:30:00,2025-04-07,20:30:00
DRUMMING AND DUBBING WITH ALEE PEOPLES,,,2025-04-07 18:00:00,2025-04-07,18:00:00
VIET AND NAM,2024,Truong Minh Quy,2025-04-07 20:00:00,2025-04-07,20:00:00
ERIC LARUE,2025,Michael Shannon,2025-04-08 17:45:00,2025-04-08,17:45:00
HIROSHIMA MON AMOUR,1959,Alain Resnais,2025-04-08 18:00:00,2025-04-08,18:00:00
VIET AND NAM,2024,Truong Minh Quy,2025-04-08 20:00:00,2025-04-08,20:00:00
I AM A COMEDIAN,2022,Fumiari Hyuga,2025-04-09 17:00:00,2025-04-09,17:00:00
VIET AND NAM,2024,Truong Minh Quy,2025-04-09 17:45:00,2025-04-09,17:45:00
MISERICORDIA,2024,Alain Guiraudie,2025-04-09 20:15:00,2025-04-09,20:15:00
ERIC LARUE,2025,Michael Shannon,2025-04-09 20:30:00,2025-04-09,20:30:00
MISERICORDIA,2024,Alain Guiraudie,2025-04-10 17:45:00,2025-04-10,17:45:00
AURA SATZ: PREEMPTIVE LISTENING,,,2025-04-10 18:00:00,2025-04-10,18:00:00
VIET AND NAM,2024,Truong Minh Quy,2025-04-10 20:00:00,2025-04-10,20:00:00
