,Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
0,GRAND TOUR,2024,Miguel Gomes,2025-04-18 17:45:00-05:00,2025-04-18,17:45:00
1,KILLER OF SHEEP,1978,Charles Burnett,2025-04-18 18:00:00-05:00,2025-04-18,18:00:00
2,A FIDAI FILM,2024,Kamal Aljafari,2025-04-18 20:00:00-05:00,2025-04-18,20:00:00
3,KILLER OF SHEEP,1978,Charles Burnett,2025-04-18 20:30:00-05:00,2025-04-18,20:30:00
4,KILLER OF SHEEP,1978,Charles Burnett,2025-04-19 12:30:00-05:00,2025-04-19,12:30:00
5,THE PALESTINE EXCEPTION,2024,"Jan Haaken, Jennifer Ruth",2025-04-19 13:00:00-05:00,2025-04-19,13:00:00
6,GRAND TOUR,2024,Miguel Gomes,2025-04-19 14:30:00-05:00,2025-04-19,14:30:00
7,KILLER OF SHEEP,1978,Charles Burnett,2025-04-19 16:00:00-05:00,2025-04-19,16:00:00
8,GRAND TOUR,2024,Miguel Gomes,2025-04-19 17:15:00-05:00,2025-04-19,17:15:00
9,YALLA PARKOUR,2025,Areeb Zuaiter,2025-04-19 18:00:00-05:00,2025-04-19,18:00:00
10,KILLER OF SHEEP,1978,Charles Burnett,2025-04-19 20:00:00-05:00,2025-04-19,20:00:00
11,KILLER OF SHEEP,1978,Charles Burnett,2025-04-20 12:00:00-05:00,2025-04-20,12:00:00
12,GRAND TOUR,2024,Miguel Gomes,2025-04-20 12:15:00-05:00,2025-04-20,12:15:00
13,GRAND TOUR,2024,Miguel Gomes,2025-04-20 14:30:00-05:00,2025-04-20,14:30:00
14,KILLER OF SHEEP,1978,Charles Burnett,2025-04-20 15:00:00-05:00,2025-04-20,15:00:00
15,GRAND TOUR,2024,Miguel Gomes,2025-04-20 17:00:00-05:00,2025-04-20,17:00:00
16,KILLER OF SHEEP,1978,Charles Burnett,2025-04-20 17:15:00-05:00,2025-04-20,17:15:00
17,KILLER OF SHEEP,1978,Charles Burnett,2025-04-21 17:45:00-05:00,2025-04-21,17:45:00
18,BONA,1980,Lino Brocka,2025-04-21 18:00:00-05:00,2025-04-21,18:00:00
19,GRAND TOUR,2024,Miguel Gomes,2025-04-21 19:45:00-05:00,2025-04-21,19:45:00
20,KILLER OF SHEEP,1978,Charles Burnett,2025-04-21 20:15:00-05:00,2025-04-21,20:15:00
21,KILLER OF SHEEP,1978,Charles Burnett,2025-04-22 17:45:00-05:00,2025-04-22,17:45:00
