Title,Year,Director,Showtime
GRAND TOUR,2024,Miguel Gomes,2025-04-18T17:45:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-18T18:00:00-05:00
A FIDAI FILM,2024,Kamal Aljafari,2025-04-18T20:00:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-18T20:30:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-19T12:30:00-05:00
THE PALESTINE EXCEPTION,2024,"Jan Haaken, Jennifer Ruth",2025-04-19T13:00:00-05:00
GRAND TOUR,2024,Miguel Gomes,2025-04-19T14:30:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-19T16:00:00-05:00
GRAND TOUR,2024,Miguel Gomes,2025-04-19T17:15:00-05:00
YALLA PARKOUR,2025,Areeb Zuaiter,2025-04-19T18:00:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-19T20:00:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-20T12:00:00-05:00
GRAND TOUR,2024,Miguel Gomes,2025-04-20T12:15:00-05:00
GRAND TOUR,2024,Miguel Gomes,2025-04-20T14:30:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-20T15:00:00-05:00
GRAND TOUR,2024,Miguel Gomes,2025-04-20T17:00:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-20T17:15:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-21T17:45:00-05:00
BONA,1980,Lino Brocka,2025-04-21T18:00:00-05:00
GRAND TOUR,2024,Miguel Gomes,2025-04-21T19:45:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-21T20:15:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-22T17:45:00-05:00
BOWLING FOR COLUMBINE,2002,Michael Moore,2025-04-22T18:00:00-05:00
GRAND TOUR,2024,Miguel Gomes,2025-04-22T19:45:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-23T17:45:00-05:00
SPACES OF EXCEPTION,2023,"Matt Peterson, Malek Rasamny",2025-04-23T18:00:00-05:00
GRAND TOUR,2024,Miguel Gomes,2025-04-23T19:45:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-23T20:30:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-24T17:45:00-05:00
ROUNDABOUT,2025,Various directors,2025-04-24T18:00:00-05:00
GRAND TOUR,2024,Miguel Gomes,2025-04-24T19:45:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-24T20:30:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-04-25T18:00:00-05:00
YOUNG HEARTS,2024,Anthony Schatteman,2025-04-25T18:15:00-05:00
TO A LAND UNKNOWN,2024,Mahdi Fleifel,2025-04-25T20:00:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-04-25T20:30:00-05:00
LOVE HOTEL,1985,Shinji Somai,2025-04-26T12:00:00-05:00
YOUNG HEARTS,2024,Anthony Schatteman,2025-04-26T12:30:00-05:00
THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-04-26T14:00:00-05:00
YOUNG HEARTS,2024,Anthony Schatteman,2025-04-26T14:45:00-05:00
KILLER OF SHEEP,1978,Charles Burnett,2025-04-26T17:30:00-05:00
