Title,Year,Publication,Score,Critic,Snippet,Date Written
Secret Mall Apartment,2025,RogerEbert.com,88,Matt Zoller Seitz,"This is a delightful, thought-provoking movie that’s about a lot of things at the same time. It’ll make you see the world with fresh eyes, and probably wonder why there isn’t more art in it.","Mar 21, 2025"
Secret Mall Apartment,2025,Collider,70,Luna Guthrie,There is a simplistic charm to the movie that captures the strange in-between times of the early 2000s.,"Mar 20, 2025"
Secret Mall Apartment,2025,New York Magazine (Vulture),70,Bilge Ebiri,"These are the intriguing ideas at work in Secret Mall Apartment, but the film works as a movie thanks to the sly way it’s been put together.","Mar 21, 2025"
Misericordia,2025,The Playlist,100,Ankit Jhunjhunwala,"This is rigorous filmmaking of the highest order, controlled and precise to the exclusion of anything extraneous —evidenced by its taut 100-minute runtime.","May 27, 2024"
Misericordia,2025,The Film Stage,91,Leonardo Goi,"For all its morbid undertones and philosophical ruminations, Misericordia is neither a dirge nor a lofty symposium. Strange as it may be to say for a story that begins with a burial and then shatters after a heinous death, this is a supremely and surprisingly funny film, where humor gradually accrues a subversiveness not unlike desire’s own.","May 27, 2024"
Misericordia,2025,IndieWire,91,Ryan Lattanzio,What a miracle of a movie.,"Mar 21, 2025"
Misericordia,2025,Variety,90,Jessica Kiang,"Instead it’s a slippery, changeable parable about a particularly amoral cuckoo looking to feather a new nest.","May 27, 2024"
Misericordia,2025,The Daily Beast,88,Nick Schager,"A superb thriller that employs common genre devices for a canny and caustic rumination on right and wrong, love and lust, virtue and vice.","Mar 18, 2025"
Misericordia,2025,RogerEbert.com,88,Simon Abrams,"It’s not a hard movie to follow or fall for, as fans of Guiraudie’s earlier movies already know. He commands our attention even when his characters are either too ridiculous or too petty to be taken seriously.","Mar 21, 2025"
Misericordia,2025,Screen Daily,80,Jonathan Romney,"This might suggest that Misericordia is ultimately a film with a message, and a more solemn one than we’re used to with Guiraudie. But any apparent clarity should be taken with a pinch of salt, the film’s meanings shifting as constantly as the erotic drives between the various male (and occasionally female) characters.","May 27, 2024"
Misericordia,2025,Collider,80,Jeff Ewing,It's a strong and highly watchable thriller that shouldn't be missed.,"Mar 20, 2025"
Misericordia,2025,Los Angeles Times,80,Joshua Rothkopf,"This isn’t the kind of puzzle thriller in which all the elements click into place with a thudding literalism that compliments an attentive eye. It’s one that accommodates the vagaries of human behavior, leaving punishment aside as a secondary concern.","Mar 21, 2025"
Misericordia,2025,Slant Magazine,75,Brad Hanford,"Misericordia finds Alain Guiraudie revisiting old standbys under a relatively conventional set of aesthetic strategies. Fortunately, the ideas roiling under the former wildman’s newly placid surfaces are as potent as ever.","Sep 10, 2024"
Misericordia,2025,The A.V. Club,75,Ignatiy Vishnevetsky,"While it lacks the surrealistic and fairy-tale elements that distinguish many of Guiraudie’s films (among them Sunshine For The Poor, Time Has Come, and Staying Vertical), Misericordia is nonetheless pervaded by a casual dreaminess and a disregard for the strictures of realism that leads in some (intentionally) silly directions.","Mar 20, 2025"
Misericordia,2025,The Hollywood Reporter,70,Jordan Mintzer,"The two movies don’t always crystallize into one, and if you’re looking for a credible crime thriller in which everyone behaves logically, Misericordia may not be for you. If, on the other hand, you’re looking for an exploration of repressed sexual desire and religious hypocrisy in backwoods France, Guiraudie’s strange and sober new film does the trick.","May 27, 2024"
Misericordia,2025,The New York Times,70,Wesley Morris,"Misericordia is film noir with the lights turned on. Even when its characters are working your nerves, it tickles. Guiraudie is playing those nerves like a harp.","Mar 20, 2025"
Misericordia,2025,Wall Street Journal,70,Zachary Barnes,"By its end, “Misericordia” emerges as a drama by turns chilling and absurd, with some of its twists daring us toward incredulity. Yet Mr. Guiraudie’s mix of mischief-making and straight-faced conviction keeps us continuously unsettled, and continuously curious.","Mar 20, 2025"
Misericordia,2025,Paste Magazine,68,Jim Vorel,"At times arrestingly suspenseful, at others bitterly funny, but often inert in its transitions, Misericordia is an occasionally confounding mixed bag, but one that stands out for the realistic recriminations of a place where grievances run deep and mercy comes with strings attached.","Mar 21, 2025"
Black Bag,2025,The Independent,100,Clarisse Loughrey,"While the supporting cast are impeccable across the board, it’s really Blanchett and Fassbender’s film to command, with performances that drip with old-school star power.","Mar 6, 2025"
Black Bag,2025,The Seattle Times,100,Katie Walsh,"Black Bag may be rooted in the mind, but it is inextricably connected to the heart, especially in matters of love and trust, betrayal and murder. That’s what makes a Soderbergh genre exercise such a deliciously satisfying cinematic morsel: It is pure fun, but also deeply layered with larger existential themes, making for a delightful romantic spy drama that cannot be missed.","Mar 12, 2025"
Black Bag,2025,New York Magazine (Vulture),100,Angelica Jade Bastien,"Black Bag is a tremendous example that a film need not be making an explicit political point or obsessed with the political dimensions of its narrative to be worthwhile cinema. A work can rise to this present moment by offering us rapture. This, too, is what movies are meant to accomplish.","Mar 14, 2025"
Black Bag,2025,The New Yorker,100,Justin Chang,"Soderbergh and Koepp, for their part, express their own fervent belief: in the seductive glamour of espionage and the magnetism of Blanchett’s and Fassbender’s interlocking gazes—which is to say, in the enveloping artifice and power of movies. Great is their faithfulness indeed.","Mar 14, 2025"
Black Bag,2025,RogerEbert.com,100,Monica Castillo,"The result is absolutely delicious, a svelte piece of entertainment that feels like a vintage yarn yet very much represents our own current anxieties, questions of sustaining trust in relationships and high-stake careers.","Mar 14, 2025"
Black Bag,2025,The Film Stage,91,Jordan Raup,Seeing how Soderbergh and Koepp can expertly stack the deck to always be one step before the viewer is an exhilarating thrill to behold.,"Mar 6, 2025"
Black Bag,2025,Original-Cin,91,Jim Slotek,"There are not many films on the release schedule with good writing and plotting, wit and solid acting. That’s an exceptional combination in a quick bite of the spy movie genre.","Mar 13, 2025"
Black Bag,2025,The Playlist,91,Carlos Aguilar,"Taut yet thoroughly laced with levity, Black Bag plays like the filmic equivalent of a skillfully executed espionage mission in how tight and exact it feels.","Mar 14, 2025"
