Title,Year,Link,Metascore,Summary,Directors,Writers,Release Date,Runtime
If Beale Street Could Talk,2018,/movie/if-beale-street-could-talk/,0.87,"Set in early-1970s Harlem, If Beale Street Could Talk is a timeless and moving love story of both a couple's unbreakable bond and the African-American family's empowering embrace, as told through the eyes of 19-year old Tish Rivers (KiKi Layne).  A daughter and wife-to-be, Tish vividly recalls the passion, respect and trust that have con...",Barry Jenkins,"Barry Jenkins, James Baldwin",2018-12-14,119
Mad Max: Fury Road,2015,/movie/mad-max-fury-road/,0.9,"In the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and everyone is fighting for the necessities of life, there are two rebels who just might be able to restore order—Max (Tom Hardy), a man of action and few words, who seeks peace of mind following the loss of his wife and child in the aftermath o...",George Miller,"George Miller, Brendan McCarthy, Nick Lathouris",2015-05-15,120
Babygirl,2024,/movie/babygirl-2024/,0.79,A high-powered CEO (Nicole Kidman) puts her career and family on the line when she begins a torrid affair with her much younger intern (Harris Dickinson).,Halina Reijn,Halina Reijn,2024-12-25,114
Inside the Yellow Cocoon Shell,2023,/movie/inside-the-yellow-cocoon-shell/,0.94,"After a car accident claims the life of his sister-in-law and leaves his 5-year-old nephew an orphan, a thirtysomething man named Thien (Le Phong Vu) leaves Saigon for a trip back to his rural hometown. During his meditative, wandering visit, Thien wrestles with his own agnosticism in the face of others’ religious beliefs, summons memori...",Thien An Pham,Thien An Pham,2024-01-19,178
Nosferatu,2024,/movie/nosferatu-2024/,0.78,"Robert Eggers’ Nosferatu is a gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",Robert Eggers,"Robert Eggers, Henrik Galeen, Bram Stoker",2024-12-25,132
The Seed of the Sacred Fig,2024,/movie/the-seed-of-the-sacred-fig/,0.84,"Investigating judge Iman grapples with paranoia amid political unrest in Tehran. When his gun vanishes, he suspects his wife and daughters, imposing draconian measures that strain family ties as societal rules crumble.",Mohammad Rasoulof,Mohammad Rasoulof,2024-11-27,168
Saltburn,2023,/movie/saltburn/,0.61,"Struggling to find his place at Oxford University, student Oliver Quick (Barry Keoghan) finds himself drawn into the world of the charming and aristocratic Felix Catton (Jacob Elordi), who invites him to Saltburn, his eccentric family’s sprawling estate.",Emerald Fennell,Emerald Fennell,2023-11-17,127
Spider-Man: Into the Spider-Verse,2018,/movie/spider-man-into-the-spider-verse/,0.87,"Spider-Man: Into the Spider-Verse introduces Brooklyn teen Miles Morales, and the limitless possibilities of the Spider-Verse, where more than one can wear the mask.","Bob Persichetti, Peter Ramsey, Rodney Rothman","Phil Lord, Rodney Rothman",2018-12-14,117
Adaptation,2002,/movie/adaptation/,0.83,"The lives of screenwriter Charlie Kaufman (Cage), author Susan Orlean (Streep) and orchid poacher John Laroche (Cooper) become strangely intertwined as each one's search for passion collides with the others' in this adaptation of the best-selling ""The Orchid Thief."" [Columbia Pictures]",Spike Jonze,"Susan Orlean, Charlie Kaufman",2002-12-06,114
The Mighty Ducks,1992,/movie/the-mighty-ducks/,0.46,A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.,Stephen Herek,Steven Brill,1992-10-02,100
The Next Karate Kid,1994,/movie/the-next-karate-kid/,0.36,Mr. Miyagi is back and he takes a new pupil under his wing; a troubled adolescent girl.,Christopher Cain,"Robert Mark Kamen, Mark Lee",1994-09-09,107
Harry and the Hendersons,1987,/movie/harry-and-the-hendersons/,0.42,"Returning from a hunting trip in the forest, the Henderson family's car hits an animal in the road. When they examine the body, they find it's a Bigfoot. Thinking it might be dead, they decide to take it home.  But when the Bigfoot wakes up, it turns out he is far from the ferocious monster they feared.  He's a friendly giant. In their a...",William Dear,"William Dear, Bill Martin, Ezra D. Rappaport",1987-06-05,110
Kindergarten Cop,1990,/movie/kindergarten-cop/,0.61,"An undercover cop must pose as a kindergarten teacher in order to catch a dangerous criminal. Once he wrangles his young charges, as well as the affections of a beautiful teacher, he prepares for a final showdown with his intended prey in this action-comedy. (Universal Studios)",Ivan Reitman,"Murray Salem, Herschel Weingrod, Timothy Harris",1990-12-21,111
The Addams Family,1991,/movie/the-addams-family/,0.57,Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.,Barry Sonnenfeld,"Charles Addams, Caroline Thompson, Larry Wilson",1991-11-22,99
The Santa Clause,1994,/movie/the-santa-clause/,0.57,"Superstar comedian Tim Allen shines bright in Disney's magical, larger-than-life hit holiday comedy.  (Disney)",John Pasquin,"Leo Benvenuti, Steve Rudnick",1994-11-11,97
Father of the Bride,1991,/movie/father-of-the-bride/,0.51,"In this update of the Hollywood classic, George Banks, the befuddled father who has a hard time letting go of his young daughter when she unexpectedly announces her plans to wed. Tickling funnybones, this entertaining treat chronicles George's hysterical trials and tribulations leading up to the big event. Father of the Bride promises to...",Charles Shyer,"Frances Goodrich, Albert Hackett, Nancy Meyers, Charles Shyer",1991-12-20,105
Terms of Endearment,1983,/movie/terms-of-endearment/,0.79,Following the mother-daughter relationship of Aurora Greenway (MacLaine) who doesn't like it when her daughter Emma (Winger) marries Flap (Daniels).,James L. Brooks,"Larry McMurtry, James L. Brooks",1983-11-23,132
Spanglish,2004,/movie/spanglish/,0.48,"A look at cultures colliding, as a beautiful native Mexican woman (Vega) becomes the housekeeper for an affluent Los Angeles family (Sandler, Leoni). Of all the horrifying pitfalls she worried about in this new culture, she never fathomed the peril of being truly embraced by an upscale American family.  (Sony)",James L. Brooks,James L. Brooks,2004-12-17,131
Ghost,1990,/movie/ghost/,0.52,Patrick Swayze plays a ghost who teams with a psychic (Goldberg) to uncover the truth behind his murder - and to rescue his sweetheart (Moore) from a similar fate. (Paramount Pictures),Jerry Zucker,Bruce Joel Rubin,1990-07-13,127
La Chimera,2023,/movie/la-chimera/,0.91,"Everyone has their own Chimera, something they try to achieve but never manage to find. For the band of tombaroli, thieves of ancient grave goods and archaeological wonders, the Chimera means redemption from work and the dream of easy wealth. For Arthur, the Chimera looks like the woman he lost, Beniamina. To find her, Arthur challenges ...",Alice Rohrwacher,"Alice Rohrwacher, Carmela Covino, Marco Pettenello",2024-03-29,130
Eyes Wide Shut,1999,/movie/eyes-wide-shut/,0.69,"A doctor (Tom Cruise) becomes obsessed with having a sexual experience after his wife, Alice (Nicole Kidman), confesses to having fantasies about a random servicemen she briefly encountered over a year ago.",Stanley Kubrick,"Stanley Kubrick, Frederic Raphael, Arthur Schnitzler",1999-07-16,159
Janet Planet,2023,/movie/janet-planet/,0.83,"In rural Western Massachusetts, 11-year-old Lacy spends the summer of 1991 at home, enthralled by her own imagination and the attention of her mother, Janet. As the months pass, three visitors enter their orbit, all captivated by Janet and her spellbinding nature. In her solitary moments, Lacy inhabits an inner world so extraordinarily d...",Annie Baker,Annie Baker,2024-06-21,113
Small Things Like These,2024,/movie/small-things-like-these/,0.82,"It is 1985 in the run-up to Christmas in a small town in County Wexford, Ireland. Bill Furlong (Cillian Murphy) toils as a coal merchant to support himself, his wife and his five daughters. Early one morning while out delivering coal at the local convent, he makes a discovery that forces him to confront his past and the complicit silence...",Tim Mielants,"Enda Walsh, Claire Keegan",2024-11-08,96
The Beast,2023,/movie/the-beast-2023/,0.8,"The year is 2044: artificial intelligence controls all facets of a stoic society as humans routinely “erase” their feelings. Hoping to eliminate pain caused by their past-life romances, Gabrielle (Léa Seydoux) continually falls in love with different incarnations of Louis (George MacKay). Set first in Belle Époque-era Paris Louis is a Br...",Bertrand Bonello,"Bertrand Bonello, Benjamin Charbit, Guillaume Bréaud, Henry James",2024-04-05,146
Conclave,2024,/movie/conclave/,0.79,Conclave follows one of the world’s most secretive and ancient events – selecting a new Pope. Cardinal Lawrence (Ralph Fiennes) is tasked with running this covert process after the unexpected death of the beloved Pope. Once the Catholic Church’s most powerful leaders have gathered from around the world and are locked together in the Vati...,Edward Berger,"Peter Straughan, Robert Harris",2024-10-25,120
Tangerine,2015,/movie/tangerine/,0.86,"It's Christmas Eve in Tinseltown and Sin-Dee (newcomer Kitana Kiki Rodriguez) is back on the block. Upon hearing that her pimp boyfriend (James Ransone, STARLET, ""Generation Kill"") hasn't been faithful during the 28 days she was locked up, the working girl and her best friend, Alexandra (newcomer Mya Taylor), embark on a mission to get t...",Sean Baker,"Sean Baker, Chris Bergoch",2015-07-10,88
La Cocina,2024,/movie/la-cocina/,0.74,"It is the lunchtime rush at The Grill, a New York tourist trap that serves thousands of customers on a regular Friday like today. Money has gone missing from the till and all the workers are being questioned. Most of them are illegal immigrants and they struggle to defend their job, their only rightful place in the world, as they prepare...",Alonso Ruizpalacios,"Alonso Ruizpalacios, Arnold Wesker",2024-10-25,139
Bird,2024,/movie/bird-2024/,0.74,12-year-old Bailey (Nykiya Adams) lives with her single dad Bug (Barry Keoghan) and brother Hunter (Jason Buda) in a squat in North Kent. Bug doesn’t have much time for his kids and Bailey who is approaching puberty seeks attention and adventure elsewhere.,Andrea Arnold,Andrea Arnold,2024-11-08,119
