Title,Year,Link,Metascore,Summary,Directors,Writers,Release Date,Runtime
I'M STILL HERE,2024,/movie/im-still-here-2024/,0.85,"Brazil, 1971: a country in the tightening grip of a military dictatorship. A mother is forced to reinvent herself when her family’s life is shattered by an act of arbitrary violence. Based on Marcelo Rubens Paiva's best-selling memoir.",Walter Salles,"Murilo Hauser, Heitor Lorega, Marcelo Rubens Paiva",2025-01-17,136
DOMESTIC VIOLENCE,2001,/movie/domestic-violence/,0.85,This documentary by Frederick Wiseman profiles residents of a Tampa shelter for battered women.,Frederick Wiseman,,2002-01-30,196
DOMESTIC VIOLENCE 2,2002,/movie/domestic-violence/,0.85,This documentary by Frederick Wiseman profiles residents of a Tampa shelter for battered women.,Frederick Wiseman,,2002-01-30,196
THE ROOM NEXT DOOR,2024,/movie/the-room-next-door/,0.7,"Ingrid (Julianne Moore) and Martha (Tilda Swinton) were close friends in their youth, when they worked together at the same magazine. Ingrid went on to become an autofiction novelist while Martha became a war reporter, and they were separated by the circumstances of life. After years of being out of touch, they meet again in an extreme b...",Pedro Almodóvar,"Pedro Almodóvar, Sigrid Nunez",2024-12-20,110
WALTZ WITH BASHIR,2008,/movie/waltz-with-bashir/,0.91,"One night at a bar, an old friend tells director Ari about a recurring nightmare in which he is chased by 26 vicious dogs. Every night, the same number of beasts. The two men conclude that there’s a connection to their Israeli Army mission in the first Lebanon War of the early eighties. Ari is surprised that he can’t remember a thing any...",Ari Folman,Ari Folman,2008-12-25,90
TIME PASSAGES,2024,/movie/time-passages/,,"A filmmaker ""time travels"" via his family archive as his mother's health declines from dementia, racing against the clock to resolve his fraught relationship to family and nation when COVID strikes her nursing home.",Kyle Henry,Kyle Henry,2025-01-31,86
THE SACRIFICE,1986,/movie/the-sacrifice/,0.85,"As a wealthy Swedish family celebrates the birthday of their patriarch Alexander (Erland Josephson), news of the outbreak of World War III reaches their remote Baltic island — and the happy mood turns to horror. The family descends into a state of psychological devastation, brilliantly evoked by Tarkovsky's arresting palette of luminous ...",Andrei Tarkovsky,Andrei Tarkovsky,1986-11-05,149
CLOSE UP,1990,/movie/close-up/,0.92,"This fiction-documentary hybrid uses a real-life sensational event - a young man arrested on charges that he fraudulently impersonated well-known filmmaker Mohsen Makhmalbaf - as the basis for a stunning, multi-layered investigation into movies, identity, artistic creation, and life itself. With its universal themes and fascinating narra...",Abbas Kiarostami,Abbas Kiarostami,1999-12-31,98
CHILDREN OF HEAVEN,1997,/movie/children-of-heaven/,0.77,"When Ali loses his sister Zahra's school shoes, this young pair dream up a plan to stay out of trouble: they'll share his shoes and keep it a secret from their parents. But if they're going to successfully cover their tracks, Ali and Zahra must carefully watch their step on what rapidly turns into a funny and heartwarming adventure.",Majid Majidi,Majid Majidi,1999-01-22,89
PERSEPOLIS,2007,/movie/persepolis/,0.9,"Persepolis is the poignant story of a young girl in Iran during the Islamic Revolution. It is through the eyes of the precocious and outspoken 9-year-old Marjane that we see a people's hopes dashed as fundamentalists take power--forcing the veil on women and imprisoning thousands. Clever and fearless, Marjane outsmarts the ""social guardi...","Vincent Paronnaud, Marjane Satrapi","Marjane Satrapi, Vincent Paronnaud",2007-12-25,96
A SEPARATION,2011,/movie/a-separation/,0.95,"Set in contemporary Iran, A Separation is a compelling drama about the dissolution of a marriage. Simin wants to leave Iran with her husband Nader and daughter Termeh. Simin sues for divorce when Nader refuses to leave behind his Alzheimer-suffering father. Her request having failed, Simin returns to her parents' home, but Termeh decides...",Asghar Farhadi,Asghar Farhadi,2011-12-30,123
MANUSCRIPTS DON’T BURN,2014,/movie/manuscripts-dont-burn/,0.88,"Clandestinely produced in disavowal of a 20-year filmmaking ban passed down by the Iranian authorities, the scathing Manuscripts Don’t Burn brings a whole new level of clarity and audacity to Mohommad Rasoulof’s already laudable career. Drawing from the true story of the government’s attempted 1995 murder of several prominent writers and...",Mohammad Rasoulof,Mohammad Rasoulof,2014-06-13,125
NO MAN'S LAND,2001,/movie/no-mans-land/,0.84,"Ciki and Nino, a Bosnian and a Serb, are soldiers stranded in No Man's Land -- a trench between enemy lines during the Bosnian war. They have no one to trust, no way to escape without getting shot, and a fellow soldier is lying on the trench floor with a spring-loaded bomb set to explode beneath him if he moves. The absurdity of their si...",Danis Tanovic,Danis Tanovic,2001-12-07,98
A GIRL WALKS HOME ALONE AT NIGHT,2014,/movie/a-girl-walks-home-alone-at-night/,0.81,"In the Iranian ghost-town Bad City, a place that reeks of death and loneliness, the townspeople are unaware they are being stalked by a lonesome vampire.",Ana Lily Amirpour,Ana Lily Amirpour,2014-11-21,99
TAXI,2015,/movie/jafar-panahis-taxi/,0.91,"Director Jafar Panahi drives a yellow cab through the vibrant streets of Tehran, picking up a diverse group of passengers in a single day. Each man, woman, and child candidly expresses his or her own view of the world, while being interviewed by the curious and gracious driver/director. His camera, placed on the dashboard of his mobile f...",Jafar Panahi,Jafar Panahi,2015-10-02,82
STARLESS DREAMS,2017,/movie/starless-dreams/,0.85,"Starless Dreams plunges us into the lives of young teenage girls sharing temporary quarters at a juvenile detention center on the outskirts of Tehran. Director Mehrdad Oskouei, one of Iran’s most prominent filmmakers, spent seven years securing access to this all-female facility. As the New Year approaches, the girls bond, and reveal—wit...",Mehrdad Oskouei,Mehrdad Oskouei,2017-01-20,76
HIT THE ROAD,2021,/movie/hit-the-road/,0.91,"A family of four – two middle-aged parents and their sons, one a taciturn adult, the other an ebullient six-year-old – drive across the Iranian countryside. Over the course of the trip, they bond over memories of the past, grapple with fears of the unknown, and fuss over their sick dog.",Panah Panahi,Panah Panahi,2022-04-22,93
ARMAND,2024,/movie/armand/,0.61,"When defamed actress Elisabeth (Renate Reinsve) is abruptly called into a parent-teacher meeting after hours, she is presented with scathing allegations that trigger a tangled web of accusations between parents and faculty. As Elisabeth struggles to uncover the truth amid the empty school rooms and dark corridors, a chaotic fight for red...",Halfdan Ullmann Tøndel,Halfdan Ullmann Tøndel,2025-02-07,116
RASHOMON,1950,/movie/rashomon/,0.98,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",Akira Kurosawa,"Ryûnosuke Akutagawa, Akira Kurosawa, Shinobu Hashimoto",1951-12-26,88
ETERNAL SUNSHINE OF THE SPOTLESS MIND,2004,/movie/eternal-sunshine-of-the-spotless-mind/,0.89,"Joel (Carrey) is stunned to discover that his girlfriend Clementine (Winslet) has had her memories of their tumultuous relationship erased.  Out of desperation, he contacts the inventor of the process, Dr. Howard Mierzwiak (Wilkinson), to have Clementine removed from his own memory.  But as Joel's memories progressively disappear, he beg...",Michel Gondry,"Charlie Kaufman, Michel Gondry, Pierre Bismuth",2004-03-19,108
UNCLE BOONMEE WHO CAN RECALL HIS PAST LIVES,2010,/movie/uncle-boonmee-who-can-recall-his-past-lives/,0.87,"Suffering from acute kidney failure, Uncle Boonmee has chosen to spend his final days surrounded by his loved ones in the countryside. Surprisingly, the ghost of his deceased wife appears to care for him, and his long lost son returns home in a non-human form. Contemplating the reasons for his illness, Boonmee treks through the jungle wi...",Apichatpong Weerasethakul,"Phra Sripariyattiweti, Apichatpong Weerasethakul",2011-03-04,114
