Title,Year,Link,Metascore,Summary,Directors,Writers,Release Date,Runtime
TANGERINE,2015,/movie/tangerine/,0.86,"It's Christmas Eve in Tinseltown and Sin-Dee (newcomer Kitana Kiki Rodriguez) is back on the block. Upon hearing that her pimp boyfriend (James Ransone, STARLET, ""Generation Kill"") hasn't been faithful during the 28 days she was locked up, the working girl and her best friend, Alexandra (newcomer Mya Taylor), embark on a mission to get t...",Sean Baker,"Sean Baker, Chris Bergoch",2015-07-10,88
TAKE SHELTER,2011,/movie/take-shelter/,0.85,"Curtis LaForche lives in a small town in Ohio with his wife, Samantha, and daughter, Hannah, a six-year-old deaf girl. When Curtis begins to have terrifying dreams, he keeps the visions to himself, channeling his anxiety into obsessively building a storm shelter in his backyard. His seemingly inexplicable behavior concerns and confounds ...",Jeff Nichols,Jeff Nichols,2011-09-30,120
UNIVERSAL LANGUAGE,2024,/movie/universal-language/,0.84,"In a mysterious and surreal interzone somewhere between Tehran and Winnipeg, the lives of multiple characters interweave with each other in surprising and mysterious ways. Gradeschoolers Negin and Nazgol find a sum of money frozen in the winter ice and try to claim it. Meanwhile, Massoud leads a group of increasingly-befuddled tourists t...",Matthew Rankin,"Ila Firouzabadi, Pirouz Nemati, Matthew Rankin",2025-02-14,89
COLUMBUS,2017,/movie/columbus/,0.89,"When a renowned architecture scholar falls suddenly ill during a speaking tour, his son Jin (John Cho) finds himself stranded in Columbus, Indiana - a small Midwestern city celebrated for its many significant modernist buildings. Jin strikes up a friendship with Casey (Haley Lu Richardson), a young architecture enthusiast who works at th...",Kogonada,Kogonada,2017-08-04,100
"GOOD BYE, LENIN!",2003,/movie/goodbye-lenin!/,0.68,"A human story of the reunification not only of an entire nation, but of a family living in East Berlin.  (Sony Pictures Classics)",Wolfgang Becker,"Bernd Lichtenberg, Achim von Borries, Henk Handloegten, Chris Silber, Wolfgang Becker",2004-02-27,121
ON BECOMING A GUINEA FOWL,2024,/movie/on-becoming-a-guinea-fowl/,0.87,"On an empty road in the middle of the night, Shula stumbles across the body of her uncle. As funeral proceedings begin around them, she and her cousins bring to light the buried secrets of their middle-class Zambian family.",Rungano Nyoni,Rungano Nyoni,2025-03-07,95
A WOMAN IS A WOMAN,1961,/movie/a-woman-is-a-woman/,0.71,"[Originally released in France in 1961; first U.S. release in 2003.] Angela, an afternoon stripper in the sleazy Zodiac Club, yearns for motherhood ""just because,"" but live-in boyfriend Jean-Claude Brialy ""isn't ready yet,"" though hanger-on Jean-Paul Belmondo is more than happy to help out. (Film Forum)",Jean-Luc Godard,"Jean-Luc Godard, Geneviève Cluny",2003-05-16,84
SEVEN VEILS,2025,/movie/seven-veils/,0.62,"After years away, theater director Jeanine (Amanda Seyfried) re-enters the opera world to stage her former mentor’s most famous work. Haunted by dark and disturbing memories from her past, Jeanine allows her repressed trauma to color the present as her personal and professional lives begin to unravel.",Atom Egoyan,Atom Egoyan,2025-03-07,107
UNDER THE VOLCANO,2024,/movie/under-the-volcano-2024/,,"A blended Ukrainian family spends the last day of their vacation in Tenerife, Spain. When Russia's invasion of Ukraine strands them on the island, they must contend with isolation, duty, fear - and each other.",Damian Kocur,"Damian Kocur, Marta Konarzewska",,105
EUROPA EUROPA,1990,/movie/europa-europa/,0.75,"A boy in Nazi Germany, trying to conceal that he is Jewish, joins the Hitler Youth.",Agnieszka Holland,"Agnieszka Holland, Solomon Perel",1991-05-09,112
THREE COLORS: BLUE,1993,/movie/three-colors-blue/,0.87,"In the devastating first film of the Three Colors trilogy, Juliette Binoche gives a tour de force performance as Julie, a woman reeling from the tragic death of her husband and young daughter. But Blue is more than just a blistering study of grief it’s also a tale of liberation, as Julie attempts to free herself from the past while confr...",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland, Edward Zebrowski, Slawomir Idziak",1993-09-03,98
INCENDIES,2010,/movie/incendies/,0.8,"When notary Lebel sits down with Jeanne and Simon Marwan to read them their mother Nawal’s will, the twins are stunned to receive a pair of envelopes – one for  the father they thought was dead and another for a brother they didn’t know existed.  In this enigmatic inheritance, Jeanne sees the key to Nawal’s retreat into unexplained silen...",Denis Villeneuve,"Wajdi Mouawad, Denis Villeneuve, Valérie Beaugrand-Champagne",2011-04-22,130
THREE COLORS: WHITE,1994,/movie/three-colors-white/,0.91,"The most playful and also the grittiest of Kieslowski’s Three Colors films follows the adventures of Karol Karol (Zbigniew Zamachowski), a Polish immigrant living in France. The hapless hairdresser opts to leave Paris for his native Warsaw when his wife (Julie Delpy) sues him for divorce (her reason: their marriage was never consummated)...",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland, Edward Zebrowski, Edward Klosinski, Marcin Latallo",1994-06-10,91
THREE COLORS: RED,1994,/movie/three-colors-red/,1.0,"Krzysztof Kieslowski closes his Three Colors trilogy in grand fashion, with an incandescent meditation on fate and chance, starring Irène Jacob as a sweet-souled yet somber runway model in Geneva whose life dramatically intersects with that of a bitter retired judge, played by Jean-Louis Trintignant. Meanwhile, just down the street, a se...",Krzysztof Kieslowski,"Krzysztof Kieslowski, Krzysztof Piesiewicz, Agnieszka Holland, Edward Zebrowski, Edward Klosinski, Marcin Latallo",1994-11-23,99
EO,2022,/movie/eo/,0.85,"The world is a mysterious place when seen through the eyes of an animal. EO, a grey donkey with melancholic eyes, meets good and bad people on his life’s path, experiences joy and pain, endures the wheel of fortune randomly turn his luck into disaster and his despair into unexpected bliss. But not even for a moment does he lose his innoc...",Jerzy Skolimowski,"Ewa Piaskowska, Jerzy Skolimowski",2022-11-18,86
