,Title,Year,Runtime,Format,Director,Writer,Cast
0,EIGHT MEN OUT,1988,119,35mm,John Sayles,"Eliot Asinof, John Sayles","John Cusack, Clifton James, Jace Alexander"
1,ON BECOMING A GUINEA FOWL,2024,99,DCP,Rungano Nyoni,Rungano Nyoni,"Susan Chardy, Elizabeth Chisela, Henry B.J. Phiri"
2,EEPHUS,2024,98,DCP,Carson Lund,"Michael Basta, Nate Fisher, Carson Lund","Keith William Richards, Bill ""Spaceman"" Lee, Wayne Diamond"
3,RETURN OF THE LIVING DEAD II,1988,89,35mm,Ken Wiederhorn,Ken Wiederhorn,"James Karen, Thom Mathews, Michael Kenworthy"
4,NOT IF I SEE YOU FIRST,2025,71,DCP,Aaron Wertheimer,Aaron Wertheimer,"Kenny Zimlinghaus, Aaron Wertheimer, Johanna Wertheimer, Elizabeth Stam"
5,THEY CALL HER DEATH,2024,92,DCP,Austin Snell,Austin Snell,"Sheri Rippel, Jeff Boyer, Dané Shobe"
6,FEMALE TROUBLE,1974,89,35mm,John Waters,John Waters,"Divine, David Lochary, Mary Vivian Pearce"
7,BRIGHT STAR,2007,119,35mm,Jane Campion,"Jane Campion, Andrew Motion","Abbie Cornish, Ben Whishaw, Paul Schneider"
8,THE ROOM,2003,99,35mm,Tommy Wiseau,Tommy Wiseau,"Tommy Wiseau, Juliette Danielle, Greg Sestero"
9,THE IRON GIANT,1999,90,35mm,Brad Bird,"Tim McCanlies (screenplay), Brad Bird (screen story by)","Jennifer Aniston, Harry Connick Jr., Vin Diesel, John Mahoney"
10,ART SPIEGELMAN: DISASTER IS MY MUSE,2024,100,DCP,"Molly Bernstein, Philip Dolin",,"Françoise Mouly, Art Spiegelman, R. Crumb"
11,JOINT SECURITY AREA,2000,110,DCP,Park Chan-wook,"Park Chan-wook, Kim Hyun-seok, Seong-san Jeong","Lee Yeong-ae, Lee Byung-hun, Song Kang-ho"
12,STACEY AND MICHAEL'S SHOWCASE OF SHORTS IX,2025,71,DCP,,,
13,SOUND OF SILENT FILM FESTIVAL 2025,2025,90,DCP,,,
14,THE BALLAD OF WALLIS ISLAND,2025,100,DCP,James Griffiths,"Tom Basden, Tim Key","Tom Basden, Tim Key, Carey Mulligan"
15,BELLY,1998,96,35mm,Hype Williams,"Anthony Bodden, Nas, Hype Williams","DMX, Nas, Hassan Johnson, Taral Hicks, Tionne 'T-Boz' Watkins"
16,GREASE,1978,105,DCP,Randal Kleiser,"Jim Jacobs, Warren Casey","John Travolta, Olivia Newton-John, Stockard Channing"
