Title,Release Year,Director
I'M STILL HERE,2024,Walter Salles
THE HOUSE: 6 POINTS OF DEPARTURE AND THIS IS NOT A HOUSE,2024,
"BELFAST, MAINE",1999,Frederick Wiseman
THE PAVILION ON THE WATER,2023,Silvia Siberini
SITTING STILL,2024,Gina Angelone
STARDUST: THE STORY OF ROBERT VENTURI AND DENISE SCOTT BROWN,2024,Jim Venturi
LIVING TOGETHER: THE STORY OF DE WARREN,2023,Sam van Zoest
DOMESTIC VIOLENCE,2001,Frederick Wiseman
GREEN OVER GRAY: EMILIO AMBASZ,2024,Mattia Colombo
DOMESTIC VIOLENCE 2,2002,Frederick Wiseman
THE LAST LETTER,2002,Frederick Wiseman
THE ROOM NEXT DOOR,2024,Pedro Almodóvar
WALTZ WITH BASHIR,2008,Ari Folman
STATE LEGISLATURE,2007,Frederick Wiseman
VAN GOGH: POETS & LOVERS,2024,David Bickerstaff
TIME PASSAGES,2024,Kyle Henry
THE SACRIFICE,1986,Andrei Tarkovsky
CLOSE UP,1990,Abbas Kiarostami
LEILA,1999,Dariush Mehrjui
CHILDREN OF HEAVEN,1997,Majid Majidi
PERSEPOLIS,2007,Vincent Paronnaud
A SEPARATION,2011,Asghar Farhadi
MANUSCRIPTS DON’T BURN,2014,Mohammad Rasoulof
NO MAN'S LAND,2001,Danis Tanovic
A GIRL WALKS HOME ALONE AT NIGHT,2014,Ana Lily Amirpour
TAXI,2015,Jafar Panahi
BEST OF BLACK HARVEST,2024,Various
STARLESS DREAMS,2017,Mehrdad Oskouei
HIT THE ROAD,2021,Panah Panahi
ARMAND,2024,Halfdan Ullmann Tøndel
RASHÔMON,1950,Akira Kurosawa
ETERNAL SUNSHINE OF THE SPOTLESS MIND,2004,Michel Gondry
UNCLE BOONMEE WHO CAN RECALL HIS PAST LIVES,2010,Apichatpong Weerasethakul
"DISTANT VOICES, STILL LIVES",1988,Terence Davies
MEMENTO,2000,Christopher Nolan
WILD STRAWBERRIES,1957,Ingmar Bergman
MIRROR,1975,Andrei Tarkovsky
LAST YEAR AT MARIENBAD,1961,Alain Resnais
THE MAN WITHOUT A PAST,2002,Aki Kaurismäki
AMERICAN SNIPER,2014,Clint Eastwood
UNIVERSAL LANGUAGE,2024,Matthew Rankin
VERTIGO,1958,Alfred Hitchcock
