Title,Release Year,Runtime,Director
OSCAR NOMINATED ANIMATED SHORTS,2025,,
TANGERINE,2015,88.0,Sean Baker
PATHER PANCHALI,1955,125.0,Satyajit Ray
TAKE SHELTER,2011,120.0,Jeff Nichols
UNIVERSAL LANGUAGE,2024,89.0,Matthew Rankin
COLUMBUS,2017,100.0,Kogonada
"GOOD BYE, LENIN!",2003,121.0,Wolfgang Becker
ON BECOMING A GUINEA FOWL,2024,99.0,Rungano Nyoni
A WOMAN IS A WOMAN,1961,84.0,Jean-Luc Godard
WHITE COURAGE,2024,115.0,Marcin Koszalka
SEVEN VEILS,2025,107.0,Atom Egoyan
SHATTERED GAMES,2024,,Marek Bukowski
THE LOVE BUZZ,2024,100.0,Maciej Migas
SIMONA KOSSAK,2024,100.0,Adrian Panek
THE A(A) TEAM,2024,132.0,Daniel Jaroszek
UNDER THE VOLCANO,2024,105.0,Damian Kocur
EUROPA EUROPA,1990,112.0,Agnieszka Holland
THREE COLORS: BLUE,1993,98.0,Krzysztof Kieslowski
ASHES AND DIAMONDS,1958,103.0,Andrzej Wajda
INCENDIES,2010,131.0,Denis Villeneuve
THREE COLORS: WHITE,1994,92.0,Krzysztof Kieslowski
WOMAN OF,2024,132.0,Michal Englert
THREE COLORS: RED,1994,99.0,Krzysztof Kieslowski
IDENTIFICATION MARKS: NONE,1965,73.0,Jerzy Skolimowski
EO,2022,86.0,Jerzy Skolimowski
IT'S NOT MY FILM,2024,99.0,Maria Zbaska
KULEJ. ALL THAT GLITTERS ISN’T GOLD,2024,148.0,Xawery Zulawski
UNDER THE GREY SKY,2024,81.0,Mara Tamkovich
ERIC LARUE,2025,119.0,Michael Shannon
3000 NIGHTS,2015,103.0,Mai Masri
MINGHUN,2024,94.0,Jan P. Matuszynski
A REAL PAIN,2024,90.0,Jesse Eisenberg
SPARROW,2024,106.0,Tomasz Gassowski
YOU BURN ME,2024,64.0,Matías Piñeiro
THE ANNIHILATION OF FISH,1999,108.0,Charles Burnett
BLUE COLLAR,1978,114.0,Paul Schrader
THE FOUNTAIN,2006,97.0,Darren Aronofsky
INSOMNIA,1997,96.0,Erik Skjoldbjærg
HARDCORE,1979,108.0,Paul Schrader
THE CONFORMIST,1970,108.0,Bernardo Bertolucci
PICKPOCKET,1959,76.0,Robert Bresson
HUNGER,2008,96.0,Steve McQueen
POLICE STORY,1985,100.0,Jackie Chan
AMERICAN GIGOLO,1980,117.0,Paul Schrader
JULIE KEEPS QUIET,2024,100.0,Leonardo Van Dijl
RED DESERT,1964,117.0,Michelangelo Antonioni
MISERICORDIA,2024,102.0,Alain Guiraudie
CAT PEOPLE,1982,118.0,Paul Schrader
DR. STRANGELOVE,2025,180.0,Sean Foley
MISHIMA: A LIFE IN FOUR CHAPTERS,1985,120.0,Paul Schrader
LIGHT SLEEPER,1992,103.0,Paul Schrader
GODZILLA MINUS ONE,2023,124.0,Takashi Yamazaki
FIRST REFORMED,2018,113.0,Paul Schrader
LATE SPRING,1949,108.0,Yasujiro Ozu
HIROSHIMA MON AMOUR,1959,92.0,Alain Resnais
I AM A COMEDIAN,2022,108.0,Fumiari Hyuga
A STATE OF PASSION,2024,93.0,Muna Khalidi
THE MISSING PICTURE,2013,92.0,Rithy Panh
REVOLUTION UNTIL VICTORY AKA WE ARE THE PALESTINIAN PEOPLE,1972,45.0,
A FIDAI FILM,2024,78.0,Kamal Aljafari
YALLA PARKOUR,2024,87.0,Areeb Zuaiter
BONA,1980,82.0,Lino Brocka
BOWLING FOR COLUMBINE,2002,120.0,Michael Moore
SPACES OF EXCEPTION,2019,85.0,Malek Rasamny
TO A LAND UNKNOWN,2025,105.0,Mahdi Fleifel
THE IMPORTANCE OF BEING EARNEST,2025,180.0,Max Webster
"JANIN, JENIN",2024,60.0,Mohammad Bakri
THE LAST DAUGHTER,,90.0,Nathaniel Schmidt
THE PROMISE,,84.0,Leonardo Antonio Avezzano
THE PALESTINE EXCEPTION,,70.0,Jennifer Ruth
