Movie_ID,Title,Year,Rating,IMDB_Score,RT_Score,MetaC_Score,Ebert_Score,anyAwesome
6,Only the River Flows,2023,GREAT,0.67,0.84,0.7,,0
7,Pokemon Detective Pikachu,2019,,0.65,0.68,0.53,,0
8,Good One,2024,AWESOME,0.71,0.98,0.87,,1
9,Sing Sing,2023,GREAT,0.82,0.98,0.84,4.0,0
10,The Nature of Love,2023,GREAT,0.7,0.92,0.8,4.0,0
11,Oddity,2024,GREAT,0.68,0.96,0.78,3.5,0
12,Challengers,2024,GREAT,0.72,0.88,0.82,3.5,0
13,Furiosa: A Mad Max Saga,2024,AWESOME,0.75,0.9,0.79,4.0,1
14,Polite Society,2023,GREAT,0.66,0.91,0.75,3.5,0
15,On the Count of Three,2021,,0.7,0.85,0.74,4.0,0
16,The Piano,1993,AWESOME,0.75,0.9,0.89,4.0,1
17,Jackass Forever,2022,,0.68,0.85,0.74,4.0,0
18,Happening,2021,PRETTY AWESOME,0.74,0.99,0.86,4.0,1
19,Asteroid City,2023,GREAT,0.65,0.76,0.74,4.0,0
20,Petite Maman,2021,AWESOME,0.74,0.97,0.93,4.0,1
21,They Cloned Tyrone,2023,GREAT,0.66,0.95,0.74,3.0,0
22,Civil War,2024,AWESOME,0.71,0.81,0.75,4.0,1
23,Goodfellas,1990,PRETTY AWESOME,0.87,0.95,0.92,4.0,1
24,All Dirt Roads Taste of Salt,2023,GREAT,0.58,0.9,0.85,3.5,0
25,The Wonderful Story of Henry Sugar,2023,GREAT,0.74,0.95,0.85,4.0,0
26,Frances Ha,2012,AWESOME,0.74,0.92,0.82,2.5,1
27,Love Lies Bleeding,2024,PRETTY AWESOME,0.67,0.94,0.77,3.5,1
28,Outlaw Johnny Black,2023,,0.55,0.65,0.54,2.5,0
29,Monica,2022,PRETTY AWESOME,0.63,0.84,0.74,4.0,1
30,The Unbearable Weight of Massive Talent,2022,PRETTY AWESOME,0.7,0.87,0.68,3.5,1
31,No Hard Feelings,2023,GREAT,0.64,0.7,0.59,2.0,0
32,The Zone of Interest,2023,PRETTY AWESOME,0.74,0.93,0.98,4.0,1
33,Society of the Snow,2023,,0.78,0.9,0.72,3.0,0
34,El Conde,2023,,0.64,0.82,0.72,3.5,0
57,Saltburn,2023,PRETTY AWESOME,0.7,0.72,0.61,3.0,1
58,Spider-Man: Into the Spider-Verse,2018,PRETTY AWESOME,0.84,0.97,0.87,3.5,1
59,Adaptation,2002,,0.77,0.9,0.83,4.0,0
60,The Mighty Ducks,1992,,0.66,0.23,0.46,2.0,0
61,The Next Karate Kid,1994,,0.45,0.07,0.36,,0
62,Harry and the Hendersons,1987,,0.61,0.45,0.42,,0
63,Kindergarten Cop,1990,,0.62,0.54,0.61,3.0,0
64,Air Bud,1997,,0.53,0.48,,3.0,0
65,The Addams Family,1991,,0.69,0.67,0.57,2.0,0
66,The Santa Clause,1994,,0.66,0.73,0.57,2.5,0
67,Father of the Bride,1991,,0.66,0.7,0.51,3.0,0
68,Terms of Endearment,1983,,0.74,0.82,0.79,4.0,0
69,Spanglish,2004,,0.64,0.54,0.48,3.0,0
70,Ghost,1990,,0.71,0.75,0.52,2.5,0
71,The Teachers' Lounge,2023,AWESOME,0.75,0.96,0.82,3.5,1
72,All of Us Strangers,2023,AWESOME,0.77,0.96,0.9,3.5,1
73,Casablanca,1942,GREAT,0.85,0.99,1.0,4.0,0
74,May December,2023,AWESOME,0.68,0.91,0.81,4.0,1
75,Anatomy of a Fall,2023,PRETTY AWESOME,0.77,0.96,0.89,3.5,1
76,Master Gardener,2022,,0.62,0.71,0.63,4.0,0
77,The Artifice Girl,2022,PRETTY AWESOME,0.66,0.92,0.6,3.0,1
78,Aftersun,2022,GREAT,0.76,0.96,0.95,4.0,0
79,Rodeo,2022,GREAT,0.6,0.8,0.7,2.0,0
80,Earth Mama,2023,AWESOME,0.66,0.97,0.85,4.0,1
81,Showing Up,2022,,0.63,0.89,0.85,3.0,0
82,Oppenheimer,2023,,0.83,0.93,0.88,4.0,0
83,The Lighthouse,2019,,0.74,0.9,0.83,3.0,0
84,TÃ¡r,2022,AWESOME,0.74,0.91,0.92,4.0,1
85,The Banshees of Inisherin,2022,,0.77,0.96,0.87,3.5,0
86,Thoroughbreds,2017,,0.66,0.88,0.75,3.5,0
87,Azor,2021,,0.65,0.98,0.88,3.5,0
88,Short Term 12,2013,GREAT,0.79,0.98,0.82,3.5,0
89,Moonlight,2016,AWESOME,0.74,0.98,0.99,4.0,1
90,Parasite,2019,PRETTY AWESOME,0.85,0.99,0.96,4.0,1
91,Sound of Metal,2019,PRETTY AWESOME,0.77,0.97,0.82,3.5,1
92,Nomadland,2020,PRETTY AWESOME,0.73,0.93,0.91,4.0,1
93,The Card Counter,2021,,0.62,0.87,0.77,4.0,0
94,Raw,2016,AWESOME,0.69,0.92,0.81,3.5,1
95,Titane,2021,PRETTY AWESOME,0.65,0.9,0.75,3.5,1
96,The Power of the Dog,2021,GREAT,0.68,0.94,0.89,4.0,0
97,In the Cut,2003,AWESOME,0.54,0.34,0.47,2.5,1
98,Sweetie,1989,,0.67,0.9,0.81,3.5,0
109,Drive-Away Dolls,2024,GREAT,0.55,0.63,0.56,3.5,0
110,Barbie,2023,GREAT,0.68,0.88,0.8,3.5,0
111,American Fiction,2023,GREAT,0.75,0.93,0.81,2.5,0
112,Sanctuary,2022,,0.63,0.88,0.67,3.0,0
113,Werewolves Within,2021,,0.6,0.86,0.66,3.0,0
114,The Holdovers,2023,AWESOME,0.79,0.97,0.82,3.5,1
115,7 Days,2021,GREAT,0.65,0.86,0.72,3.0,0
116,Shiva Baby,2020,PRETTY AWESOME,0.71,0.96,0.79,4.0,1
117,Bottoms,2023,GREAT,0.67,0.9,0.79,3.5,0
118,Joy Ride,2023,GREAT,0.64,0.9,0.75,2.5,0
119,"Confess, Fletch",2022,,0.64,0.86,0.64,2.0,0
120,Inspector Ike,2020,,0.66,1.0,,,0
121,Licorice Pizza,2021,,0.71,0.9,0.9,4.0,0
122,Dinner in America,2020,AWESOME,0.74,0.91,0.8,3.5,1
123,Brian and Charles,2022,PRETTY AWESOME,0.67,0.85,0.66,2.0,1
124,Borat Subsequent Moviefilm,2020,PRETTY AWESOME,0.66,0.85,0.68,3.5,1
125,Nate - A One Man Show,2020,AWESOME,0.67,0.88,,,1
129,Before Sunset,2004,PRETTY AWESOME,0.81,0.94,0.91,3.5,1
130,Fallen Leaves,2023,,0.73,0.97,0.79,4.0,0
131,Portrait of a Lady on Fire,2019,AWESOME,0.81,0.97,0.95,4.0,1
132,Before Sunrise,1995,GREAT,0.81,1.0,0.77,3.0,0
133,Rye Lane,2023,GREAT,0.72,0.98,0.83,3.5,0
134,Past Lives,2023,AWESOME,0.78,0.95,0.94,4.0,1
135,You Hurt My Feelings,2023,,0.66,0.94,0.82,3.5,0
136,Crazy Rich Asians,2018,,0.69,0.91,0.74,3.5,0
137,Pride & Prejudice,2005,GREAT,0.78,0.87,0.82,4.0,0
138,Decision to Leave,2022,PRETTY AWESOME,0.73,0.94,0.84,3.0,1
139,Drive My Car,2021,AWESOME,0.75,0.97,0.91,4.0,1
140,The Worst Person in the World,2021,AWESOME,0.77,0.96,0.9,4.0,1
141,Your Name,2016,GREAT,0.84,0.98,0.81,3.5,0
142,Palm Springs,2020,GREAT,0.74,0.95,0.83,3.5,0
145,Piggy,2022,,0.62,0.91,0.72,2.5,0
146,Talk to Me,2022,GREAT,0.71,0.94,0.72,3.0,0
147,Barbarian,2022,GREAT,0.7,0.92,0.78,3.0,0
148,M3GAN,2022,,0.63,0.93,0.72,3.0,0
149,Bodies Bodies Bodies,2022,,0.62,0.86,0.69,3.5,0
150,Under the Skin,2013,,0.63,0.84,0.8,4.0,0
151,Hellraiser,1987,GREAT,0.69,0.7,0.56,2.5,0
152,Possessor,2020,GREAT,0.65,0.94,0.72,2.5,0
155,RoboCop,1987,,0.76,0.92,0.7,3.0,0
156,Violent Night,2022,,0.67,0.73,0.55,1.5,0
157,You Were Never Really Here,2017,,0.67,0.89,0.84,4.0,0
158,Dredd,2012,GREAT,0.71,0.8,0.6,2.0,0
159,Kimi,2022,,0.63,0.92,0.79,3.5,0
160,Sisu,2022,,0.69,0.94,0.7,3.5,0
161,Emily the Criminal,2022,PRETTY AWESOME,0.67,0.94,0.75,4.0,1
162,Nobody,2021,,0.74,0.83,0.64,3.0,0
163,Casino Royale,2006,GREAT,0.8,0.94,0.8,4.0,0
168,Pokemon 2000,2000,,0.75,0.19,0.28,,0
169,The Last Unicorn,1982,,0.73,0.75,0.7,,0
170,Princess Mononoke,1997,PRETTY AWESOME,0.83,0.93,0.76,4.0,1
171,Millennium Actress,2001,,0.78,0.93,0.7,,0
172,Akira,1988,PRETTY AWESOME,0.8,0.91,0.67,,1
174,All the Beauty and the Bloodshed,2022,PRETTY AWESOME,0.75,0.95,0.9,4.0,1
175,Ex Machina,2014,AWESOME,0.77,0.92,0.78,4.0,1
176,Mad Max: Fury Road,2015,AWESOME,0.81,0.97,0.9,4.0,1
177,Harold & Kumar Go to White Castle,2004,GREAT,0.7,0.75,0.64,3.0,0
178,Troll 2,1990,,0.3,0.05,,,0
179,Tank Girl,1995,,0.54,0.45,0.46,2.0,0
180,Bean,1997,,0.65,0.43,0.52,2.5,0
181,Twilight,2008,,0.53,0.49,0.56,2.5,0
182,Black Dynamite,2009,PRETTY AWESOME,0.74,0.83,0.65,3.0,1
183,Starship Troopers,1997,,0.73,0.72,0.52,2.0,0
184,The Man from U.N.C.L.E.,2015,,0.72,0.68,0.56,2.0,0
185,Memories,1995,GREAT,0.75,,,,0
186,Kiss Kiss Bang Bang,2005,,0.75,0.86,0.72,2.5,0
187,The Boondock Saints,1999,,0.76,0.26,0.44,,0
188,Blade Runner 2049,2017,PRETTY AWESOME,0.8,0.88,0.81,3.5,1
189,X-Men: First Class,2011,GREAT,0.77,0.86,0.65,2.5,0
190,Airplane!,1980,,0.77,0.97,0.78,3.0,0
191,Slumdog Millionaire,2008,GREAT,0.8,0.91,0.84,4.0,0
192,The NeverEnding Story,1984,,0.73,0.84,0.46,3.0,0
193,Scooby-Doo,2002,,0.53,0.32,0.35,1.0,0
194,A Knight's Tale,2001,,0.7,0.59,0.56,3.0,0
195,Back to the Future,1985,GREAT,0.85,0.93,0.87,3.5,0
196,Interview with the Vampire,1994,,0.75,0.63,0.59,3.0,0
197,Horrible Bosses,2011,,0.69,0.69,0.57,3.5,0
198,Grosse Pointe Blank,1997,,0.73,0.82,0.76,2.5,0
199,Mortal Kombat,1995,,0.58,0.47,0.6,2.0,0
200,Gone in 60 Seconds,2000,,0.65,0.26,0.35,2.0,0
201,Highlander,1986,,0.7,0.69,0.24,,0
202,Braveheart,1995,GREAT,0.83,0.76,0.68,3.5,0
203,Perfume: The Story of a Murderer,2006,,0.75,0.59,0.56,4.0,0
204,The Importance of Being Earnest,2002,,0.68,0.57,0.6,3.0,0
205,Life as a House,2001,,0.74,0.47,0.45,2.5,0
206,Star Trek,2009,GREAT,0.79,0.94,0.82,2.5,0
207,Dragonheart,1996,,0.64,0.5,0.49,3.0,0
208,Star Trek Into Darkness,2013,,0.77,0.84,0.72,2.5,0
209,Star Trek Beyond,2016,,0.7,0.86,0.68,2.5,0
210,Stardust,2007,GREAT,0.76,0.77,0.66,2.5,0
211,Labyrinth,1986,,0.73,0.77,0.5,2.0,0
212,Johnny Mnemonic,1995,,0.56,0.2,0.36,2.0,0
213,Bedazzled,2000,,0.61,0.5,0.49,2.0,0
214,Black Swan,2010,GREAT,0.8,0.85,0.79,3.5,0
215,Pokemon: The First Movie,1998,,0.63,0.16,0.35,2.0,0
216,Demolition Man,1993,GREAT,0.67,0.63,0.34,,0
217,Legend,1985,,0.63,0.41,0.3,2.0,0
218,Sex Drive,2008,,0.65,0.45,0.49,2.0,0
219,The Lost Boys,1987,,0.72,0.77,0.63,2.5,0
220,Short Circuit,1986,,0.66,0.62,0.5,1.5,0
221,Elf,2003,,0.71,0.86,0.64,3.0,0
222,Sister Act,1992,,0.65,0.73,0.51,2.5,0
223,Tommy Boy,1995,,0.71,0.4,0.46,1.0,0
224,Idle Hands,1999,,0.62,0.16,0.31,2.5,0
225,Reign of Fire,2002,,0.62,0.42,0.39,1.0,0
226,Rampant,2018,,0.63,0.62,,,0
227,Sorry To Bother You,2018,PRETTY AWESOME,0.69,0.93,0.8,3.5,1
248,Three Billboards,2017,AWESOME,0.81,0.9,0.88,4.0,1
249,Lamb,2021,,0.63,0.86,0.68,2.5,0
