Title,Year,Directors,WatchedDate,Rating
"All of Us Strangers",2023,"Andrew Haigh",2024-01-26,4
"Casablanca",1942,"Michael Curtiz",2024-01-20,2.5
"May December",2023,"Todd Haynes",2024-01-05,4
"Sanctuary",2022,"Zachary Wigon",2024-01-01,
"Anatomy of a Fall",2023,"Justine Triet",2023-12-30,3.5
"The Holdovers",2023,"Alexander Payne",2023-12-25,4
"Werewolves Within",2021,"Josh Ruben",2023-12-25,
"Violent Night",2022,"Tommy Wirkola",2023-12-22,
"Lamb",2021,"Valdimar Jóhannsson",2023-12-17,
"Poor Things",2023,"Yorgos Lanthimos",2023-12-15,3.5
"Fallen Leaves",2023,"Aki Kaurismäki",2023-12-08,
"Master Gardener",2022,"Paul Schrader",2023-12-07,
"Saltburn",2023,"Emerald Fennell",2023-12-03,3.5
"The Artifice Girl",2022,"Franklin Ritch",2023-11-21,3.5
"7 Days",2021,"Roshan Sethi",2023-11-18,2.5
"Shiva Baby",2020,"Emma Seligman",2023-11-14,3.5
"Aftersun",2022,"Charlotte Wells",2023-11-11,2.5
"Sisu",2022,"Jalmari Helander",2023-10-30,
"Rodeo",2022,"Lola Quivoron",2023-10-24,2.5
"Earth Mama",2023,"Savanah Leaf",2023-10-20,4
"Showing Up",2022,"Kelly Reichardt",2023-10-03,
"Portrait of a Lady on Fire",2019,"Céline Sciamma",2023-09-23,4
"Before Sunrise",1995,"Richard Linklater",2023-09-17,2.5
"Bottoms",2023,"Emma Seligman",2023-09-10,2.5
"The Power of One: The Pokemon 2000 Movie Special",2000,"Richard Dipirro",2023-09-01,
"Oppenheimer",2023,"Christopher Nolan",2023-08-28,
"The Last Unicorn",1982,"Jules Bass, Arthur Rankin Jr.",2023-08-25,
"Talk to Me",2022,"Danny Philippou, Michael Philippou",2023-08-06,2.5
"Joy Ride",2023,"Adele Lim",2023-07-31,2.5
"Spider-Man: Into the Spider-Verse",2018,"Bob Persichetti, Peter Ramsey, Rodney Rothman",2023-07-21,3.5
"Princess Mononoke",1997,"Hayao Miyazaki",2023-07-15,3.5
"Adaptation.",2002,"Spike Jonze",2023-07-05,
"Past Lives",2023,"Celine Song",2023-06-16,4
"Sorry to Bother You",2018,"Boots Riley",2023-06-16,3.5
"All the Beauty and the Bloodshed",2022,"Laura Poitras",2023-06-05,3.5
"You Hurt My Feelings",2023,"Nicole Holofcener",2023-05-31,
"Twilight",2008,"Catherine Hardwicke",2023-05-12,
"The Lighthouse",2019,"Robert Eggers",2023-05-09,
"Crazy Rich Asians",2018,"Jon M. Chu",2023-04-28,
"Bean",1997,"Mel Smith",2023-04-14,
"Tank Girl",1995,"Rachel Talalay",2023-04-07,
"Pride & Prejudice",2005,"Joe Wright",2023-03-17,
"Inspector Ike",2020,"Graham Mason",2023-02-24,
"M3GAN",2022,"Gerard Johnstone",2023-02-02,
"Rampant",2018,"Kim Sung-hoon",2023-01-27,
"Decision to Leave",2022,"Park Chan-wook",2023-01-21,3.5
"You Were Never Really Here",2017,"Lynne Ramsay",2023-01-15,
"Tár",2022,"Todd Field",2023-01-14,4
"Reign of Fire",2002,"Rob Bowman",2023-01-13,
"Idle Hands",1999,"Rodman Flender",2023-01-06,
"Tommy Boy",1995,"Peter Segal",2022-12-30,
"Brian and Charles",2022,"Jim Archer",2022-12-26,3.5
"Dinner in America",2020,"Adam Rehmeier",2022-12-13,4
"Dredd",2012,"Pete Travis",2022-12-09,2.5
"The Banshees of Inisherin",2022,"Martin McDonagh",2022-12-03,
"Sister Act",1992,"Emile Ardolino",2022-12-02,
"Kimi",2022,"Steven Soderbergh",2022-11-29,
"Elf",2003,"Jon Favreau",2022-11-25,
"Thoroughbreds",2017,"Cory Finley",2022-11-19,
"Azor",2021,"Andreas Fontana",2022-11-13,
"Short Term 12",2013,"Destin Daniel Cretton",2022-11-07,2.5
"Parasite",2019,"Bong Joon Ho",2022-11-05,3.5
"Short Circuit",1986,"John Badham",2022-11-04,
"Licorice Pizza",2021,"Paul Thomas Anderson",2022-11-02,
"Moonlight",2016,"Barry Jenkins",2022-10-30,4
"The Lost Boys",1987,"Joel Schumacher",2022-10-28,
"Sex Drive",2008,"Sean Anders",2022-10-07,
"Legend",1985,"Ridley Scott",2022-09-16,
"Demolition Man",1993,"Marco Brambilla",2022-09-09,2.5
"Pokémon: The First Movie - Mewtwo Strikes Back",1998,"Kunihiko Yuyama",2022-08-26,
"Emily the Criminal",2022,"John Patton Ford",2022-08-24,3.5
"Bodies Bodies Bodies",2022,"Halina Reijn",2022-08-22,
"Black Swan",2010,"Darren Aronofsky",2022-08-19,2.5
"Bedazzled",2000,"Harold Ramis",2022-08-13,
"Johnny Mnemonic",1995,"Robert Longo",2022-07-30,
"Labyrinth",1986,"Jim Henson",2022-07-22,
"Stardust",2007,"Matthew Vaughn",2022-07-08,2.5
"Star Trek Beyond",2016,"Justin Lin",2022-07-01,
"Star Trek Into Darkness",2013,"J.J. Abrams",2022-06-10,
"DragonHeart",1996,"Rob Cohen",2022-05-20,
"Troll 2",1990,"Claudio Fragasso",2022-05-13,
"Star Trek",2009,"J.J. Abrams",2022-04-30,2.5
"The Mighty Ducks",1992,"Stephen Herek",2022-04-25,
"Harold & Kumar Go to White Castle",2004,"Danny Leiner",2022-04-15,2.5
"Life as a House",2001,"Irwin Winkler",2022-04-02,
"Harry and the Hendersons",1987,"William Dear",2022-03-29,
"Kindergarten Cop",1990,"Ivan Reitman",2022-03-29,
"Air Bud",1997,"Charles Martin Smith",2022-03-15,
"The Importance of Being Earnest",2002,"Oliver Parker",2022-03-12,
"Perfume: The Story of a Murderer",2006,"Tom Tykwer",2022-03-04,
"Braveheart",1995,"Mel Gibson",2022-02-12,2.5
"Highlander",1986,"Russell Mulcahy",2022-01-29,
"Gone in 60 Seconds",2000,"Dominic Sena",2022-01-22,
"The Addams Family",1991,"Barry Sonnenfeld",2022-01-01,
"The Santa Clause",1994,"John Pasquin",2021-12-29,
"Mortal Kombat",1995,"Paul W.S. Anderson",2021-12-11,
"Borat Subsequent Moviefilm",2020,"Jason Woliner",2021-12-09,3.5
"Grosse Pointe Blank",1997,"George Armitage",2021-12-04,
"Nobody",2021,"Ilya Naishuller",2021-11-21,
"Casino Royale",2006,"Martin Campbell",2021-11-08,2.5
"Horrible Bosses",2011,"Seth Gordon",2021-11-06,
"Ghost",1990,"Jerry Zucker",2021-11-01,
"Hellraiser",1987,"Clive Barker",2021-10-29,2.5
"Interview with the Vampire: The Vampire Chronicles",1994,"Neil Jordan",2021-10-22,
"Back to the Future",1985,"Robert Zemeckis",2021-10-16,2.5
"A Knight's Tale",2001,"Brian Helgeland",2021-09-11,
"Scooby-Doo",2002,"Raja Gosnell",2021-08-28,
"The NeverEnding Story",1984,"Wolfgang Petersen",2021-08-20,
"Slumdog Millionaire",2008,"Danny Boyle, Loveleen Tandan",2021-08-06,2.5
"Airplane!",1980,"Jim Abrahams, David Zucker, Jerry Zucker",2021-07-24,
"X-Men: First Class",2011,"Matthew Vaughn",2021-07-03,2.5
"Blade Runner 2049",2017,"Denis Villeneuve",2021-06-19,3.5
"The Boondock Saints",1999,"Troy Duffy",2021-05-29,
"Kiss Kiss Bang Bang",2005,"Shane Black",2021-04-24,
"Memories",1995,"Kôji Morimoto, Tensai Okamura, Katsuhiro Ôtomo",2021-04-16,2.5
"Sound of Metal",2019,"Darius Marder",2021-03-21,3.5
"The Man from U.N.C.L.E.",2015,"Guy Ritchie",2021-03-20,
"Possessor",2020,"Brandon Cronenberg",2021-01-10,2.5
"Father of the Bride",1991,"Charles Shyer",1991-12-20,
"The Next Karate Kid",1994,"Christopher Cain",,
"Terms of Endearment",1983,"James L. Brooks",,
"Spanglish",2004,"James L. Brooks",,
"Nomadland",2020,"Chloé Zhao",,3.5
"The Card Counter",2021,"Paul Schrader",,
"Raw",2016,"Julia Ducournau",,4
"Titane",2021,"Julia Ducournau",,3.5
"The Power of the Dog",2021,"Jane Campion",,2.5
"In the Cut",2003,"Jane Campion",,4
"Sweetie",1989,"Jane Campion",,
"Confess, Fletch",2022,"Greg Mottola",,
"Natalie Palamides: Nate - A One Man Show",2020,"Phil Burgers",,4
"Rye Lane",2023,"Raine Allen-Miller",,2.5
"Drive My Car",2021,"Ryûsuke Hamaguchi",,4
"The Worst Person in the World",2021,"Joachim Trier",,4
"Your Name.",2016,"Makoto Shinkai",,2.5
"Palm Springs",2020,"Max Barbakow",,2.5
"Barbarian",2022,"Zach Cregger",,2.5
"Under the Skin",2013,"Jonathan Glazer",,
"Millennium Actress",2001,"Satoshi Kon",,
"Akira",1988,"Katsuhiro Ôtomo",,3.5
"Ex Machina",2014,"Alex Garland",,4
"Mad Max: Fury Road",2015,"George Miller",,4
"Black Dynamite",2009,"Scott Sanders",,3.5

